authorization|n. 授权，批准|You need special authorization to use this theater.|你需要特别授权才能使用这个剧院。||【辨析】authoritative adj.专断的，命令式的；authorize     v.批准，许可；【谐音】贼神(authorization)"：授权后就变得很厉害。
inferior|adj. 级别低的；（质量等）较差的；n. 地位较低的人|Modern music is often considered inferior to that of the past.|现代音乐常被认为不如过去的音乐。|be inferior to 比...低级|【辨析】interior    adj.内部的，里面的；infer       v.推断，推论；inferiority n.低等，劣等；superior    adj.（规模或实力）更大的，更强的，(在品质上)更好的；exterior    adj.外部的，外面的；interfere   v.干涉，干扰；inference   n.推断，推理；prior       adj.先前的，事先的；senior      adj.年龄大些的；junior      adj.年龄较小的
real|adj. 真实的；真正的；adv. 非常，很|It wasn't a ghost; it was a real person.|那不是鬼魂，是实实在在的人。||【辨析】really    adv.真正地，事实上；realize   v.了解，意识到；reality   n.真实，现实；realistic adj.务实的，实事求是的；【谐音】睿哦(real)"：智慧才是真实的。；【变形】比较级：realer；最高级：realest
donate|v. 捐赠|The charitable businessman has donated $10,000 for cancer research.|这位有善心的商人捐出了10000美元用于癌症研究。|donate B for A 将B捐给A；do n ate 不吃是因為要捐贈給別人|【辨析】donation n.捐赠物，捐赠，赠送；dominate v.统治，支配；devote   v.献身，致力；dedicate v.致力于，献身于；【谐音】兜内的(donate)"：把兜里的东西都捐献出去了。；【变形】现在分词：donating
atom|n. 原子|Scientists have unlocked the secret of the atom .|科学家已经揭开了原子的秘密。|an atom of 一点儿，稍微|【辨析】atomic adj.原子的，与原子有关的；auto   adj.汽车的；item   n.项目，条款；【谐音】阿童木(atom)"：台湾译名《原子小金刚》，指原子。
panel|n. 专题讨论小组；镶板；仪器板；镶条；v. 镶板|One of the glass panels in the front door was cracked.|前门的一块方玻璃破裂了。|panel interview 小组面试；control panel 控制面板；panel show 讨论节目|【辨析】pan     n.平底锅；panic   n.恐慌，惊慌；pain    n.疼痛，伤痛；canal   n.运河，灌溉渠，水道；channel n.频道，电视频道；penalty n.（因违反法律、规定或合同而受到的）处罚，刑罚；【谐音】拍呢(panel)"：座谈小组讨论时要拍照留存。；【变形】过去式：paneled/panelled；过去分词：paneled/panelled
supreme|adj. 至高无上的；最大的|The Supreme Court upheld the original judgment.|最高法院宣布维持原判。|Supreme authority 最高权力；Supreme Court 最高法院|【辨析】superb  adj.极佳的，质量极高的；prime   adj.主要的，首要的；extreme adj.极大的，极度的；premier adj.首要的，最好的
justice|n. 公正，正义；法官；司法|They are demanding equal rights and justice .|他们要求平等的权利和公正的待遇。|with justice 正当地；freedom and justice 自由和公正；to do sb justice 为某人说句公道话；be governed by 被。。。制约|【辨析】justify v.是……的正当理由；just    adv.正好，恰好；【谐音】就事提事(justice)"：公正、正义。
acidity|n. 酸性，酸度|This low pH level clearly shows the acidity of the soil here.|低pH值清晰地显示了该地区土壤的酸度。|alkalinity or acidity 酸碱性；acid ac 尖的 因为ac是ang-角的变体。id…的。|【辨析】acid n.酸；【谐音】a谁的题(acidity)"：这是关于酸性的题目。
supporter|n. 支持者|He's a self-professed supporter of economic reform.|他自称是经济改革的支持者。|I'm real a stinker 我真是一个卑鄙小人|【辨析】supportive adj.支持的，拥护的，给予帮助的；supplier   n.供应商，供应者；【谐音】死波特(supporter)"：哈利波特有很多拥护者。
suburb|n. 郊区|She lives in a suburb of New York City, and spends lots of time commuting.|她住在纽约市的一个郊区，来回通勤要花很长时间。||【辨析】suburban adj.郊区的，城郊的；superb   adj.极佳的，质量极高的；subtract vt.减去，删减；【谐音】傻伯伯(suburb)"：傻伯伯在郊区迷路了。
exploitation|n. 开采；利用；压榨|We should control the exploitation of natural resources.|我们应该控制对自然资源的开采。||【辨析】exploration n.勘探，勘察；expedition  n.远征，考察；explosion   n.爆破，爆炸（声）；exploit     v.剥削，压榨；【谐音】一颗丝不漏太省了(exploitation)"：过度开发和开采，简直是剥削。
nephew|n. 侄子，外甥|She took her three-year-old nephew down to the beach with his bucket and spade.|她带着她的三岁侄儿一路向沙滩走去，手里拿着桶和小铲子。|nephew and niece 侄女侄子联系记好啊|【辨析】niece n.外甥女，侄女；【谐音】那feel(nephew)"：那感觉是我侄子。
alive|adj. 活着的；有活力的|We don't know whether he's alive or dead.|我们不知道他是死是活。|be alive to 对…敏感；发觉，关心；alive with 充满着,洋溢着；alike adj 相似的，相像的|【辨析】live   v.生存，活着；lively adj.活泼的，生气勃勃的；【谐音】爱辣舞(alive)"：喜欢跳辣舞的人很活泼。
vacancy|n. （职位）空缺；空房|The jobless man searched the newspapers everyday for job vacancies .|这名失业者每天在报纸上寻找刊登的职位空缺信息。|vacate v 空出 重音在后面；we can see 我们能看见 大片大片的 空白，这样子居然还可以过关，新浪表示 鸭梨 很大。；fill a vacancy 补缺；填补空白|【辨析】vacant   adj.（地方）空着的，无人用的；vanity   n.虚荣（心），自负；vicinity n.周围地区，邻近地区，附近；vocation n.（认为某种职业适合自己的）使命感；vacuum   n.真空，真空容器；【谐音】we can see(vacancy)"：空缺我们都看得见。；【变形】复数形式：vacancies
federal|adj. 联邦（制）的；联邦政府的|The federal government has invested a lot to improve the transportation problem.|联邦政府投入了大量资金来改善交通问题。|federal government 联邦政府 adjustable. 联邦的；federal court 联邦法院；federal law 联邦法律；federal funds 联邦资金；federal budget 联邦预算|【辨析】funeral n.葬礼，丧礼；fatal   adj.致命的；【谐音】肥的肉(federal)"：联邦政府拥有丰富的资源。
brass|n. 黄铜（器）；铜管乐器|The frame of that picture was made of brass .|画框由黄铜制成。|brass band 军乐队; as bold as brass 大模大样的，粗鲁无礼的|【辨析】brace v.（使）作好准备
indifference|n. 漠不关心；无动于衷|Whether you come or not is a matter of total indifference to me.|你来不来对我来说根本无关紧要。|apparent indifference 表面上的若无其事|【辨析】indifferent  adj.冷淡的，不关心的；independence n.独立，自主；【谐音】影帝夫人死(indifference)"：对死人漠不关心，不感兴趣。
parental|adj. 父母的，双亲的|Parental consent is required if you want to drive a car.|如果你想开车，需要父母的同意。|go astray 误入歧途|【辨析】parallel adj.平行的；patent   n.专利（权），专利证书；maternal adj.慈母般的；apparent adj.显而易见的，易懂的；【谐音】怕人偷(parental)"：父母的防贼意识强。
tape|n. 磁带，录音带；胶带；带子|He recorded the interview in a tape .|他把采访内容录在了磁带里。|steel tape 钢卷尺|【辨析】type  n.类型，种类；tap   v.轻拍，轻扣，轻敲；shape n.形状，外形；trap  n.（捕捉动物的）陷阱，网，夹子；【谐音】太破(tape)"：什么年代了还用磁带，太破了！；【变形】现在分词：taping
Tuesday|n. 周二|The biologist will attend the conference on Tuesday .|这位生物学家将出席星期二的会议。
read|v. 阅读；朗读；读取；n. 阅读；好读物|Some children can read and write before they go to school.|有些孩子在上学前就会看书写字了。|be read as 被理解为；read A into B 认为B暗含某种意义A|【辨析】reading n.阅读，宣读；【谐音】睿的(read)"：阅读能增加智慧。；【变形】过去式：read；过去分词：read
potato|n. 土豆|Katie had some potato chips this afternoon.|凯蒂下午吃了点薯片。|sofa potato 没事就懒在沙发上看电视吃零食的人；net potato 网虫；desk potato 桌旁神游族|【辨析】tomato n.番茄，西红柿；【谐音】破(po)土豆(tato)"：常见的块茎蔬菜。；【变形】复数形式：potatoes
myself|pron. 我自己；亲自|I wrote a message to myself .|我给自己留了个便条。|by myself 独立完成|【辨析】itself   pron.它自己；himself  pron.他自己；yourself pron.你自己；herself  pron.她自己（she 的反身代词）；oneself  pron.自己
largely|adv. 主要地，基本上；大致上|The team's success was largely due to her efforts.|该队的成功在很大程度上是由于她的努力。|consist largely 很大程度上；read largely 广泛阅读|【辨析】lately  adv.近来，最近；enlarge v.扩大，增大，放大；greatly adv.非常地，极大地；【谐音】垃圾里(largely)"：主要的都是垃圾。
stale|adj. 不新鲜的；污浊的；没有新意的|A foul smell of stale bread filled the whole room.|过期面包的恶臭充满了整个房间。|stale jokes 老掉牙的笑话|【辨析】stare  v.凝视，盯着看；stall  n.货摊，贩卖处，咨询台；scale  n.天平，磅秤；stable adj.稳定的，牢固的；staple n.（某国的）主要产品，支柱产品；【谐音】死的哦(stale)"：形容食物不新鲜。
colonialism|n. 殖民主义|All attempts to support colonialism are bound to fail.|一切想维护殖民主义的企图都是注定要失败的。|throw off 抛弃 摆脱|【辨析】colonial    adj.殖民地的，殖民主义的；colonize    v.在……开拓殖民地，移民于殖民地；colon       n.结肠；materialism n.唯物主义，唯物论；colonel     n.（陆军、空军或海军陆战队）上校；imperialism n.帝国主义；idealism    n.理想主义
moody|adj. 喜怒无常的；郁郁寡欢的|It is difficult to predict his reaction because he is so moody .|他如此喜怒无常，所以很难预知其反应如何。||【辨析】mood   n.心境，情绪；gloomy adj.阴暗的，幽暗的；【谐音】穆迪(Moody)"：哈利波特里的疯眼汉，性格喜怒无常。
continental|adj. 大陆的|Tar is widely used to cover road in continental countries.|柏油在大陆国家被广泛用于铺路。|continental cuisine 欧式西餐；Continental Europe 欧洲大陆|【辨析】continent n.洲，大陆；continual adj.多次重复的，频繁的；continue  v.（使）继续，（使）延续；【谐音】肯踢馒头(continental)"：欧洲大陆人富裕，所以敢踢馒头。
schooling|n. 学校教育|The boy received little schooling , but he never gave up any chance to study.|这个男孩没受过什么教育，但他从不放弃任何学习的机会。||【辨析】school n.（中、小）学校；【谐音】事故零(schooling)"：学校教育的事故发生率为零。
printer|n. 打印机；印刷公司|Click on the printer icon with the mouse.|用鼠标点击打印机图标。|printer's devil 印刷厂学徒工 printer's error 排错(略作 P.E., p.e.) printer's ink 油墨 printer's mark (版权页等上)出版商的商标 printer's pie 活字的乱堆; [喻]混乱 make printer's pie of 将...搞乱 the public printer [美]印刷局局长；print the data 打印数据|【辨析】painter    n.画家；typewriter n.打字机；【谐音】铺润特(printer)"：打印机把墨水铺在纸上。
conservative|adj. 保守的，守旧的；n. 保守（主义）者|Her style of dress was never conservative .|她的穿衣风格从不保守。||【辨析】conservation n.保护，保存；conversation n.（非正式的）谈话，交谈；preservative n.防腐剂，保护剂
watertight|adj. 防漏水的；无懈可击的|The container is completely watertight , even when laid on its side.|即使平放，这个容器也滴水不漏。||【辨析】tight      adj.（衣物）紧身的，紧贴的；waterproof adj.防水的，不透水的；【谐音】太紧(tight)"：水(water)不能透过紧密的布，形容不透水的。
get|v. 得到；受到；去取；（使）达到；说服|What presents did you get for your birthday?|你收到什么生日礼物了？|get by 设法，继续；get up 起床；get boiled down to 被归结于|【辨析】grow v.长大，成长；【谐音】给他(get)"：你就会得到。；【变形】过去式：got；过去分词：gotten；现在分词：getting
pocket|n. 衣服兜；小口袋；adj. 袖珍的|He put the pen in his coat pocket .|他把笔放进了上衣口袋。|pocket money 零花钱；in one's pocket 处于---控制|【辨析】rocket  n.火箭；packed  adj.挤满人的，非常拥挤的；pack    v.（把……）打包，收拾（行李）；package n.包裹；parcel  n.<英>包裹，邮包；【谐音】抛开他(pocket)"：从口袋里掏出东西。
queen|n. 女王；王后|She deserves the title "the Queen of Fashion".|她配得上 “时尚女王”的称号。||【辨析】queue n.<英>（人、汽车等的）队，行列；keen  adj.渴望的，热衷的；green adj.绿色的；【谐音】困意(queen)"：王后有困意了。
ridiculous|adj. 荒谬的，可笑的|The clown looked ridiculous in a dress like that.|小丑穿着那样的裙子显得很可笑。||【辨析】ridicule  n.嘲笑，奚落；religious adj.宗教的，与宗教相关的；radical   adj.根本的，彻底的；【谐音】瑞典可乐死(ridiculous)"：瑞典人把自己乐死，这是可笑的、荒谬的。
communism|n. 共产主义|They believed that the ultimate triumph would belong to communism .|他们相信最终的胜利将属于共产主义。|communism with Chinese characteristics 有中国特色的社会主义；Communist Party of China 中国共产党|【辨析】communist     n.共产主义者，共产党党员；commune       n.社群，群体；communicative adj.爱说话的，健谈的
stamp|n. 邮票；章，戳；印记；v. 跺脚；贴邮票于；在…上盖印|Could I have three first-class stamps , please?|请给我拿三张第一类邮件的邮票。|stamp out 扑灭；bear the stamp of 带……标记；具有……迹象；the stamp of suffering 苦难的烙印|【辨析】stand v.站立，直立；lamp  n.灯，光源；camp  n.营地；storm n.暴风雨，暴风雪，风暴；【谐音】是他买票(stamp)"：他买的是邮票。
generous|adj. 慷慨的；丰盛的；大量的；仁慈的|A generous gentleman donated lots of money to build this school.|一位慷慨的先生捐了很多钱来盖这所学校。|in the extreme 非常|【辨析】gorgeous   adj.美丽动人的；general    adj.总体的，普遍的；generate   v.产生，引起；generator  n.发电机；generosity n.慷慨，大方；generally  adv.笼统地，大概；generation n.一代（人）；gene       n.基因，遗传因子；genetic    adj.基因的，遗传学的；generalize v.概括，归纳；【谐音】真拿肉丝(generous)"：真拿肉丝，这么慷慨吗？
league|n. 联盟，协会；（体育）联赛|United were league champions last season.|联队是上个赛季的联赛冠军。|in league with 与...联合；be in league with 与... ... 勾结；for League 为了联盟|【辨析】leak      v.渗入，漏出；colleague n.同事，同僚；lecture   n.讲座，讲课，演讲；language  n.语言，语言文字；legend    n.传说，传奇故事；legal     adj.法律允许的，合法的；college   n.大学，专科学校；【谐音】立个(league)"：立个条约，我们来联盟。
shy|adj. 羞怯的；易受惊的|Don't be shy —come and say hello.|别害羞过来问个好。|one shy of 还差一个|【辨析】sky   n.天，天空；spy   n.间谍，密探；shut  v.关闭，合上；shine v.（太阳或其他光源）发光，照耀；shame n.羞耻，羞愧；shore n.（海、湖或大河的）滨，岸；share v.共享，合用；shelf n.搁板，架子；【谐音】晒(shy)"：脸红害羞，还说是因为晒的。；【变形】比较级：shyer；最高级：shyest；过去式：shied；过去分词：shied
lemon|n. 柠檬|Her favorite fruit is lemon .|她最喜爱的水果是柠檬。||【辨析】melon n.瓜，香瓜，甜瓜；【谐音】来檬(lemon)"：来个柠檬的简称。
irrational|adj. 不合逻辑的；非理性的|She’s become increasingly irrational since she got divorced.|自从离婚后，她变得越来越不理智。|unfair and irrational 不公正不合理|【辨析】rational   adj.（想法、决定等）合理的，基于理性的；irrigation n.灌溉；irritate   v.使不耐烦，激怒；ration     n.配给量，定量
hasty|adj. 匆忙的，仓促的；草率的|We should calm down and not make hasty decisions despite the intense situation.|尽管形势紧张，我们还是要冷静，不要作出草率的决定。|hasty words 轻率言词|【辨析】haste  n.仓促，急忙；nasty  adj.恶毒的，凶相的；hasten v.促进，使加快；harsh  adj.（环境）恶劣的，艰苦的；【谐音】恨死他(hasty)"：恨死他了，所以匆忙地走了。；【变形】比较级：hastier；最高级：hastiest
candy|n. 糖果|Do you want to buy a box of candy ?|你想买盒糖吗？|soft candy 软糖 sugar 食糖，白砂糖；candy cane 棒棒糖；gum up the works 使机器不能开动；使制度不能实行；弄坏；搞乱；be gummed up with 被。。粘住了|【辨析】candle n.蜡烛；【谐音】看滴(candy)"：这些糖果是用来看的，不是用来吃的。；【变形】复数形式：candies
trade|n. 贸易；交易；行业；手艺；v. 做生意；营业；交易；互相交换|Trade between the two countries has increased.|两国之间的贸易增长了。|trade union leader 工会领袖；trade fair 贸易会，交易博览会，商品交易会，交易市场|【辨析】track n.小道，小径；train n.火车，列车；treat v.对待，看待；trend n.趋势，动态；truck n.卡车，载重汽车；trick n.花招，诡计，骗局；trunk n.树干；【谐音】吹的(trade)"：贸易都是吹的，谁吹得厉害谁就赢。；【变形】现在分词：trading
gross|n. 总收入，总量；adj. 总的；（利润）毛的；严重的；令人恶心的|Investments showed a gross profit of 26%.|投资获得26%的总利润。|The Gross amount 总额；national gross product 国民生产总值
hall|n. 大厅；礼堂|She ran into the hall and up the stairs.|她跑进门厅，冲上楼梯。|shock treatment 休克疗法|【辨析】hill  n.山丘，小山；call  v.给……取名；tall  adj.高的，高大的；wall  n.城墙，围墙；ball  n.球，球状物；mall  n.购物中心，步行商业区；fall  v.降落，落下；shall aux.将要，将会（同I和we连用，表示将来）；【谐音】好!(hall)"：礼堂的大厅真大啊！
spontaneity|n. 自发性，自然举动|She was charmed by his spontaneity .|她被他的自然举动所吸引。||【辨析】spontaneous adj.自发的，非筹划安排的
last|adv. 最后；最近，上一次；n. 最后来的人（或事），仅剩下的部分；v. 持续；adj. 最后的；上一个的；仅剩下的；最不可能的|Did you see the talent show on TV last night?|你昨晚看电视上的选秀节目了吗？|In the last resort 大不了；last for 持续；延续 at last 最后；终于 last year 去年 in the last 在最后；[法]在终审时 at the last 直到最后；may not last 不会持久|【辨析】least   adj.一点儿；late    adj.晚期的，末期的；later   adv.后来，随后；lasting adj.持久的，耐久的；latter  adj.（两者之中的）后者的
appear|v. 似乎，显得；显现；首次出现|He appears a perfectly normal person.|他看上去完全是个正常的人。|appear to be 看起来好像；appear to 似乎，好像|【辨析】appeal     n.呼吁，恳求；apple      n.苹果；disappear  v.消失，不见；appearance n.露面，演出；apply      v.申请；apparent   adj.显而易见的，易懂的；【谐音】一梨(a pear)"：一个梨出现了。
complicated|adj. 复杂的，难懂的|The theory is so complicated that few people understand it.|这个理论太复杂了，几乎没人能懂。|all up 无望,结束,彻底完了|【辨析】complicate    v.使复杂化，使难以理解；complication  n.使复杂化的难题（或困难）；compliance    n.服从，遵守；compliment    n.赞扬，称赞；complexity    n.复杂性，错综复杂；completely    adv.完全地，彻底地；complete      adj.完全的，彻底的；compatible    adj.兼容的；complex       adj.复杂的，难懂的；complain      v.诉说 （病痛）；sophisticated adj.见多识广的，老练的，见过世面的；comply        v.遵从，服从；【谐音】康不理凯特(complicated)"：这件事比较复杂。
rainy|adj. 多雨的|What a terrible rainy day!|真是个糟糕的下雨天啊！|a succession of 一系列，一连串；for a rainy day 以备不时之需，未雨绸缪；rainy day 拮据的日子|【辨析】rain n.雨，雨水；【谐音】润泥(rainy)"：下雨滋润泥土，形容多雨的天气。
notice|n. 注意，通知；v. 注意，意识到|Take no notice of what he says.|别理会他说的话。|come into notice 引起注意；give notice 通知 have notice 接到通知|【辨析】noise n.噪音，嘈杂声；【谐音】no提示(notice)"：没有提示，所以要注意、留心，可能有通知！；【变形】现在分词：noticing
sportswoman|n. 女运动员|Amily is a talented sportswoman .|艾米丽是一个很有天赋的女运动员。||【辨析】sportsman n.运动员；spokesman n.（尤指男性）发言人，代言人
jog|v. 慢跑|He goes jogging every night.|他每晚慢跑。|jog along 缓慢行进|【辨析】fog n.雾；jar n.玻璃罐，广口瓶；jet n.喷气式飞机；jaw n.颌，颚；jam n.果酱；【谐音】嚼个(jog)"：嚼个口香糖慢跑。；【变形】过去式：jogged；过去分词：jogged；现在分词：jogging
oily|adj. 含油的；油腻的|The sparks set fire to the oily rag.|火花使浸透油的破布燃烧起来了。|an oily tongue 甜言蜜语,阿谀奉承...|【辨析】oral adj.口头的，口述的；【谐音】哦腻(oily)"：感觉油腻的样子。；【变形】比较级：oilier；最高级：oiliest
alliance|n. 联盟|The governments decide to form an alliance to crack down terrorism.|各政府决定组成结成联盟，共同打击恐怖主义。|east Asian Alliance 东亚联盟|【辨析】reliance  n.依靠，信任；appliance n.家用电器，装置；allowance n.津贴，补助；allocate  v.分配，分派，划拨；alienate  v.使疏远，使敌对；allege    v.(未经证实地）宣称，指控；【谐音】额来摁死(alliance)"：联盟联手来对付敌人。
laziness|n. 懒惰|It was sheer laziness that led to his failure in business.|他生意失败完全是懒惰造成的。|Subsidies laziness 滋生了惰性|【谐音】累人那事(laziness)"：那件事太累人了，所以大家都懒得干。
pronounce|v. 发音；正式宣布|Very few people can pronounce my name correctly.|很少有人能把我的名字念正确。|pronounce on 对…发表意见；pronounced my name wrong 拼错我的名字|【辨析】pronoun    n.代词；pronounced adj.明显的，显著的；announce   v.宣布，公布；【变形】现在分词：pronouncing
after|prep. 跟随，仅次于；在…之后；adv. 以后，后来；conj. 在…以后|They arrived shortly after 5.|他们是在5点钟刚过到达的。|soon after 很快；in after years 在以后的岁月里；seek after fame 追逐名誉|【辨析】afterward adv.以后，后来；【谐音】阿福特(after)"：阿福特喜欢在下午出门。
coal|n. 煤|I put more coal on the fire.|我往火里再加了些煤。|a shovel of coal 一铲煤|【辨析】cool   adj.凉的，凉爽的；goal   n.球门；cold   adj.冷的，凉的；coat   n.外套，大衣；coast  n.海岸，海滨；coach  n.教练；core   n.果核；code   n.密码，暗码；coke   n.可口可乐， 一瓶（罐，杯）可口可乐（Coke）；coin   n.硬币，金属货币；corn   n.谷物，谷粒；cost   n.价钱，费用；crop   n.庄稼；goat   n.山羊；curly  adj.（头发）卷曲的，鬈曲的；catch  v.接住；corner n.角；click  v.（用鼠标）点击；【谐音】抠(coal)"：煤炭是从地下一点一点抠出来的。
