an|article. 一（个、件、场等）（用于元音前）|Allen has an evening job as private teacher.|艾伦晚上有一份家庭教师的工作。|turn over 营业额
recording|n. 录制；正式的记载|He has a collection of early recordings of jazz.|他收集了一批早期的爵士乐唱片。|according to 根据; 取决于; 按照; 据...所载|【辨析】rewarding adj.值得的，有意义的；regarding prep.关于，至于；according adj.相符的；record    n.记录，记载；reward    n.奖励，回报；【谐音】瑞抠腚(recording)"：瑞文唱歌时录音。
find|v. 发现；找到；认为|Look what I've found !|看我发现了什么！||【辨析】fine    adj.令人满意的，可以接受的；finding n.结果，发现；found   v.创办，成立；【谐音】翻的(find)"：翻找到的，表示发现。；【变形】过去式：found；过去分词：found
move|v. 移动；改变；搬家；调动；使感动；n. 行动；移动|The bus was already moving when I jumped onto it.|我跳上车的时候，公共汽车已经开动了。|make the first move 抢占先机；settle the strike 解决罢工；in favor of 支持|【辨析】movie    n.<美>电影；love     n.（对家庭成员或挚友的）喜爱，关爱；remove   vt.移开，拿开；movement n.移动，转移；【谐音】木屋(move)"：大家一起移动木屋。；【变形】现在分词：moving
apple|n. 苹果|Many people have heard this saying of "an apple a day keeps the doctor away".|许多人都听说过“一天一苹果，医生远离我”这句话。|compare apples and oranges 不能相提并论的 。comparing lady gaga and brad pitt is like comparing apples and oranges .她们是完全不同的人，是不能相提并论的。；apple of her eye 掌上明珠；be familiar with 对什么熟悉|【辨析】ample     adj.充足的，充裕的；grape     n.葡萄；pineapple n.[园艺] 菠萝
gardener|n. 园丁|He's not much of a gardener .|他不太擅长园艺。||【辨析】gender    n.性别；carpenter n.木匠，木工；guardian  n.监护人
after|prep. 跟随，仅次于；在…之后；adv. 以后，后来；conj. 在…以后|They arrived shortly after 5.|他们是在5点钟刚过到达的。|soon after 很快；in after years 在以后的岁月里；seek after fame 追逐名誉|【辨析】afterward adv.以后，后来；【谐音】阿福特(after)"：阿福特喜欢在下午出门。
apparent|adj. 显而易见的；表面上的|If she had inner doubts, it was not apparent to anyone else.|她若心中生疑亦不形之于色。||【辨析】apparently  adv.据说，显然；parent      n.父亲（或母亲）；transparent adj.透明的，清澈的；appear      v.出现，呈现；appearance  n.露面，演出；【谐音】鹅怕人的(apparent)"：鹅明显是怕人的。
problem|n. 问题；难题|He didn't go to work because of family problems .|他因家庭问题没有去上班。|traffic congestion 交通拥挤|【谐音】怕不论(problem)"：不怕讨论的难题。
suburb|n. 郊区|She lives in a suburb of New York City, and spends lots of time commuting.|她住在纽约市的一个郊区，来回通勤要花很长时间。||【辨析】suburban adj.郊区的，城郊的；superb   adj.极佳的，质量极高的；subtract vt.减去，删减；【谐音】傻伯伯(suburb)"：傻伯伯在郊区迷路了。
difficulty|n. 困难，难度|Many students would run into difficulties with learning mathematics.|许多学生在学习数学时会遇到困难。||【辨析】difficult  adj.困难的，费力的；different  adj.不同的；difference n.差异，不同之处；【谐音】弟非抠题(difficulty)"：弟弟学习认真，要把困难的题一个个弄懂。；【变形】复数形式：difficulties
through|prep. 穿过；通过；由于；自始至终；adv. 穿过；直达；彻底；自始至终|The bullet went straight through him.|子弹从他身上穿了过去。|look through 仔细查看；put through 完成、提出、接通|【辨析】throughout prep.遍及，到处；thorough   adj.彻底的，全面的；though     conj.虽然，尽管；thought    n.想法，看法，主意；thoroughly adv.完全地，极度地；thoughtful adj.体贴入微的，考虑周到的；【谐音】思路(through)"：凭借清晰的思路，穿过困难，自始至终都很清醒。
soluble|adj. 可溶的；可解决的|Salt is soluble in water so we should keep it in a dry place.|盐可溶于水，所以我们应把盐放在干燥的地方。|soluble material 可溶性物质|【辨析】solvent  adj.（尤指公司）有偿付能力的，付得起的；resolute adj.坚决的，果断的；absolute adj.完全的，纯粹的；【谐音】塑料薄(soluble)"：薄塑料是可溶解的。
betray|v. 背叛；泄密；辜负|I'm sure he won't betray your trust.|我相信他不会辜负你的信任。||【辨析】betrayal n.背叛，出卖；battery  n.电池，蓄电池；【谐音】被踹(betray)"：我被踹了，他背叛了我。
beforehand|adv. 预先，事先|He arrived at the meeting place beforehand .|他提前到达会面地点。||【辨析】forehead  n.前额；shorthand n.速记（法）
remember|v. 记得；想起；纪念|I don't remember my first day at school.|我已经忘了第一天上学（的情景）。|remember doing 记得做过的事 remember to do 记得去做；remember doing sth 记得做过的事情；remeber doing 记得做过某事；remember to do sth 记得去做某事|【辨析】member n.成员，一分子；【谐音】若慢播(remember)"：如果广播慢一点，就容易记住了。
degree|n. （角）度；温度；程度；学位|She got her master's degrees from Oxford.|她在牛津大学获得了硕士学位。|bachelor's degree 学士学位;master's degree 硕士学位;Doctor's Degree 博士学位；by degrees 逐渐的，渐渐的；to a degree 某种程度上|【辨析】agree   v.同意，赞成；referee n.（比赛的）裁判员
irrational|adj. 不合逻辑的；非理性的|She’s become increasingly irrational since she got divorced.|自从离婚后，她变得越来越不理智。|unfair and irrational 不公正不合理|【辨析】rational   adj.（想法、决定等）合理的，基于理性的；irrigation n.灌溉；irritate   v.使不耐烦，激怒；ration     n.配给量，定量
disappoint|v. （使）失望|I hate to disappoint you, but I'm just not interested.|我不想使你扫兴，但我确实不感兴趣。||【辨析】disappointed   adj.失望的，沮丧的；disappointing  adj.令人失望的，令人扫兴的；disappointment n.失望，沮丧；disappear      v.消失，不见；disapprove     v.不赞成，反对；appoint        v.任命，指派；disappearance  n.消失，失踪；appointment    n.约会，约定；【谐音】第四破音(disappoin)t(t)"：第四次唱歌破音，让人很失望。
someone|pron. 某人|There's someone outside the classroom.|教室外面有人。||【辨析】some      det.若干，一些；somehow   adv.以某种方式，用某种方法；somebody  pron.某人，有人；somewhere adv.在某处；somewhat  adv.稍微，有点；something pron.某事，某物；sometimes adv.有时，间或；【谐音】三万(someone)"：某人身价三万，代指某个人。
authorization|n. 授权，批准|You need special authorization to use this theater.|你需要特别授权才能使用这个剧院。||【辨析】authoritative adj.专断的，命令式的；authorize     v.批准，许可；【谐音】贼神(authorization)"：授权后就变得很厉害。
spontaneity|n. 自发性，自然举动|She was charmed by his spontaneity .|她被他的自然举动所吸引。||【辨析】spontaneous adj.自发的，非筹划安排的
lemon|n. 柠檬|Her favorite fruit is lemon .|她最喜爱的水果是柠檬。||【辨析】melon n.瓜，香瓜，甜瓜；【谐音】来檬(lemon)"：来个柠檬的简称。
border|n. 国界，边界；v. 与…接壤；环绕…|They live near the border .|他们住在国界附近。||【辨析】bother   v.费心；board    n.板，木板；broad    adj.宽广的，宽阔的；aboard   adv.在（船、飞机、火车等）上；boundary n.分界线，边界；【谐音】报答(border)"：报答祖国就是要保卫边疆。
printer|n. 打印机；印刷公司|Click on the printer icon with the mouse.|用鼠标点击打印机图标。|printer's devil 印刷厂学徒工 printer's error 排错(略作 P.E., p.e.) printer's ink 油墨 printer's mark (版权页等上)出版商的商标 printer's pie 活字的乱堆; [喻]混乱 make printer's pie of 将...搞乱 the public printer [美]印刷局局长；print the data 打印数据|【辨析】painter    n.画家；typewriter n.打字机；【谐音】铺润特(printer)"：打印机把墨水铺在纸上。
exploitation|n. 开采；利用；压榨|We should control the exploitation of natural resources.|我们应该控制对自然资源的开采。||【辨析】exploration n.勘探，勘察；expedition  n.远征，考察；explosion   n.爆破，爆炸（声）；exploit     v.剥削，压榨；【谐音】一颗丝不漏太省了(exploitation)"：过度开发和开采，简直是剥削。
vanish|v. 逐渐消失；灭亡，绝迹|The car was so fast that it vanished from my sight within seconds.|这辆车开得太快，不到几秒钟就消失在我的视线中。||【辨析】vanity n.虚荣（心），自负；van    n.（厢式）小型货车；vain   adj.虚荣的，自负的；vacant adj.（地方）空着的，无人用的；【谐音】玩匿失(vanish)"：从这个世界隐匿、消失了。
stamp|n. 邮票；章，戳；印记；v. 跺脚；贴邮票于；在…上盖印|Could I have three first-class stamps , please?|请给我拿三张第一类邮件的邮票。|stamp out 扑灭；bear the stamp of 带……标记；具有……迹象；the stamp of suffering 苦难的烙印|【辨析】stand v.站立，直立；lamp  n.灯，光源；camp  n.营地；storm n.暴风雨，暴风雪，风暴；【谐音】是他买票(stamp)"：他买的是邮票。
gold|adj. 金色的；n. 金；金色；金饰品|The price of gold was going down.|黄金的价格在下降。||【辨析】fold   v.折叠，对摺；glad   adj.高兴的；god    n.神；goal   n.球门；golden adj.金制的；globe  n.地球，世界；【谐音】够的(gold)"：买的黄金够多了。
colonialism|n. 殖民主义|All attempts to support colonialism are bound to fail.|一切想维护殖民主义的企图都是注定要失败的。|throw off 抛弃 摆脱|【辨析】colonial    adj.殖民地的，殖民主义的；colonize    v.在……开拓殖民地，移民于殖民地；colon       n.结肠；materialism n.唯物主义，唯物论；colonel     n.（陆军、空军或海军陆战队）上校；imperialism n.帝国主义；idealism    n.理想主义
recyclable|adj. 可回收利用的|To meet environmental protection requirements, these handbags are made of recyclable materials.|为了满足环保要求，这些手提袋都是由可回收材料制成的。|recyclable items 可回收的东西|【辨析】renewable adj.（合同、协议等）可延期的，可续期的；【谐音】热塞克薄(recyclable)"：重新塞进去看似刻薄，实为可循环利用的。
warfare|n. 战争；斗争|The dispute could develop into open warfare .|争执可能会发展成为公开的战争。|wage warfare with 与……作斗争 fare 使…化|【辨析】welfare n.幸福，安康；fare    n.交通费用；【谐音】我烦(warfare)"：战争确实让人烦恼！
generous|adj. 慷慨的；丰盛的；大量的；仁慈的|A generous gentleman donated lots of money to build this school.|一位慷慨的先生捐了很多钱来盖这所学校。|in the extreme 非常|【辨析】gorgeous   adj.美丽动人的；general    adj.总体的，普遍的；generate   v.产生，引起；generator  n.发电机；generosity n.慷慨，大方；generally  adv.笼统地，大概；generation n.一代（人）；gene       n.基因，遗传因子；genetic    adj.基因的，遗传学的；generalize v.概括，归纳；【谐音】真拿肉丝(generous)"：真拿肉丝，这么慷慨吗？
real|adj. 真实的；真正的；adv. 非常，很|It wasn't a ghost; it was a real person.|那不是鬼魂，是实实在在的人。||【辨析】really    adv.真正地，事实上；realize   v.了解，意识到；reality   n.真实，现实；realistic adj.务实的，实事求是的；【谐音】睿哦(real)"：智慧才是真实的。；【变形】比较级：realer；最高级：realest
percentage|n. 百分数，百分比|What percentage of the population is overweight?|身体超重的人占人口多大的百分比？||【辨析】percent    n.百分之……；perceive   vt.认为，理解；perception n.看法，认识；【谐音】婆孙太急(percentage)"：他们不懂百分比。
abolition|n. （法律、习俗等）废止|The reforms finally led to the abolition of the monarchy.|这些改革最终废除了君主制。|port the helm 向左转舵|【辨析】abolish v.废除，废止，取消
mall|n. 购物中心|Let’s meet at the mall and go shopping.|我们在购物中心见面然后去购物吧。|shopping mall 购物中心；all manner of 各种，形形色色（人，东西）|【辨析】tall adj.高的，高大的；call v.给……取名；hall n.礼堂，大厅；ball n.球，球状物；【谐音】猫(mall)"：猫在购物中心里。
notice|n. 注意，通知；v. 注意，意识到|Take no notice of what he says.|别理会他说的话。|come into notice 引起注意；give notice 通知 have notice 接到通知|【辨析】noise n.噪音，嘈杂声；【谐音】no提示(notice)"：没有提示，所以要注意、留心，可能有通知！；【变形】现在分词：noticing
alliance|n. 联盟|The governments decide to form an alliance to crack down terrorism.|各政府决定组成结成联盟，共同打击恐怖主义。|east Asian Alliance 东亚联盟|【辨析】reliance  n.依靠，信任；appliance n.家用电器，装置；allowance n.津贴，补助；allocate  v.分配，分派，划拨；alienate  v.使疏远，使敌对；allege    v.(未经证实地）宣称，指控；【谐音】额来摁死(alliance)"：联盟联手来对付敌人。
appear|v. 似乎，显得；显现；首次出现|He appears a perfectly normal person.|他看上去完全是个正常的人。|appear to be 看起来好像；appear to 似乎，好像|【辨析】appeal     n.呼吁，恳求；apple      n.苹果；disappear  v.消失，不见；appearance n.露面，演出；apply      v.申请；apparent   adj.显而易见的，易懂的；【谐音】一梨(a pear)"：一个梨出现了。
hasty|adj. 匆忙的，仓促的；草率的|We should calm down and not make hasty decisions despite the intense situation.|尽管形势紧张，我们还是要冷静，不要作出草率的决定。|hasty words 轻率言词|【辨析】haste  n.仓促，急忙；nasty  adj.恶毒的，凶相的；hasten v.促进，使加快；harsh  adj.（环境）恶劣的，艰苦的；【谐音】恨死他(hasty)"：恨死他了，所以匆忙地走了。；【变形】比较级：hastier；最高级：hastiest
communism|n. 共产主义|They believed that the ultimate triumph would belong to communism .|他们相信最终的胜利将属于共产主义。|communism with Chinese characteristics 有中国特色的社会主义；Communist Party of China 中国共产党|【辨析】communist     n.共产主义者，共产党党员；commune       n.社群，群体；communicative adj.爱说话的，健谈的
watertight|adj. 防漏水的；无懈可击的|The container is completely watertight , even when laid on its side.|即使平放，这个容器也滴水不漏。||【辨析】tight      adj.（衣物）紧身的，紧贴的；waterproof adj.防水的，不透水的；【谐音】太紧(tight)"：水(water)不能透过紧密的布，形容不透水的。
monstrous|adj. 丑恶的；骇人的；巨大的|All the students were burning with anger at this monstrous crime.|所有的学生对这残暴的罪行都感到无比的愤慨。||【辨析】enormous adj.巨大的，极大的
silky|adj. 丝绸般的；柔软光滑的；流畅的|He dances with silky moves.|他跳舞时的动作很流畅。|milky silky 又白又嫩又滑|【辨析】milky adj.像奶的，如奶般的；【谐音】丝柔可以(silky)"：像丝绸一样柔滑的质地。；【变形】比较级：silkier；最高级：silkiest
play|v. 玩；演奏；播放；戏弄；发挥作用；扮演；n. 游戏；玩耍；戏剧；比赛；作用|You'll have to play inside today.|你今天只能在屋里玩耍。|play off 加赛，取笑，互斗；play a joke on 和--开玩笑|【辨析】plan   n.（详细）规划；player n.运动员，选手
myself|pron. 我自己；亲自|I wrote a message to myself .|我给自己留了个便条。|by myself 独立完成|【辨析】itself   pron.它自己；himself  pron.他自己；yourself pron.你自己；herself  pron.她自己（she 的反身代词）；oneself  pron.自己
moody|adj. 喜怒无常的；郁郁寡欢的|It is difficult to predict his reaction because he is so moody .|他如此喜怒无常，所以很难预知其反应如何。||【辨析】mood   n.心境，情绪；gloomy adj.阴暗的，幽暗的；【谐音】穆迪(Moody)"：哈利波特里的疯眼汉，性格喜怒无常。
renovate|v. 翻新；修复|They spent a month renovating the old farmhouse and sold it at a profit.|他们花了一个月的时间翻新那个破旧的农场，然后将其出售赚钱。|keep abreast of 保持与…并列，了解…的最新情况；keep abreast of times 与时俱进|【辨析】innovate v.革新，创新；revolt   n.（对权威、规定、法律的）反抗，违抗；restore  v.恢复（某种情况或感受）；【谐音】瑞纳(reno)为她(vate)"：为了她把房子翻新修缮。；【变形】现在分词：renovating
radical|adj. 激进的；根本的；全新的；n. 激进分子|This thesis led to a radical reshaping of their policies.|这篇论文导致了他们政策的彻底改变。|radical change 翻天覆地的变化；radical reform 彻底的改革；a radical error 根本性错误；radical political views 激进的政治观点|【辨析】racial   adj.种族关系的，种族之间的；radiant  adj.容光焕发的，喜悦的；radiate  v.（使品质或情感）显出，流露；rational adj.（想法、决定等）合理的，基于理性的；【谐音】ready扣(radical)"：准备扣住他，激进一点就能彻底抓住他。
egg|n. （鸡）蛋，卵|The female bird sits on the eggs until they hatch.|雌鸟伏在蛋上直到其孵化。
inferior|adj. 级别低的；（质量等）较差的；n. 地位较低的人|Modern music is often considered inferior to that of the past.|现代音乐常被认为不如过去的音乐。|be inferior to 比...低级|【辨析】interior    adj.内部的，里面的；infer       v.推断，推论；inferiority n.低等，劣等；superior    adj.（规模或实力）更大的，更强的，(在品质上)更好的；exterior    adj.外部的，外面的；interfere   v.干涉，干扰；inference   n.推断，推理；prior       adj.先前的，事先的；senior      adj.年龄大些的；junior      adj.年龄较小的
candy|n. 糖果|Do you want to buy a box of candy ?|你想买盒糖吗？|soft candy 软糖 sugar 食糖，白砂糖；candy cane 棒棒糖；gum up the works 使机器不能开动；使制度不能实行；弄坏；搞乱；be gummed up with 被。。粘住了|【辨析】candle n.蜡烛；【谐音】看滴(candy)"：这些糖果是用来看的，不是用来吃的。；【变形】复数形式：candies
whisper|v. 耳语；秘密告诉；沙沙作响；n. 耳语；轻柔的声音；传言|The children were whispering in the corner.|孩子们正在角落里低声耳语。|being whispered 在流传；heard a whisper 听到一个传闻；in a whisper 小声说|【辨析】whistle n.哨子；whisky  n.威士忌酒；whip    n.鞭子，皮鞭；worship v.敬奉（神）
trousers|n. 裤子|I need a new pair of trousers to go with this shirt.|我需要一条新裤子来配这件衬衫。||【辨析】tourist  n.旅行者，观光客；treasure n.金银财宝，珠宝，财富；【谐音】穿啥子(trousers)"：去正式场合我要穿啥子裤子好。
frank|adj. 坦白的，直率的|The CEO was frank about the current situation of his company.|CEO很坦诚地谈及了公司的现状。|frankly speaking 坦白地说；to be frank 坦白说|【辨析】rank  n.军衔，军阶；blank adj.空白的，空的；fake  adj.伪造的，冒充的；【谐音】弗兰克(frank)"：一个坦率真诚的人。
kid|n. 小孩；v. 开玩笑|A bunch of kids were hanging around outside.|一群年轻人在外面到处游逛。|no kidding 说真的，不要开玩笑；no kid 不要孩子；不开玩笑|【辨析】kind n.种类；kit  n.成套工具，成套设备；kite n.风筝；【变形】过去式：kidded；过去分词：kidded；现在分词：kidding
complicated|adj. 复杂的，难懂的|The theory is so complicated that few people understand it.|这个理论太复杂了，几乎没人能懂。|all up 无望,结束,彻底完了|【辨析】complicate    v.使复杂化，使难以理解；complication  n.使复杂化的难题（或困难）；compliance    n.服从，遵守；compliment    n.赞扬，称赞；complexity    n.复杂性，错综复杂；completely    adv.完全地，彻底地；complete      adj.完全的，彻底的；compatible    adj.兼容的；complex       adj.复杂的，难懂的；complain      v.诉说 （病痛）；sophisticated adj.见多识广的，老练的，见过世面的；comply        v.遵从，服从；【谐音】康不理凯特(complicated)"：这件事比较复杂。
chairperson|n. 主席，董事长|Who shall we appoint as chairperson ?|我们选派谁担任主席呢?|chair preson 主席|【谐音】查破身(chairperson)"：仔细审查主持人的身份。；【变形】复数形式：chairpersons/chairspeople
society|n. 社会；社群；协会|Racism exists at all levels of society .|种族主义存在于社会各阶层。|upper society 上流社会 upper-class 上流社会|【辨析】social    adj.社会的；socialist adj.支持社会主义的，与社会主义有关的；associate v.联想，联系；【变形】复数形式：societies
donate|v. 捐赠|The charitable businessman has donated $10,000 for cancer research.|这位有善心的商人捐出了10000美元用于癌症研究。|donate B for A 将B捐给A；do n ate 不吃是因為要捐贈給別人|【辨析】donation n.捐赠物，捐赠，赠送；dominate v.统治，支配；devote   v.献身，致力；dedicate v.致力于，献身于；【谐音】兜内的(donate)"：把兜里的东西都捐献出去了。；【变形】现在分词：donating
vacancy|n. （职位）空缺；空房|The jobless man searched the newspapers everyday for job vacancies .|这名失业者每天在报纸上寻找刊登的职位空缺信息。|vacate v 空出 重音在后面；we can see 我们能看见 大片大片的 空白，这样子居然还可以过关，新浪表示 鸭梨 很大。；fill a vacancy 补缺；填补空白|【辨析】vacant   adj.（地方）空着的，无人用的；vanity   n.虚荣（心），自负；vicinity n.周围地区，邻近地区，附近；vocation n.（认为某种职业适合自己的）使命感；vacuum   n.真空，真空容器；【谐音】we can see(vacancy)"：空缺我们都看得见。；【变形】复数形式：vacancies
competition|n. 竞争；竞赛|There is now intense competition between schools to attract students.|现在学校之间为了招揽生源展开了激烈竞争。||【辨析】composition n.成分构成，成分；competitive adj.竞争的；competence  n.能力，胜任；competent   adj.能干的，能胜任的；compete     v.竞争，对抗；complete    adj.完全的，彻底的；【谐音】看破替身(competition)"：在比赛中，替身被识破了。
behave|v. 表现（得体）；有自然反应；（机器）运转；起作用|The doctor behaved very unprofessionally.|那位医生的做法十分不专业。|behave oneself 注意举止|【辨析】behalf    n.代表（on behalf of）；behavior  n.行为，举止；behaviour n.行为，举止，态度；【谐音】别黑我(behave)"：你的表现好像要黑我。；【变形】现在分词：behaving
diamond|n. 钻石；菱形；（纸牌的）方块|The diamond is mounted on gold.|这颗钻石镶在金饰物上。|diamond ring 钻戒|【辨析】dialog    n.对话；demand    v.强烈要求；diameter  n.直径；dimension n.大小，尺寸；dialect   n.方言，土话；【谐音】呆萌的(diamond)"：我要给呆萌的你买钻石。
league|n. 联盟，协会；（体育）联赛|United were league champions last season.|联队是上个赛季的联赛冠军。|in league with 与...联合；be in league with 与... ... 勾结；for League 为了联盟|【辨析】leak      v.渗入，漏出；colleague n.同事，同僚；lecture   n.讲座，讲课，演讲；language  n.语言，语言文字；legend    n.传说，传奇故事；legal     adj.法律允许的，合法的；college   n.大学，专科学校；【谐音】立个(league)"：立个条约，我们来联盟。
supreme|adj. 至高无上的；最大的|The Supreme Court upheld the original judgment.|最高法院宣布维持原判。|Supreme authority 最高权力；Supreme Court 最高法院|【辨析】superb  adj.极佳的，质量极高的；prime   adj.主要的，首要的；extreme adj.极大的，极度的；premier adj.首要的，最好的
resumption|n. 重新开始，恢复|The people of both countries are hoping for an early resumption of free trade.|两国人民都希望早日恢复自由贸易。||【辨析】assumption   n.假定，假设；consumption  n.消费，消耗；interruption n.打断，插嘴；resume       v.恢复（职位），回到（座位）
predict|v. 预言，预告|Nobody could predict the outcome.|谁也无法预料结果如何。|weather forecast 天气预测，天气预报|【辨析】product    n.产品，制品；prediction n.预言之事，预报之事；project    n.项目，计划；protect    v.保护，防护；credit     n.信用，信贷，赊购；【谐音】提前(pre)递给(dict)"：预测他会需要。
fever|n. 发烧；狂热|Aspirin should help reduce the fever .|阿司匹林能够退烧。|finish him off 结束，完成；毁灭；吃完|【辨析】forever adv.永远
justice|n. 公正，正义；法官；司法|They are demanding equal rights and justice .|他们要求平等的权利和公正的待遇。|with justice 正当地；freedom and justice 自由和公正；to do sb justice 为某人说句公道话；be governed by 被。。。制约|【辨析】justify v.是……的正当理由；just    adv.正好，恰好；【谐音】就事提事(justice)"：公正、正义。
rug|n. 小地毯；小毛毯|It is warm and comfortable in winter if you put a sheepskin rug on your wooden floor.|冬天里在木板上铺一块羊皮垫子，既温暖又舒适。|Bind the edge 镶边|【辨析】rag   n.抹布，破布；bug   n.<美>昆虫，虫子；mug   n.大杯，马克杯；tug   v.（用力地）拉，拖，拽；hug   v.拥抱；rub   v.擦，磨擦；shrug v.（表示不知道或不感兴趣）耸（肩）；plug  n.（电）插头；【谐音】褥搁(rug)"：把褥子铺在地上，就成了地毯。
hall|n. 大厅；礼堂|She ran into the hall and up the stairs.|她跑进门厅，冲上楼梯。|shock treatment 休克疗法|【辨析】hill  n.山丘，小山；call  v.给……取名；tall  adj.高的，高大的；wall  n.城墙，围墙；ball  n.球，球状物；mall  n.购物中心，步行商业区；fall  v.降落，落下；shall aux.将要，将会（同I和we连用，表示将来）；【谐音】好!(hall)"：礼堂的大厅真大啊！
lag|v. 落在后面；n. 间隔|Jane lags behind her classmates, so she needs to study harder.|简落在了同学的后面，所以她需要更努力地学习。|jet lag 时差；time lag 时间间隔； jet lag 时差，时差反应；lag behind 落后；a lag between 两者间的差距|【辨析】rag  n.抹布，破布；logo n.（公司或组织的）标识，徽标；drag v.拖，拽；beg  v.乞求，恳求；【谐音】拉格(lag)"：比其他人落后或滞后。；【变形】过去式：lagged；过去分词：lagged；现在分词：lagging
eighth|ord. 第八|He ranked eighth in this race.|他在这场赛跑中排名第八。|one eighth 八分之一|【谐音】嘿福磁(eighth)"：第八天过得好吗？
weed|n. 杂草；水草；v. 除草|The yard was overgrown with weeds .|这座庭院杂草丛生。||【辨析】feed   v.饲养，喂养，为……提供食物；seed   n.种子，籽；need   v.需要；deed   n.行为，行动；week   n.星期，周；weep   v.（通常因悲伤）哭泣，流泪；bleed  v.流血，出血；speed  n.（运动）速度；breed  v.交配繁殖；sweep  v.打扫，清除；indeed adv.确实，的确；【谐音】喂的(weed)"：给羊喂的是杂草、野草。
peril|n. 危险，威胁；险情|He managed to survive in spite of great peril and personal suffering.|虽然处境非常危险且历尽磨难，他还是成功地挺过来了。|at one's peril 自己担风险；at your peril 冒险|【辨析】perish   v.（人或动物）惨死，猝死；per      prep.每，每一；perilous adj.危险的，艰险的；pearl    n.珍珠；【谐音】派肉(peril)"：给陌生狗派肉很危险。
waken|v. 醒来；唤醒|The mother wakened the sleeping child early in the morning.|一大早，母亲就叫醒了还在熟睡的孩子。||【辨析】wake  v.唤醒，醒来；weak  adj.虚弱的，无力的；awake adj.醒着的；【谐音】喂啃(waken)"：喂，醒来啃面包了。
fan|n. 风扇，扇子；狂热爱好者；v. 给…扇风|I am a huge fan of The Beatles.|我是甲壳虫乐队的忠实粉丝。|fancy - 奇特的；pan - 平底锅|【辨析】fun     n.乐趣，享受；fancy   v.<英，非正式> 喜欢，想要；fine    adj.令人满意的，可以接受的；fantasy n.幻想，想象；【谐音】烦(fan)"：夏天太热没有风扇，心里很烦。；【变形】过去式：fanned；过去分词：fanned；现在分词：fanning
doctor|n. 医生；博士|You'd better see a doctor about that cough.|你最好找医生治治你的咳嗽。|doctored the evidence 伪造证据|【谐音】刀开他(doctor)"：医生用手术刀给病人开刀。
