reunion|n. 重逢；团圆|We have a family reunion on a monthly basis.|我们家每个月都会团聚一次。|family reunion 家庭团聚 家庭大团圆；family reunion dinner 团圆饭；encounter is reunion 世间所有相遇都是久别【重逢】|【辨析】reunite v.（使）团聚，（使）重聚；union   n.联合，结合；onion   n.洋葱，洋葱头；【谐音】有你(union)"：重新(re)有你。
pick|n. 挑选；精华；选中的人（或物）；v. 挑选；摘，采|She picked the best cake for herself.|她为自己挑了一块最好的蛋糕。|pick a fight 向人挑战；pick out 挑出pick over 挑 PICK UP 捡起 接人上车 恢复健康 偶然学会；pick up 捡起|【辨析】pack  v.（把……）打包，收拾（行李）；pink  adj.粉红色的；sick  adj.生病的，患病的；kick  v.踢，踢腿；quick adj.迅速的，快的；click v.（用鼠标）点击；peak  n.巅峰，顶点；thick adj.厚的，粗的；trick n.花招，诡计，骗局；brick n.砖，砖块；park  n.公园；【谐音】匹克(pick)"：我挑选了这双匹克运动鞋。
stimulus|n. 刺激物；促进因素|The government resort to tax deductions as stimulus which the slow economy needed.|政府采取减税措施为不景气的经济带来了其所需的刺激。||【辨析】stimulant    n.引起兴奋的物质，兴奋剂；stimulate    v.促进，激发（某事物）；simulate     v.假装，冒充；stimulation  n.刺激，激励，兴奋作用；simultaneous adj.同时发生的，同步的；【谐音】死题目(stimulus)"：需要刺激才能解决。；【变形】复数形式：stimuli
mention|v. 提到；n. 提及|She mentioned her ideas to her boss.|她向老板提了自己的想法。||【辨析】motion  n.运动，移动；mental  adj.存在于大脑中的，思考的；emotion n.情感，情绪；【谐音】门神(mention)"：提到门神要敬畏，表示提及或说到。
dependent|adj. 依靠的；由…决定的|You can't be dependent on your parents any more.|你不能再依靠父母了。|depend on 取决于，依赖，依靠|【辨析】defendant    n.被告，被告人；independent  adj.自治的，独立的；descendant   n.后裔，子孙；independence n.独立，自主；【谐音】得盼等他(dependent)"：依赖他、依靠他，所以总是盼着等他。
analytic|adj. 分析的|New analytic methods can help decrease this risk.|新的分析方法能帮助减少这种风险。||【辨析】analytical adj.具备分析能力的，善于分析的；analyse    v.分析，细察；analysis   n.分析；analyze    vt.对……进行分析，分解（等于 analyse）；analogy    n.类比，比拟；analogue   n.相似物，类似事情；【谐音】爱拿例题可(analytic)"：分析问题时爱拿例题来说明。
instructor|n. 教练，导师|The driving instructor told me to pull up at the post office.|驾驶教练让我在邮局停车。||【辨析】instruct    v.指示，吩咐；instruction n.用法说明；instructive adj.有教益的，有启发性的；instrument  n.器械；conductor   n.（乐队等的）指挥；destruction n.破坏，摧毁；【谐音】应死抓课的(instructor)"：好的教员应该认真抓课。
trash|n. 垃圾；垃圾桶；劣质品；废物；v. 破坏；谴责；丢弃|Don't forget to take out the trash every day in summer.|夏天别忘了每天把垃圾拿到外边扔掉。|take out the trash 带走垃圾 （家务活）|【辨析】crash v.撞车，坠毁；track n.小道，小径；trust n.信任，信赖；ash   n.（香烟或木头等的）灰；cash  n.现款，现金
stroke|n. 中风；击球；一击；划水动作；轻抚；笔画；钟声；v. 轻抚|Her grandfather suffered a stroke that left him unable to speak.|她祖父患上了中风，说不了话。|heat stroke 中暑|【辨析】strike v.打，撞；stock  n.（商店的）现货，存货，库存；stake  n.股本，股份；stack  n.（整齐的）一堆；stick  v.粘，贴；shock  n.令人震惊的事；【谐音】是joke(stroke)"：一次打击或中风可能很严重，但别当真。；【变形】现在分词：stroking
rail|n. 铁轨，铁路；扶手；横杆|There's a rail for towels in the bathroom.|浴室里有一根用于挂毛巾的横杆。||【辨析】tail    n.（动物的）尾巴；bail    n.保释；fail    v.失败；nail    n.钉子；hail    v.赞扬，欢呼；jail    n.监狱；sail    v.（人）航行；mail    n.邮政，邮递系统；raid    n.突袭，袭击；trail   n.痕迹，踪迹；railway n.<英>铁路，铁道；trial   n.审判，审理
price|n. 价格；代价；v. 给…定价；给…贴价格标签|The boat is for sale, priced at 2000 dollars.|这艘船待售，售价两千美元。|not any price 说什么也不行 无价值；price range 价格范围（幅度）；price floor 底价|【辨析】prize  n.奖品，奖项；pride  n.自豪（感）；piece  n.块，张，片，段；rice   n.稻；place  n.地点，场所；prince n.王子，王孙；praise v.（尤指公开地）赞美，表扬；pierce v.（锋利尖锐物体）刺入，刺穿；【谐音】破大米(price)"：大米的价格。；【变形】现在分词：pricing
persuasive|adj. 有说服力的，令人信服的|His campaign speech was so persuasive that the audience nodded in agreement.|他的竞选演讲很有说服力，听众纷纷点头赞同。|persuasive manner 晓之以礼|【辨析】persuasion n.说服，劝服；persuade   v.说服，劝服；pursue     v.追求，致力于，执行；pursuit    n.追求，寻找；【谐音】颇使(persua)我(we)信服(sive)"：非常有说服力的。
senator|n. 参议员|She has served as a Democratic senator for North Carolina since 2009.|自2009年来，她一直是北卡罗来纳州的民主党参议员。||【辨析】senate  n.参议院；senior  adj.年龄大些的；sector  n.区域，部分；seminar n.研讨会，培训会
produce|v. 生产；繁育；引起；n. 农产品|He is the marketing manager of a factory that produces microchips.|他是一家微芯片制造厂的市场销售经理。|product n 产品 成果 作品；native produce 土特产|【辨析】product    n.产品，制品；reduce     v.减少，降低；productive adj.多产的，丰饶的；introduce  v.介绍，引见；procedure  n.手续，步骤；production n.（以销售为目的的）生产，制造；【变形】现在分词：producing
brown|adj. 棕色的；n. 棕色，褐色|He has a pair of watery brown eyes.|他有一双水汪汪的棕色眼睛。||【辨析】drown v.（声音）压过，盖过；grown adj.长大的，成年的；born  adj.天生的，生来就有的；burn  v.燃烧，消耗；【谐音】不让污(brown)"：不让褐色的污渍沾染衣服。
discussion|n. 讨论，详述|It is so inefficient that the activity plans have been under discussion for a month.|这个活动计划已经讨论了一个月，效率太低了。|privy to 对……知情；Independence Day 独立日；in favor of 支持|【辨析】discuss    v.讨论，辩论；expression n.表达，表示；【谐音】的士卡身(discussion)"：的士撞车了，得讨论下一步怎么办。
ragged|adj. 破旧的；衣衫褴褛的|He decided to do something meaningful to help those ragged children.|他决定做些有意义的事来帮助那些衣衫褴褛的孩子。|in rags 衣衫褴褛的|【辨析】rag    n.抹布，破布；rage   n.盛怒，狂怒；raging adj.强烈的
systematically|adv. 系统性地，有条理地|The police are searching systematically for evidence against the killer.|警方正在系统地搜寻指控凶手的证据。||【辨析】systematic adj.有系统的，有条理的，仔细周到的
publicize|v. 宣扬，推广|He did charity but let the media not publicize it.|他做了慈善却让媒体不要宣扬。||【辨析】publicly    adv.公开地，公然地；publicity   n.（媒体的）关注，报道；publication n.出版，发行；publish     v.出版，发行（书、杂志等）；republic    n.共和国，共和政体；republican  adj.共和政体的，共和国的；【谐音】怕不理赛事(publicize)"：担心没人关注比赛，赶快公开宣传。；【变形】现在分词：publicizing
with|prep. 和…一起；具有；由于；包括…在内|She lives with her parents.|她和父母住在一起。||【辨析】without prep.没有，缺乏；【谐音】位子(with)"：和对我有用的人在一起。表示伴随、支持的关系。
Internet|n. 互联网|You can buy our goods over the Internet .|可以通过互联网购买我们的货品。|actually appeared to 似乎确实；internet geek 网虫；Internet booking 网上预订；over the Internet 通过网络
watchful|adj. 注意的；警惕的|His mother kept a watchful eye on him.|他的母亲特别留心他。|watch out 当心；be watchful of 警惕
flee|v. 逃走|The frightened people fled from the fire.|人们惊恐万状地逃离了火灾现场。||【辨析】free adj.免费的；fee  n.费用，酬金；feel v.感受到，体会到；feet n.脚（foot 的复数形式）；flow v.流动，流淌；fare n.交通费用；【谐音】飞离(flee)"：要逃得快，就像飞一样离开。；【变形】过去式：fled；过去分词：fled
behavioral|adj. 行为的|Those experiments confirmed a fact that closely related species have similar behavioral patterns.|这些实验证实了一个事实，即近亲物种具有相似的行为模式。|behavioral science 行为科学；behavioral economics 行为经济学
perfection|n. 完美；圆满|A writer should polish his writing repeatedly so as to get closer to perfection .|作家应当不断润色自己的写作以趋近于完美。|to perfection 完全地;完满地；take off 模仿，起飞，脱掉，去除，匆匆离开，取消|【辨析】infection n.传染病；affection n.喜爱，关爱；defection n.脱离，退出，叛逃；effective adj.产生预期结果的，有效的；defective adj.有问题的，有缺陷的；【谐音】颇费个心(perfection)"：需要付出很多努力才能达到完美。
suggest|v. 建议；推荐；表明；暗示|May I suggest a white wine with this dish, Sir?|先生，吃这道菜，我给您推荐一种白葡萄酒，好吗？||【辨析】suggestion n.建议，意见
hill|n. 小山；斜坡|He lived in a hut on the hill .|他住在山上的小屋里。|hill of beans 小事，琐碎事情|【辨析】hall n.礼堂，大厅；pill n.药片，药丸；fill v.（使）充满，占满；kill v.杀死；till prep.直到，到……为止；will v.将，将要；bill n.（商品、服务或餐馆的）账单；ill  adj.有病的，不舒服的；heel n.脚后跟；【谐音】嘿哟(hill)"：嘿哟嘿哟地爬过小山。
cowardly|adj. 怯懦的|I was too cowardly to argue with him about the issue.|我太胆小了，不敢就此问题和他争论。|a cowardly surrender 一个怯懦的投降者|【辨析】coward    n.胆小鬼，懦夫；cowardice n.怯懦，胆小；【谐音】靠我的力(cowardly)"：因为胆小所以要依靠我的力量。
player|n. 运动员；玩家|A basketball match requires five players on each side.|一场篮球赛需要两支队伍各5名球员。|a major player 一个积极参与者|【辨析】play v.（尤指儿童）玩，玩耍；【谐音】怕累哦(player)"：因为怕累，所以成为玩家。
role|n. 作用；角色；职能|She refused to take on the traditional woman's role .|她拒绝承担传统妇女的角色。|play a role in 起...作用；leading role 主角；role play 角色扮演；dual role 双重身份|【辨析】rule n.规章，条例；hole n.洞，坑；pole n.杆，柱；roll v.（使）翻滚，滚动；raw  adj.生的，未煮过的
diplomatic|adj. 外交的；老练的|Those two countries have broken off diplomatic relations again.|那两个国家再次终止了外交关系。|diplomatic muscle 外交力量；diplomatic disputes 外交争端|【辨析】diplomat   n.外交官，外交家；diploma    n.毕业文凭，学位证书；diplomacy  n.外交，外交技巧；democratic adj.平等的，有民主精神的；domestic   adj.国内的，本国的；duplicate  v.复制，复印；dilemma    n.（进退两难的）窘境，困境
cruise|n. 航行；乘船游览；v. 乘船游览；以平稳速度行驶|You can take a leisurely cruise on the lake.|您可以悠闲地乘船渡湖。||【辨析】bruise  n.青瘀，伤痕；crude   adj.粗略的，大概的；curse   n.骂人话，咒骂语；cuisine n.烹饪，风味；crucial adj.至关重要的，决定性的；recruit v.招聘，招收（新成员）；【谐音】酷死了(cruise)"：乘船游览真是酷极了！；【变形】现在分词：cruising
conceptual|adj. 概念的，观念的|The car on display was just a conceptual model.|本次展出的汽车只是个概念模型。||【辨析】concept    n.概念，观念；conception n.概念，观念；conceive   v.构思，设想；【谐音】啃三部曲(conceptual)"：三部曲代表一个完整的概念。
frighten|v. 使惊吓，使惊恐|She's not easily frightened .|她不是轻易能吓倒的。||【辨析】fright      n.惊骇，恐怖，惊吓；frightening adj.可怕的，骇人的；flight      n.航班，班机；friction    n.不和，分歧；freight     n.货物；fragile     adj.易碎的，易损的；fight       v.与……作斗争，坚决反对；fiction     n.小说；【谐音】腹来疼(frighten)"：吓得肚子疼，形容非常害怕。
scientist|n. 科学家|They are scientists from the University of Miami.|他们是迈阿密大学的科学家。||【辨析】scientific adj.科学的，与科学有关的；science    n.科学，科学知识
liability|n. 责任；债务；起妨碍作用的人（或物）|The company is reported to have liabilities of about 4 million dollars.|据报道，该公司负债约400万美元。|criminal liability 刑事责任|【辨析】liable         adj.（在法律上）有责任的，有义务的；liberty        n.自由，自由权；accountability n.责任，责任心，可说明性；【谐音】来背了题(liability)"：这是你的义务和责任。；【变形】复数形式：liabilities
highway|n. 公路|They eventually decided to drive on the highway to save time.|他们最终决定开上公路，以节省时间。|highway code 交通法规；business went to pot 生意冷落；be charged with 受控告|【辨析】way     n.方法，手段；railway n.<英>铁路，铁道；【谐音】嗨(hi)路(way)"：跑起来很嗨的路，指高速公路。
virtuous|adj. 品行端正的|He described her as a virtuous and hard-working person.|他把她描述成一个品德高尚、工作勤劳的人。||【辨析】vigorous  adj.精力充沛的，充满活力的；virtual   adj.几乎……的，实质上的；virtue    n.高尚的道德，德行；virus     n.病毒；virtually adv.事实上，几乎；【谐音】为他而死(virtuous)"：为他人牺牲的人，品格高尚。
quota|n. 定额，限额；指标|The government has imposed quotas on the export of tea.|政府已经对茶叶出口实施配额限制。|Production quota 生产配额|【辨析】quote     v.引用，引述；quart     n.夸脱（液体单位，英制中约为1.14升，美制中约为0.95升）；quotation n.引语，引文；【谐音】抠他(quota)"：他很抠，做什么都有一定的限额。
climb|v. 攀登；升高；上升；攀缘生长；n. 攀登；增值，上升|She climbed up the stairs.|她爬上了楼梯。|climb mountains 翻译过来为爬山，但不是中式如爬峨眉山等旅游性的，而是一般有绳索等工具，具有极大困难性，而中式如爬峨眉山之类仅旅游性质的为 hike；to go climbing 去登山； a climbing accident 登山事故； a climbing wall 攀登练习墙|【辨析】club    n.俱乐部，社团；claim   v.声称，断言；comb    n.梳子；lamb    n.羔羊，小羊；climate n.气候；【谐音】客来吗(climb)"：客人来了吗？来了我们就要爬山了。
semester|n. 学期|New students often get registered at the beginning of the fall semester .|新生们通常在秋季学期初报到注册。||【辨析】seminar n.研讨会，培训会
diligent|adj. 勤奋的|After years of diligent research, he finally finished his book.|经过多年的辛苦研究，他终于写完了他的书。||【辨析】diligence   n.勤奋，用功；intelligent adj.聪明的；dignity     n.尊严，自尊；elegant     adj.（人）高雅的，举止优雅的；【谐音】地里枕头(diligent)"：睡觉都在地里，干活很勤奋。
stand|v. 站立；忍受；位于；维持不变；n. 立场；看台；货摊|She was too weak to stand .|她虚弱得站都站不住。|stand by 袖手旁观； stand for 代表，忍受；stand the test of time|【辨析】standard n.（品质的）标准，水平，规范；【变形】过去式：stood；过去分词：stood
lass|n. 年轻女子|He was deeply attracted to a beautiful lass from London.|他被一位来自伦敦的漂亮姑娘深深地吸引住了。||【辨析】mass n.团，块；lad  n.男孩，小伙子；lace n.网眼织物，蕾丝；lest conj.以免，避免；【变形】复数形式：lasses
thin|adj. 薄，细，瘦；adv. 薄薄地；v. （使）变少；（毛发）变稀疏|A number of thin cracks appeared in the wall.|墙上出现了许多细裂缝。|thin out 变稀薄；变淡；煤层薄；稀薄|【辨析】then  adv.（指过去）当时，（指将来）到那时；thick adj.厚的，粗的；trick n.花招，诡计，骗局；【谐音】信(thin)"：我相信我会变瘦。；【变形】比较级：thinner；最高级：thinnest；现在分词：thinning
downstairs|adj. 在楼下的；adv. 往楼下，在楼下；n. 楼下|She cleaned the downstairs rooms for guests.|她为客人打扫了楼下的房间。||【辨析】upstairs adv.往楼上，在楼上
inclination|n. 倾向；趋势；倾斜度；兴趣|She had neither the time nor the inclination to help them.|她既没有时间也不愿意帮助他们。||【辨析】incline v.（使）倾向于；【谐音】因克力内伸(inclination)"：墙克服了支持力，所以向内倾斜。
shall|mod. v. 将要；可以；应该|This time next week I shall be in Scotland.|下周这个时候我就在苏格兰了。||【辨析】shell  n.（蛋、坚果、某些种子和某些动物的）壳；shame  n.羞耻，羞愧；share  v.共享，合用；shape  n.形状，外形；shake  v.摇动，抖动；hall   n.礼堂，大厅；should aux.应该；will   v.将，将要；【谐音】笑(shall)"：他将要笑了。
review|n. 审查；评价；报告；复习；v. 审核；反思；写评论；复习|She wrote a review after watching this movie.|看完这部电影后，她写了一篇评论。|go over 复习，从温|【辨析】revise   v.改变，修正；preview  n.预映，预演，预展；revision n.修改，修订；【谐音】人无忧(review)"：复习回顾后，不用担心考试。
put|v. 放置；将…送往；安装；使…处于；表达|Did you put sugar in my coffee?|你在我的咖啡里放糖了没有？|put on 穿上 put off 使...厌恶，推迟，延迟；put down 记下；put down to 把（某事）归因于|【辨析】set v.放，置；【谐音】破特(put)"：放置破损的特殊物品到指定地方。；【变形】过去式：put；过去分词：put；现在分词：putting
pencil|n. 铅笔|She can draw vivid animals with a pencil .|她能用铅笔画出栩栩如生的动物。||【辨析】pen n.笔，钢笔；【谐音】盘搜(pencil)"：铅笔丢失了需要到处找。
loudly|adv. 大声地|Don't be afraid and speak your mind loudly .|不要害怕，大声说出你的想法。||【谐音】闹得你(loudly)"：噪音大到让你睡不着，声音很大地吵闹。
falsehood|n. 谎言，虚假|The police found that the criminal was deliberately telling a falsehood .|警察发现罪犯在故意说谎。|be turned into 变成|【辨析】false      adj.错误的，不真实的；livelihood n.生计，营生；likelihood n.可能，可能性；childhood  n.童年，幼年时代；【谐音】发誓，唬的(falsehood)"：发的誓都是唬人的谎言。
bill|n. 法案；账单；纸币；v. 开账单|We ran up a massive hotel bill .|我们累积了大笔的旅馆费。|a clean health bill 健康证明；billing information 账单信息；be billed as 被标记成|【辨析】bell    n.钟，铃；pill    n.药片，药丸；fill    v.（使）充满，占满；kill    v.杀死；hill    n.山丘，小山；till    prep.直到，到……为止；will    v.将，将要；ill     adj.有病的，不舒服的；billion num.十亿；【谐音】币噢(bill)"：就是钱啊。
be|v. 是；有，存在；位于；前往；等于|I'll be right back.|我马上就回来。
many|adj. 许多的，大量的；adv. 大量；n. 多数人；pron. 许多人或物|You can't have one each. We haven't got many .|你们不能一人一个。我们没有很多。||【辨析】more det.（数、量等）更多的，更大的（much、a lot of 和 many 的比较级）；most det.（数量上）最多，最大（ much, a lot of, many 的最高级）；【谐音】卖力(many)"：一个男的给你很多钱。
resultant|adj. 因而发生的|Both sides were shocked by the violence and the resultant loss of life.|双方对这起暴力事件以及由此引发的生命损失感到震惊。|result in 导致,引起；result from 由…引起,是…的结果|【辨析】reluctant  adj.勉强的，不情愿的；consultant n.顾问；【谐音】结果(result)安特(ant)"：合成的结果。相关词：resistant（抵抗的），reluctant（不情愿的），consultant（顾问）。
surf|v. 上网；冲浪|David learned to surf when he was living in Xiamen.|大卫住在厦门时，学会了冲浪。|surfing the net 上网；surfing the internet 上网冲浪|【辨析】sure    adj.确信的，有把握的；surfing n.冲浪运动；surface n.表面；stuff   n.东西，物品；suffer  v.（因疾病、痛苦、悲伤等）受苦，受折磨；surgeon n.外科医生；scan    vt.细看，审视；【谐音】舒服(surf)"：冲浪很舒服。
skirt|n. 裙子；边缘|Her long skirt billowed in the breeze.|她的长裙在微风中飘动。|skirt round 回避|【辨析】shirt n.衬衫，恤衫；skill n.技巧， 技艺；skate n.溜冰鞋，滑冰鞋
bed|n. 床；河床；底层|She lay on the bed .|她躺在床上。|a bed of roses 心满意足的境遇；安乐窝；bed down 打地铺；maternity ward 产科病房；be not all roses 并非完美，不是尽善尽美；并非十分轻松愉快|【辨析】bad adj.坏的，不好的，令人不悦的；bid v.出价；red adj.红的，红色的；dad n.爸爸；【谐音】白的(bed)"：医院都用白色的床单。
still|adj. 静止的，平静的；adv. 仍然，还是|I wrote to them last month and I'm still waiting for a reply.|我上个月给他们写了信，到现在还在等回音。|still waters 死水；a still drink 无汽饮料 a fizzy drink 含气饮料|【辨析】skill  n.技巧， 技艺；spill  v.（使）洒出，泼出，溢出；till   prep.直到，到……为止；until  conj.到……时，直到……为止；silent adj.（人）安静的，沉默的
chicken|n. 鸡（肉）|They keep chickens in the back yard.|他们在后院养鸡。|chicken out 退缩，因胆怯懦弱而退出；chicken pox 水痘|【辨析】kitchen n.厨房；【谐音】吃(chi)一次(c)肯(ken)"：吃一次肯德基的鸡肉(chicken)。
single|adj. 单个的；单身的；单人的；单程的；n. 单曲|He sent her a single red rose.|他送给她一支红玫瑰。|single baby 独生子女；one single hoot 一点儿；singles' day 光棍节|【辨析】simple   adj.简单的，简明的；angle    n.角；signal   n.信号，暗号；sample   n.样本，样品；singular adj.单数的，单数形式的；【变形】现在分词：singling
delegate|v. 选派；授权；n. （会议）代表|The new manager was delegated to reorganize the department.|这位新经理被派来重新组织该部门。|meets delegates 会见代表|【辨析】delicate   adj.柔和的，清淡的；dedicate   v.致力于，献身于；delete     v.删除；delegation n.代表团；designate  v.把……定名为，把……描述为；deplete    v.大量减少，耗尽；aggregate  n.总数，合计；legitimate adj.正当的，合理的；【谐音】代理给他(delegate)"：委托他代表你进行某种活动。；【变形】现在分词：delegating
reliable|adj. 可信赖的；真实可靠的|We are looking for someone who is reliable and hard-working.|我们在物色可靠而又勤奋的人。||【辨析】reliance   n.依靠，信任；liable     adj.（在法律上）有责任的，有义务的；relieve    v.缓解（疼痛或不快的感觉）；realize    v.了解，意识到；relay      v.传递，传达（信息、新闻等）；real       adj.实际存在的，非想象的；really     adv.真正地，事实上；dependable adj.可靠的，可信赖的；【谐音】赖二伯(reliable)"：依赖二伯，因为他很可靠。
successful|adj. 成功的，有成效的|Her second attempt at baking was a lot more successful .|她的第二次烘焙尝试要成功得多。|successful in 在...成功的|【辨析】success n.成功，胜利；succeed v.成功，达成；【谐音】谁可晒死否(successful)"：那就是成功的啦！
spin|n. （高速）旋转；v. （快速）旋转；（使）急转身|The figure skater is spinning on ice.|花样滑冰选手正在冰上旋转。|spin off 分拆；spin out 拖长 , 消磨；put a good spin 美化；spin a yarn 编故事|【辨析】spun  v.（使）旋转；span  n.时间跨度，一段时间；spit  v.啐唾沫（常表示愤怒或鄙视）；spite n.恶意，怨恨；【谐音】丝(s)拼(pin)"：把丝拼在一起就是纺纱。纺纱时纺锤要旋转，齿轮在疾驰。；【变形】过去式：spun；过去分词：spun；现在分词：spinning
