lunch|n. 午餐|The dishes for lunch were really rich and tasty.|午餐的菜肴真是丰盛可口。||【辨析】bunch  n.束，串，扎；launch v.发动，发起；【谐音】浪吃(lunch)"：午餐时放松享受美食。
bundle|n. （一）捆，包，扎；一批；巨款|I received a bundle of letters last month.|我上个月收到了一沓来信。|make a bundle 赚大钱；a bundle of 一捆|【辨析】huddle v.蜷缩，依偎；bind   v.捆绑，系；bunch  n.束，串，扎；【谐音】绑的(bundle)"：绑着的样子，表示捆、束、包。
argumentative|adj. 爱争论的，好辩论的|Calm down! Don't be so argumentative .|冷静点！ 别这么爱争论。||【辨析】argumentation n.论证，推论；argument      n.争论，争吵
vertical|adj. 垂直的；纵向的|The cliff was almost vertical .|那悬崖几乎是笔陡的。||【辨析】virtual adj.几乎……的，实质上的；verbal  adj.口头的，非书面的；【谐音】我提扣(vertical)"：提衣服扣子是垂直向上的。
mad|adj. 发疯的；气愤的；痴迷的|Inventors are not mad scientists.|发明家不是精神不正常的科学家。||【辨析】mud n.泥，淤泥，泥浆；mat n.地垫，垫子；map n.地图；【变形】比较级：madder；最高级：maddest
illness|n. 疾病|We should pay more attention to mental illnesses .|我们应当对精神疾病更加关注。|pull through one's illness 恢复健康|【辨析】ill adj.有病的，不舒服的
silk|n. 丝绸；（蚕）丝|Chinese silk is world-famous.|中国丝绸举世闻名。|The Silk Road 丝绸之路；silk gown 固定搭配|【辨析】sick  adj.生病的，患病的；milk  n.（牛或羊等的）奶；silly adj.愚蠢的，傻的；【谐音】死凉快(silk)"：穿丝绸衣服很凉快。
town|n. 市镇|I took a bus to the nearest town .|我搭公交去最近的镇上。||【辨析】twin     n.双胞胎之一，孪生儿之一；tower    n.塔，塔楼；towel    n.毛巾，抹布，纸巾；downtown adj.市中心的，商业区的；text     n.（书、杂志等中区别于图片的）正文，文字材料；【谐音】逃了(town)"：小镇上的人全都逃走了。
few|adj. 几个，很少；pron. 很少人（或事物、地方）|Few people understand the difference.|很少有人了解这个差别。|few a few 修饰可数 little a little 修饰不可数；of few words 寡言少语的,沉默寡言的(人)
bad|adj. 坏的；劣质的；不擅长的；严重的|I'm having a really bad day.|我今天倒霉透了。|bad check 空头支票 I want it bad 我迫不及待的想要得到|【辨析】bed   n.床，床铺，床位；dad   n.爸爸；badly adv.严重地；【谐音】败的(bad)"：坏得很惨。；【变形】比较级：worse；最高级：worst
unemployment|n. 失业|Mass unemployment may lead to social instability.|大批失业可能会导致社会不稳定。|out of work 失业|【辨析】employment n.雇用
sin|n. 罪恶，罪孽；v. 犯戒律|She confessed her sins in front of the Father and prayed for forgiveness from God.|她在神父面前忏悔了她的罪过，祈求上帝的原谅。|sin city 罪恶之城|【辨析】pin n.（尤指做衣服时固定布料用的）别针，大头针；bin n.垃圾桶；tin n.锡（一种化学元素，符号为 Sn）；kin n.（统称）家属，亲戚；【变形】过去式：sinned；过去分词：sinned；现在分词：sinning
intensify|v. 加剧，增强|The war has intensified in the last few months.|战争在过去的几个月里变得更加激烈了。||【辨析】intensity n.强烈，剧烈；intensive adj.加强的，集中的，深入细致的；intense   adj.很大的，十分强烈的；intend    v.打算，想要；intent    adj.专注的，专心致志的；density   n.稠密，密集；【谐音】一滩稀饭(intensify)"：一滩稀饭怎么够吃，要加强营养。；【变形】过去式：intensified；过去分词：intensified
inclusive|adj. 全部包含在内的；范围广泛的|The rent is inclusive of water and heating.|租金包括水费和暖气费。|inclusive government 理事会；include v 包含|【辨析】inclusion  n.包含，包括；exclusive  adj.独有的，专用的；conclusive adj.结论性的，毫无疑问的；conclusion n.结论，推论；【谐音】赢可路师傅(inclusive)"：师傅请客吃饭，包括全部费用。
dirty|adj. 肮脏的；下流的；v. 弄脏|Don't touch these books with dirty hands.|不要用脏手碰这些书。|dirty stories 下流故事|【辨析】dirt  n.污物，尘土；diary n.日记；duty  n.责任，义务；dairy adj.奶制的，乳品的；daily adj.每日的，日常的；dry   adj.干的；dust  n.沙尘；【变形】比较级：dirtier；最高级：dirtiest；过去式：dirtied；过去分词：dirtied
reporter|n. 记者|The event attracted newspaper reporters from all over the world.|这个事件吸引了全球的报社记者。|expose plot 揭露阴谋|【辨析】report n.报告，汇报；porter n.（火车站、机场等的）行李搬运工人，脚夫；export v.出口；import n.进口，进口商品；port   n.港口，避风港
assistant|n. 助手；助教；adj. 助理的；副的|The boss wants to employ an assistant to deal with some routine work.|老板想雇一名助理来帮他打理一些日常工作。|shop assistant 店员；assistant to 协助 …… assistant + 职务名称，解释为“副”---assistant director 副导演；not in the least 毫无，全不|【辨析】assistance n.帮助，援助；assist     v.帮助，协助；resistance n.反对，抵制；attendant  n.服务人员；accountant n.会计，会计师
interpreter|n. 口译工作者|The leaders of the two countries and their interpreters were present at the meeting.|两个国家的领导人及各自的译员出席了会议。||【辨析】interpret      v.解释，说明；interpretation n.解释，理解；interrupt      v.打断，打扰；【谐音】因他陪同(interpreter)"：有口译员陪同就不怕听不懂。
reflection|n. 反射；倒影；反映；深思熟虑；回忆|The girl could see her reflection in the water, shimmering in the moonlight.|女孩可以看到她在水里的倒影在月光下摇曳。|on further reflection 再一考虑|【辨析】reflective adj.反射的，反光的 ；reflect    v.反射（光、热或声音）；infection  n.传染病；inflation  n.通货膨胀，通胀率
exercise|v. 锻炼；行使；n. 锻炼；练习；行使|I don't get much exercise sitting in the office all day.|我整天坐在办公室很少运动。|get some exercise 做运动|【辨析】executive  adj.行政的，有执行权的；experiment n.实验，试验；experience n.经历，往事；expensive  adj.花钱多的，昂贵的；existence  n.存在，实有；examine    v.检查，调查
cohesion|n. 凝聚性；结合，黏合|The lack of cohesion within the team made them lose the game.|球队内部缺乏凝聚力使得他们输掉了比赛。|social cohesion 社会融合；the inside cohesion 内部凝聚力；moral cohension 精诚团结；national cohension 民族凝聚力|【辨析】cohesive  adj.团结的，有凝聚力的；coherent  adj.有条理的，连贯的；coherence n.连贯性，条理性；【谐音】靠牺牲(cohesion)"：革命先烈的牺牲换来了民族的团结和凝聚力。
oneself|pron. 自己，自身|One cannot choose freedom for oneself without choosing it for others.|人不能光为了自己的自由而不顾别人的自由。|to be oneself 保持自己的内心；take upon oneself 擅自作主 越权处理|【辨析】myself pron.我自己；【谐音】忘校服(oneself)"：忘记带校服，都怪我自己。
typist|n. 打字员|She worked as a typist in the company until she retired.|她在该公司担任打字员直到退休。|check over 检查，预览|【辨析】typical    adj.典型的，有代表性的；typewriter n.打字机
cube|n. 立方体；小房间|The cube of 5 (5³) is 125 (5×5×5).|5的立方（5³）是125。||【辨析】cute  adj.漂亮的，可爱的；cure  n.药物，疗法；cue   n.暗示，提示；clue  n.线索，提示；tube  n.（金属、塑料、玻璃等材料制的）管，管子；curb  v.控制，抑制；cubic adj.立方的；club  n.俱乐部，社团；acute adj.严重的，危险的；【谐音】Q不(cube)"：水立方是立方体。
cookie|n. 曲奇饼|This bakery sells delicious cookies every afternoon.|这家烘焙坊每天下午都会出售可口的曲奇饼。|a tough cookie 一个干练的家伙|【辨析】cooker n.<英>炊具，锅，厨灶；cook   n.厨师，炊事员；【谐音】哭泣(coo)"：小孩哭了给她一个小甜饼。
adopt|v. 采纳；收养；正式批准|There is a campaign to encourage childless couples to adopt a baby.|有鼓励无子女夫妇领养孩子的活动。|adapt to 适应|【辨析】adapt v.适应
editorial|n. 社论；adj. 编辑的，主编的|The paper follows an editorial policy that puts great emphasis on foreign news.|本报遵循非常重视外国新闻的编辑政策。|get one's claws into 蓄意伤害|【辨析】editor     n.编辑；auditorium n.观众席；periodical n.（尤指学术）期刊；edit       v.编辑，校订；edition    n.版本，版次
planner|n. 规划者，设计师|He worked as a wedding planner for them.|他充当了他们的婚礼策划人。||【辨析】banner n.横幅标语；【谐音】不来呢(planner)"：如果不做好计划，事情可能就不会顺利进行。
cave|n. 洞穴，山洞；v. 塌陷；让步|He lived in a cave for nearly a month before the police caught him.|他在山洞里住了近一个月后，警察才抓到他。|cave in 塌落；认输|【辨析】cage  n.笼子；wave  v.挥手；save  v.救助，搭救；carve v.雕，刻；curve n.曲线，弧线；vase  n.花瓶，（装饰用的）瓶；curse n.骂人话，咒骂语；crack v.破裂，裂开；【谐音】开(ca)挖(ve)"：开挖形成的山洞。
reluctance|n. 不情愿，勉强|His reluctance to leave his children is understandable.|他不愿离开自己的孩子是可以理解的。|Re luck 去掉幸运、幸福，只剩下勉强、厌恶。；reluctant adj 不情愿的 reluctance n 不愿|【辨析】reluctant adj.勉强的，不情愿的；redundant adj.<英> 被解雇的，被裁员的
population|n. 人口（数量）；种群|One third of the world's population consumes/consume two thirds of the world's resources.|世界上三分之一的人口消耗着全球三分之二的资源。|wipe out 彻底摧毁,消灭 v. 根除,消灭|【辨析】popularity n.流行，普及，受欢迎；reputation n.名誉，名声；popular    adj.受大众喜爱的，受欢迎的；pollution  n.污染
slice|n. 薄片；部分；v. 切，割，划；把…切成薄片；大幅削减|She had a slice of bread and an egg for breakfast.|她早餐吃了一片面包和一个鸡蛋。|slice from 切开 ，切片开始|【辨析】slide   v.（使）滑行，滑动；slip    v.滑倒，失足；piece   n.块，张，片，段；silence n.寂静，无声；silver  n.银；【谐音】撕裂(sl)冰(ice)"：撕裂开的冰块都是薄片状的。；【变形】现在分词：slicing
destroy|v. 破坏，摧毁；毁掉|The building was completely destroyed by fire.|这栋建筑物被大火彻底焚毁了。||【辨析】destruction n.破坏，摧毁；【谐音】抵死拽(destroy)"：死拽着不让他们破坏。
regard|n. 关注；尊重，敬佩；v. 看待，将…视为；注视|Her work is very highly regarded .|她的工作受到高度评价。|be regarded as 被认为是 被当做是；in this regard 在这点上；have regard to 与…有关系；考虑,重视,关心；in regards to 有关...；in regard to 关于|【辨析】regret     v.懊悔，惋惜；regarding  prep.关于，至于；regardless adv.不顾，不加理会；guard      n.卫兵，警卫；【谐音】伟大的(regard)"：伟大的人被我们尊敬，我们把他们看待成榜样。
suggestive|adj. 使人想起…的，引起联想的|This movie contains some suggestive information that causes children to have violent tendencies.|这部电影包含了一些使孩子们有暴力倾向的暗示性信息。|suggestive of 暗示；使联想|【辨析】subjective adj.出自（或涉及）个人感情的，个人的
mechanization|n. 机械化|The future of agriculture lies in mechanization .|农业的未来在于机械化。||【辨析】mechanize  v.使机械化，用机械装备；mechanical adj.机械（方面）的；mechanism  n.机械装置，机件；mechanics  n.机械学，力学；mechanic   n.机械工，机修工；【谐音】没看你在线(mechanization)"：都采取机械化了，不需要人工。
blast|n. 爆炸；强劲气流；响声；v. 炸毁；轰鸣|27 people were injured in the blast .|27人在爆炸中受了伤。|blast out 音乐大声播放 炸开 炸出；blast away 连续高声的射击|【辨析】boast  v.有（值得自豪的东西）；bless  v.求上帝保佑，祈神赐福，祝福；burst  v.爆炸，爆裂，胀开；blaze  v.熊熊燃烧；blade  n.刀片，刀刃；blush  v.（因感到难堪或羞愧而）脸红；breast n.乳房；bloom  n.花，花朵；【谐音】不(b)拉斯特(last)"：爆炸是瞬间的事，不会持续很久。
labour|n. 劳动；任务；劳工；v. 努力做；干苦力活|Mechanized farming reduces the need for labour .|机械化耕作使得对劳动力的需要减少了。|labour contract 劳动合同；labour a point 过于详述 (或过分强调)一个论点|【辨析】harbour n.港口；【谐音】累吧(labour)"：劳动很累。
guitar|n. 吉他|He's really great at playing the guitar .|他的吉他弹得真好。||【辨析】guilty adj.内疚的，羞愧的；guard  n.卫兵，警卫；guide  v.带领，引导（某人至某地）；【谐音】给他(guitar)"：给他一把吉他。
restraint|n. 限制；抑制；克制|His rage was beyond restraint .|他怒不可遏。|restraint in 在某方面的束缚/限制|【辨析】restrain v.制止，阻止；restrict v.限制，控制（大小、数量、范围）；refrain  v.克制，避免；resist   v.阻挡，抵制；strain   n.焦虑，紧张
retention|n. 保留；维持；记忆力|The manager argues against the retention of old technology which has slowed the company's growth.|那位经理反对保留那些阻碍公司发展的旧技术。|retention period 保存期|【辨析】contention n.看法，观点；tension    n.紧张，焦虑；resent     v.怨恨，憎恶；retain     v.保持，保留；【谐音】重复十遍才行(retention)"：重复背诵十遍才能保持记忆。
drift|v. 漂流；缓慢移动；使漂浮；无意间陷入；n. 流动；趋势；偏航|The empty boat is drifting out to sea.|这艘空船正向大海漂去。|drift off 渐渐离开；drift apart 疏远|【辨析】draft  n.草稿，草案；drill  n.钻，钻机；thrift n.节约，节俭；swift  adj.迅速的，立刻的；craft  n.工艺，手艺；shift  v.（使）移动，（使）转移；【谐音】驾驶(drive)转换(shift)"：组合成 drift，表示漂移。
tremendous|adj. 惊人的；极大的|He heard a tremendous explosion.|他听见了巨大的爆炸声。|a tremendous task 一项艰巨的任务；have a hold over 对…有支配力
envelope|n. 信封|He tore open the envelope and read the letter.|他撕开信封读了信。|red envelope 红包|【辨析】develop v.（使）成长，发育，发展
chemical|adj. 化学的；n. 化学制品|It is necessary to conduct a chemical analysis of the soil.|有必要对土壤进行化学分析。||【辨析】chemist   n.化学家；chemistry n.化学；【谐音】开米口(chemical)"：检查有没有化学物质污染。
bakery|n. 面包店|This bakery with delicious bread is popular among young girls.|这家面包美味的面包店很受女孩子的欢迎。|bakery and confectionery 食品厂|【辨析】bake    v.炎热，灼热；battery n.电池，蓄电池；betray  v.背叛，出卖；brake   n.刹车，车闸；cake    n.饼状食物，饼；【谐音】贝壳唉(bakery)"：面包房里有很多贝壳。(bake烘烤+ry)；【变形】复数形式：bakeries
hesitation|n. 犹豫；不情愿|He adopted this idea without hesitation .|他毫不犹豫地采纳了这个主意。|balk at 回避；畏缩|【辨析】hesitate    v.犹豫，不愿意；hesitant    adj.犹豫的，不愿的；destination n.目的地，终点，目标
pretense|n. 伪装，假象|He continued a pretense of normality as long as he could.|他尽可能地继续装作一切正常。||【辨析】presence n.出席，存在
manly|adj. 有男子汉气概的|His deep manly voice attracted the attention of audience.|他那低沉雄浑的嗓音引起了听众的注意。||【辨析】manual  adj.手工的，体力的；mainly  adv.主要地，首要地；male    adj.男性的；mankind n.人类；【谐音】蛮力(manly)"：男人有力量才有阳刚之气，形容男子气概的。；【变形】比较级：manlier；最高级：manliest
muscle|n. 肌肉；体力|Tom strained a leg muscle when he was playing soccer.|汤姆在踢球的时候拉伤了腿部肌肉。||【辨析】must     aux.（表示必要或很重要）必须；miracle  n.奇迹，不可思议的事；mouse    n.老鼠；muscular adj.肌肉的，影响肌肉的；female   adj.女性的，妇女的；【谐音】马瘦(muscle)"：因为马身上全是肌肉。；【变形】现在分词：muscling
fragmentary|adj. 残缺不全的|Fragmentary evidence can't support the theory.|零零星星的证据不能支持这个理论。||【辨析】fragment      n.碎片；fragmentation n.破碎，分裂；fragrant      adj.芳香的；fragrance     n.芳香，香气；【谐音】飞来个门托尼(fragmentary)"：东西被打碎成零散的碎片。
wander|v. 漫步；偏离（正道）；走神；n. 漫步|We wandered back towards the car.|我们溜达着回到汽车那里。||【辨析】wonder v.想知道，好奇，琢磨；powder n.粉，粉末；【谐音】弯的儿(wander)"：路是弯的，所以一直徘徊。
breast|n. 乳房；胸部|She put the baby to her breast .|她开始给婴儿哺乳。|make a clean breast 坦白；beat one's breast 捶胸（表悲哀、失望或懊恼）；breast cancer 乳癌；Joy filled his breast 他满心欢喜。；breast the waves 破浪前进|【辨析】breath n.呼吸，气息；beast  n.野兽，猛兽，牲畜；feast  n.宴会，筵席；best   adj.最好的，最出色的；chest  n.胸部，胸膛
retain|v. 保持，保留；记住；继续雇用|The TV show has retained its popularity for years.|这档电视节目多年来一直很受欢迎。||【辨析】detain    v.拘留，扣押；retail    n.零售；obtain    v.（尤指通过艰难的过程）得到，获得；attain    v.获得，实现；stain     v.（被）玷污，留下污渍；sustain   v.维持，保持；contain   v.包含，容纳；maintain  v.保持，维持；retention n.保持，保留；entertain v.使有兴趣，使快乐；【谐音】雨停(retain)"：雨停了，空气保持湿润。
under|prep. 在…下面；不足；由…控制；根据…；adv. 在下面；少于|Have you looked under the bed?|你看了床底下没有？|bottom layer 底层 top layer 顶层；上层|【辨析】near adv.距离不远，在附近；【谐音】暗的(under)"：在下面是暗的。
mounting|adj. 上升的，增长的|The mounting debts almost made them desperate.|不断增加的债务几乎使他们绝望。||【辨析】mount    v.组织，开展；mountain n.山，高山；mourning n.伤逝，哀悼；amount   n.数量，量；【谐音】忙停(mounting)"：赶忙停下，否则上升得太快。
homosexual|adj. 同性恋的；n. 同性恋者|Homosexual marriages have been legally permitted in several countries.|数个国家已经在法律上允许同性婚姻。||【辨析】homogeneous adj.同种类的，同性质的
intention|n. 意图，目的|I have no intention of going to the wedding.|我无意去参加婚礼。|intention to 神马神马意图|【辨析】invention  n.发明物；attention  n.注意；invitation n.邀请；tension    n.紧张，焦虑；extension  n.延伸，扩展；intend     v.打算，想要；intense    adj.很大的，十分强烈的；instinct   n.本能，天性；【谐音】阴探身(intention)"：偷偷探身，表示有意图或打算。
statistical|adj. 统计（学）的|Statistical analysis is already widely used in multiple-choice tests to catch out cheats.|统计学分析已在采用多项选择的测验中被广泛运用，以揭露作弊行为。|statistical data 统计数据；statistical work 统计工作|【辨析】statistic  n.统计数字，统计资料；statistics n.统计学；static     adj.静止的，停滞的；sarcastic  adj.讽刺的，嘲笑的，挖苦的；【谐音】死大题死题扣(statistical)"：统计学常常涉及大量数据和复杂计算。
appliance|n. （家用）电器|Be careful when you use electrical appliances in the bathroom.|浴室内使用电器要当心。|workshop appliance 车间设备 protecting appliance 防护用品 safety appliance 安全用品 office appliance 办公用具；electrical appliance 电器；home appliance 家用电器|【辨析】alliance    n.联盟，结盟；allowance   n.津贴，补助；compliance  n.服从，遵守；applicant   n.申请人；applicable  adj.适用的，适当的；application n.正式申请，书面申请；apply       v.申请
tough|adj. 艰苦的；严厉的；坚韧不拔的|It can be tough to raise three children.|养三个孩子，有时候会很艰难。|a tough job 棘手的工作, tough luck 真倒霉, tough choice 艰难的抉择, tough guy 硬汉；tough constraint 严格管制；tough envirnment 艰苦的环境；move on 向前走。|【辨析】touch   v.触摸，碰；rough   adj.（表面）粗糙的，不平的；cough   v.咳嗽；through prep.穿过，从一端到另一端；roughly adv.粗略地，大约；ton     n.英吨，长吨（等于1016公斤）；【谐音】他服(tough)"：他服了我在如此艰苦的条件下仍能坚持。；【变形】比较级：tougher；最高级：toughest
newspaper|n. 报纸；报社|He has formed a habit of reading newspapers in the morning.|他养成了早上看报纸的习惯。||【辨析】news n.消息，新情况；【谐音】牛死别怕(newspaper)"：牛死了是个新闻，别怕。
decent|adj. 相当不错的；正派的；得体的|I found a decent job after I graduated from a law school.|我从法学院毕业之后，找到了一份体面的工作。|de cen t 就是有分寸的|【辨析】recent     adj.最近的，最新的；accent     n.口音，腔调，土音；descent    n.下降，降落；scent      n.香味，芳香；percent    n.百分之……；descend    v.下来，下降；descendant n.后裔，子孙；【谐音】低身(decent)"：低身行礼是得体的、体面的。
staircase|n. 楼梯|She walked down the long and wide staircase and into the crowd of her family.|她从又长又宽的阶梯下来，和家人们走到了一块儿。||【辨析】sarcastic adj.讽刺的，嘲笑的，挖苦的
arbitrary|adj. 任意的；武断的；专横的|The choice of players for the team seemed completely arbitrary .|看来这个队的队员完全是随意选定的。
drama|n. 戏剧，话剧；戏剧性情节|It is very difficult to write good drama .|写出好的戏剧很难。|be involved in 参加；drama drama 戏剧|【辨析】dramatic adj.巨大而突然的，急剧的；drum     n.鼓；drastic  adj.极端的，激烈的；【谐音】抓马(drama)"：形容戏剧性的场面或事件。
contention|n. 争论；观点|There's a lot of contention about that issue.|那个问题争议很多。|a bone of contention 争论的焦点|【辨析】convention  n.习俗，惯例；contentious adj.有争议的，引起争论的；content     adj.满足的，满意的，甘愿的；contend     v.声称，主张；consent     n.许可，允许；retention   n.保持，保留；【谐音】看太深(contention)"：通过争论才能看问题看得深。
sheer|adj. 纯粹的，十足的；陡峭的|The area is under threat from the sheer number of tourists using it.|这一地区由于游客人数太多而面临威胁。|by sheer chance 纯属偶然|【辨析】steer v.驾驶（交通工具），掌方向盘；sheet n.床单，被单；steep adj.（路、山等）陡峭的；【谐音】谁啊(sheer)"：谁能爬上去啊，这么陡峭的山！
spite|n. 恶意，怨恨； （in spite of）尽管|She refused his offer out of spite .|她出于恶意拒绝了他的提议。|in spite of this 尽管如此；out of spite 有意恶意故意地；in spite of 不顾、不管；in spite of yourself 不由自主地|【辨析】spit    v.啐唾沫（常表示愤怒或鄙视）；despite prep.尽管，即使；split   v.分裂，使分裂（成不同的派别）；【谐音】死拜特(spite)"：失败后产生怨恨、恶意。；【变形】现在分词：spiting
layoff|n. 解雇|Poor performance in the market recently led to a layoff of 100 employees in the company.|该公司在市场上业绩很糟糕，导致了100名员工被解雇。||【辨析】layout n.布局，设计；layman n.外行，门外汉；【谐音】来(lay)噢夫(off)"：一躺下就被开除了。
flock|n. 动物群；一大群；v. 聚集；蜂拥|A flock of children rushed into the hall.|一大群儿童冲向大厅。|flock to 蜂拥而至；flock to sp 聚集到某地|【辨析】folk n.人们
