doctor|n. 医生；博士|You'd better see a doctor about that cough.|你最好找医生治治你的咳嗽。|doctored the evidence 伪造证据|【谐音】刀开他(doctor)"：医生用手术刀给病人开刀。
tiny|adj. 极小的，微量的|Only a tiny minority hold such extreme views.|只有极少数人持这样极端的观点。||【辨析】tidy    adj.整洁的，有条理的；thin    adj.薄的，细的；destiny n.命运，定数；tight   adj.（衣物）紧身的，紧贴的；【谐音】太迷你(tiny)"：形容东西小得让人着迷。；【变形】比较级：tinier；最高级：tiniest
hall|n. 大厅；礼堂|She ran into the hall and up the stairs.|她跑进门厅，冲上楼梯。|shock treatment 休克疗法|【辨析】hill  n.山丘，小山；call  v.给……取名；tall  adj.高的，高大的；wall  n.城墙，围墙；ball  n.球，球状物；mall  n.购物中心，步行商业区；fall  v.降落，落下；shall aux.将要，将会（同I和we连用，表示将来）；【谐音】好!(hall)"：礼堂的大厅真大啊！
pocket|n. 衣服兜；小口袋；adj. 袖珍的|He put the pen in his coat pocket .|他把笔放进了上衣口袋。|pocket money 零花钱；in one's pocket 处于---控制|【辨析】rocket  n.火箭；packed  adj.挤满人的，非常拥挤的；pack    v.（把……）打包，收拾（行李）；package n.包裹；parcel  n.<英>包裹，邮包；【谐音】抛开他(pocket)"：从口袋里掏出东西。
difficulty|n. 困难，难度|Many students would run into difficulties with learning mathematics.|许多学生在学习数学时会遇到困难。||【辨析】difficult  adj.困难的，费力的；different  adj.不同的；difference n.差异，不同之处；【谐音】弟非抠题(difficulty)"：弟弟学习认真，要把困难的题一个个弄懂。；【变形】复数形式：difficulties
eighth|ord. 第八|He ranked eighth in this race.|他在这场赛跑中排名第八。|one eighth 八分之一|【谐音】嘿福磁(eighth)"：第八天过得好吗？
seventeen|num. 十七|When she was seventeen , her family moved to this town.|她十七岁的时候，她全家搬到了这个小镇。|know one's own mind 自己决定做什么；know one's won mind 自己决定做什么|【辨析】seventy n.七十；seven   num.七个，七；【谐音】赛文庭(seventeen)"：十七。
panel|n. 专题讨论小组；镶板；仪器板；镶条；v. 镶板|One of the glass panels in the front door was cracked.|前门的一块方玻璃破裂了。|panel interview 小组面试；control panel 控制面板；panel show 讨论节目|【辨析】pan     n.平底锅；panic   n.恐慌，惊慌；pain    n.疼痛，伤痛；canal   n.运河，灌溉渠，水道；channel n.频道，电视频道；penalty n.（因违反法律、规定或合同而受到的）处罚，刑罚；【谐音】拍呢(panel)"：座谈小组讨论时要拍照留存。；【变形】过去式：paneled/panelled；过去分词：paneled/panelled
mall|n. 购物中心|Let’s meet at the mall and go shopping.|我们在购物中心见面然后去购物吧。|shopping mall 购物中心；all manner of 各种，形形色色（人，东西）|【辨析】tall adj.高的，高大的；call v.给……取名；hall n.礼堂，大厅；ball n.球，球状物；【谐音】猫(mall)"：猫在购物中心里。
whisper|v. 耳语；秘密告诉；沙沙作响；n. 耳语；轻柔的声音；传言|The children were whispering in the corner.|孩子们正在角落里低声耳语。|being whispered 在流传；heard a whisper 听到一个传闻；in a whisper 小声说|【辨析】whistle n.哨子；whisky  n.威士忌酒；whip    n.鞭子，皮鞭；worship v.敬奉（神）
competent|adj. 有能力的，称职的|As a competent teacher, she knows perfectly the merits and shortcomings of her students.|作为一个有能力的老师，她对每个学生的优缺点了如指掌。|com pe tend 有能力的|【辨析】component   n.组成部份，成分，部件；competence  n.能力，胜任；compete     v.竞争，对抗；competitor  n.竞争者，对手；competition n.竞争；competitive adj.竞争的；contempt    n.轻视，蔑视；【谐音】肯扑腾特(competent)"：有能力的人肯努力。
far|adj. 较远的；adv. 远；久；非常|She moved to the far side of the river.|她去了河的另一边。|go far 有发展前途；far and wide 到处|【谐音】泛(far)"：走太远了，有点泛。；【变形】比较级：farther/further；最高级：farthest/furthest
apple|n. 苹果|Many people have heard this saying of "an apple a day keeps the doctor away".|许多人都听说过“一天一苹果，医生远离我”这句话。|compare apples and oranges 不能相提并论的 。comparing lady gaga and brad pitt is like comparing apples and oranges .她们是完全不同的人，是不能相提并论的。；apple of her eye 掌上明珠；be familiar with 对什么熟悉|【辨析】ample     adj.充足的，充裕的；grape     n.葡萄；pineapple n.[园艺] 菠萝
party|n. 派对；政党|She belongs to the Labour Party .|她是工党党员。|spry old party 老当益壮之人；party members 党员；a party 一个小分队；both parties 双方；the other party 对方|【辨析】part    n.部分；partner n.（跳舞、玩游戏等的）搭档，同伴；apart   adv.（空间或时间）相隔，相距；【谐音】怕踢(party)"：害怕被踢就不要参加聚会。；【变形】过去式：partied；过去分词：partied；复数形式：parties
degree|n. （角）度；温度；程度；学位|She got her master's degrees from Oxford.|她在牛津大学获得了硕士学位。|bachelor's degree 学士学位;master's degree 硕士学位;Doctor's Degree 博士学位；by degrees 逐渐的，渐渐的；to a degree 某种程度上|【辨析】agree   v.同意，赞成；referee n.（比赛的）裁判员
alliance|n. 联盟|The governments decide to form an alliance to crack down terrorism.|各政府决定组成结成联盟，共同打击恐怖主义。|east Asian Alliance 东亚联盟|【辨析】reliance  n.依靠，信任；appliance n.家用电器，装置；allowance n.津贴，补助；allocate  v.分配，分派，划拨；alienate  v.使疏远，使敌对；allege    v.(未经证实地）宣称，指控；【谐音】额来摁死(alliance)"：联盟联手来对付敌人。
punishment|n. 惩罚，处罚|Officials convicted of corruption will receive tough punishment .|被判贪污罪的官员将受到严厉的处罚。||【辨析】punish v.处罚，惩罚（做错事或犯法的人）；【谐音】扑你是门(punishment)"：惩罚你是一门学问。
spontaneity|n. 自发性，自然举动|She was charmed by his spontaneity .|她被他的自然举动所吸引。||【辨析】spontaneous adj.自发的，非筹划安排的
hand|n. 手；影响；帮助；v. 交，递，给|Ian placed a hand on her shoulder.|伊恩把一只手搭在她的肩上。|hand on 把。。。传给，hand over把。。移交；right-hand man 左膀右臂one-handed单手的single-handed单个的；have a hand in 插手；be the upper hand 占上风|【辨析】hard     adj.硬的，坚固的；head     n.头；handle   v.拿；hair     n.毛发，（尤指）头发；handsome adj.（男子）英俊的，帅气的；【谐音】汗(han)的(d)"：出汗的是手。
betray|v. 背叛；泄密；辜负|I'm sure he won't betray your trust.|我相信他不会辜负你的信任。||【辨析】betrayal n.背叛，出卖；battery  n.电池，蓄电池；【谐音】被踹(betray)"：我被踹了，他背叛了我。
bore|v. 使…厌烦|He bored us all by talking for hours about his new house.|他连续几个小时大谈他的新房子，使我们大家都厌烦透了。|bear the burden of 承受…的后果；bore into 盯着看；钻穿：；bear someone a grudge 对某人心怀怨恨；bear fruit 实现：得出满意的结论或实现愿望|【辨析】bare   adj.赤裸的；bored  adj.无聊的，厌倦的；born   adj.天生的，生来就有的；boring adj.令人厌烦的；bear   v.手持，携带
incidentally|adv. 偶然地；附带地，顺便提一句|The information was only discovered incidentally .|这个信息只是偶然得到的。||【辨析】incidental adj.附带的，次要的；incident   n.事件，事故；accidental adj.意外的，偶然的；incidence  n.发生率；【谐音】意思登他(incidentally)"：意外发生的事情。
border|n. 国界，边界；v. 与…接壤；环绕…|They live near the border .|他们住在国界附近。||【辨析】bother   v.费心；board    n.板，木板；broad    adj.宽广的，宽阔的；aboard   adv.在（船、飞机、火车等）上；boundary n.分界线，边界；【谐音】报答(border)"：报答祖国就是要保卫边疆。
renovation|n. 翻新|The cinema is closed for renovation .|电影院因翻修而关闭。||【辨析】innovation n.新事物，新方法；revolution n.（思想、工作方式等的）彻底变革；renovate   v.修复，翻新（尤指建筑物）；【谐音】软了为甚(renovation)"：软弱无力了，需要修复才行。
owe|v. 欠（钱或人情）；归功于|She still owes £3000 to her father.|她还欠她父亲3000英镑。|owing to 由于 owing of 由于对...；owe for 为…而欠债；owe sb sth 欠某人某物|【辨析】awe n.敬畏，惊叹；ore n.矿石，矿砂；own v.有，拥有；【谐音】哦(o)我们(we)"：你还欠我们钱，还好你提醒了（归功于）。；【变形】现在分词：owing
authorization|n. 授权，批准|You need special authorization to use this theater.|你需要特别授权才能使用这个剧院。||【辨析】authoritative adj.专断的，命令式的；authorize     v.批准，许可；【谐音】贼神(authorization)"：授权后就变得很厉害。
acidity|n. 酸性，酸度|This low pH level clearly shows the acidity of the soil here.|低pH值清晰地显示了该地区土壤的酸度。|alkalinity or acidity 酸碱性；acid ac 尖的 因为ac是ang-角的变体。id…的。|【辨析】acid n.酸；【谐音】a谁的题(acidity)"：这是关于酸性的题目。
wide|adj. 宽的；大量的，广泛的|There is a wide river near our town.|我们小镇旁边有条宽阔的河。|be wide awake 完全醒着；with eyes wide 睁大着眼睛；wide awake 完全清醒|【辨析】wise  adj.（行为或决定）明智的，高明的；wind  n.风，气流；wild  adj.（动植物）自然生长的，野生的；weigh v.称，称……的重量；【谐音】外的(wide)"：外面的世界是广阔的。；【变形】比较级：wider；最高级：widest
nightly|adj. 每晚的；adv. 每夜|My husband and I watch the nightly news broadcast everyday.|我丈夫和我每天都看晚间新闻。|nightly news 晚间新闻|【辨析】knight n.骑士，武士
cane|n. 手杖；（植物的）茎；藤条|An old man with a wooden walking cane stood over there.|一位拄着木制拐杖的老爷爷站在那里。|get the cane 挨鞭打；受惩罚；sugar cane 蔗糖|【辨析】lane   n.（乡间）小路；canal  n.运河，灌溉渠，水道；crane  n.鹤；canvas n.帆布；cradle n.摇篮；【谐音】can e(cane)"：手杖可以(can)让(e)一个人走路。；【变形】现在分词：caning
supreme|adj. 至高无上的；最大的|The Supreme Court upheld the original judgment.|最高法院宣布维持原判。|Supreme authority 最高权力；Supreme Court 最高法院|【辨析】superb  adj.极佳的，质量极高的；prime   adj.主要的，首要的；extreme adj.极大的，极度的；premier adj.首要的，最好的
microscope|n. 显微镜|We can examine the bacteria under a microscope .|我们可以在显微镜下检查细菌。||【辨析】microphone n.扩音器，麦克风；microwave  n.微波炉
find|v. 发现；找到；认为|Look what I've found !|看我发现了什么！||【辨析】fine    adj.令人满意的，可以接受的；finding n.结果，发现；found   v.创办，成立；【谐音】翻的(find)"：翻找到的，表示发现。；【变形】过去式：found；过去分词：found
laziness|n. 懒惰|It was sheer laziness that led to his failure in business.|他生意失败完全是懒惰造成的。|Subsidies laziness 滋生了惰性|【谐音】累人那事(laziness)"：那件事太累人了，所以大家都懒得干。
hasty|adj. 匆忙的，仓促的；草率的|We should calm down and not make hasty decisions despite the intense situation.|尽管形势紧张，我们还是要冷静，不要作出草率的决定。|hasty words 轻率言词|【辨析】haste  n.仓促，急忙；nasty  adj.恶毒的，凶相的；hasten v.促进，使加快；harsh  adj.（环境）恶劣的，艰苦的；【谐音】恨死他(hasty)"：恨死他了，所以匆忙地走了。；【变形】比较级：hastier；最高级：hastiest
than|conj. 比（…多或少）；prep. 比（…多或少）|There was more whisky in it than soda.|那里面的威士忌比苏打水多。|rather than 一·····就·····；rather then 而不是|【辨析】then  adv.（指过去）当时，（指将来）到那时；that  det.那，那个；them  pron.他们；they  pron.他们；this  pron.这，这个；there adv.在那里；those det.那些（that 的复数）；these det.这些（this 的复数）；their det.他们的；【谐音】站(than)"：站着进行比较。
pressing|adj. 紧急的，迫切的；难以推却的|The most pressing question is how to survive the economic crisis.|最紧迫的问题是如何度过经济危机。||【辨析】press      n.新闻工作者，新闻界（the press）；impressive adj.给人印象深刻的，令人钦佩的；depress    v.使抑郁，使沮丧；impress    v.使钦佩，使留下深刻印象；express    v.表达，表露；【谐音】泼醒(pressing)"：泼醒他，考研在即，紧迫地学习！
fever|n. 发烧；狂热|Aspirin should help reduce the fever .|阿司匹林能够退烧。|finish him off 结束，完成；毁灭；吃完|【辨析】forever adv.永远
rainy|adj. 多雨的|What a terrible rainy day!|真是个糟糕的下雨天啊！|a succession of 一系列，一连串；for a rainy day 以备不时之需，未雨绸缪；rainy day 拮据的日子|【辨析】rain n.雨，雨水；【谐音】润泥(rainy)"：下雨滋润泥土，形容多雨的天气。
pull|v. 拉，拖；吸引；n. 拉，拽，扯|Don't pull so hard or the handle will come off.|别太使劲拉，不然把手会脱落。|pull up to 赶上；pull up short 突然停止；pull oneself free 挣脱；pull sb up 使...愣住|【辨析】pill n.药片，药丸；full adj.满的，满是……的；dull adj.枯燥无聊的；put  vt.放，安置；pool n.游泳池；push v.推，按；pour v.倾倒，倒出；roll v.（使）翻滚，滚动；doll n.洋娃娃，玩偶；poor adj.贫穷的；【谐音】噗(pull)"：联想上厕所时拉出来的声音。
proceed|v. 继续做；行进|We're not sure whether we should still proceed with the work.|我们不确定是否还应该继续这项工作。|proceed from something 由…引起；起因于；是…的结果；proceed against somebody 起诉某人|【辨析】proceeds   n.收入，收益；proceeding n.诉讼，诉讼程序；process    n.步骤，程序；procedure  n.手续，步骤；exceed     v.超过，超出；progress   n.进步，进展；procession n.（人或车辆的）行列，队伍
myself|pron. 我自己；亲自|I wrote a message to myself .|我给自己留了个便条。|by myself 独立完成|【辨析】itself   pron.它自己；himself  pron.他自己；yourself pron.你自己；herself  pron.她自己（she 的反身代词）；oneself  pron.自己
earnest|adj. 诚实的，真诚的|The cold-blooded man turned down her earnest plea for help.|这个冷血的男人拒绝了她诚恳的求助。|in earnest 认真，诚心；be in earnest 认真的，真诚的|【辨析】earn v.赚得，挣钱
brandy|n. 白兰地|We have drunk too much brandy.|我们喝了太多的白兰地。||【辨析】brand   n.品牌，商标；branch  n.树枝，分枝；blend   v.（使）混合，调和；frank   adj.坦率的，直言不讳的；blunder v.跌跌撞撞地走，摸索；【谐音】不烂滴(brandy)"：品质好的白兰地。
conscience|n. 良心，良知；内疚|He helped the stranger for reasons of conscience .|他为了良心好过而帮助了那位陌生人。|on one's conscience 令人感到内疚；受到良心谴责|【辨析】conscious     adj.意识到的；conscientious adj.认真的，勤勤恳恳的；consensus     n.一致看法，共识；consciousness n.知觉，清醒；【谐音】看神死(conscience)"：你还有没有良心！
person|n. 人，个人|He's a fascinating person .|他是个魅力十足的人。|in person 亲自；in the person of 代表，以...的身份|【辨析】personal    adj.个人的，私人的；personnel   n.（公司、组织或军队中的）全体人员，员工；poison      n.毒药；period      n.一段时间，时期；prison      n.监狱，牢房；pension     n.养老金，退休金；present     adj.（人）在场的，出席的；personality n.个性，性格；【谐音】怕神(person)"：人当然怕神。；【变形】复数形式：people/persons
pronounce|v. 发音；正式宣布|Very few people can pronounce my name correctly.|很少有人能把我的名字念正确。|pronounce on 对…发表意见；pronounced my name wrong 拼错我的名字|【辨析】pronoun    n.代词；pronounced adj.明显的，显著的；announce   v.宣布，公布；【变形】现在分词：pronouncing
await|v. 等候|The soldiers await their command.|士兵们等待命令。|long-awaited guest 盼望已久的客人|【辨析】waist n.腰，腰围；【谐音】额，为特(await)"：为了他等待。
her|pron. 她；det. 她的|Swimming is her favorite sport.|游泳是她最喜欢的运动。|applause n 喝彩 鼓掌 赞许 V 鼓掌 a round of applause 一阵掌声
stale|adj. 不新鲜的；污浊的；没有新意的|A foul smell of stale bread filled the whole room.|过期面包的恶臭充满了整个房间。|stale jokes 老掉牙的笑话|【辨析】stare  v.凝视，盯着看；stall  n.货摊，贩卖处，咨询台；scale  n.天平，磅秤；stable adj.稳定的，牢固的；staple n.（某国的）主要产品，支柱产品；【谐音】死的哦(stale)"：形容食物不新鲜。
my|det. 我的|Where's my passport?|我的护照在哪儿？|be out of order 的意思是浑沌的，破坏的。例如：my phone was out of oder.
move|v. 移动；改变；搬家；调动；使感动；n. 行动；移动|The bus was already moving when I jumped onto it.|我跳上车的时候，公共汽车已经开动了。|make the first move 抢占先机；settle the strike 解决罢工；in favor of 支持|【辨析】movie    n.<美>电影；love     n.（对家庭成员或挚友的）喜爱，关爱；remove   vt.移开，拿开；movement n.移动，转移；【谐音】木屋(move)"：大家一起移动木屋。；【变形】现在分词：moving
league|n. 联盟，协会；（体育）联赛|United were league champions last season.|联队是上个赛季的联赛冠军。|in league with 与...联合；be in league with 与... ... 勾结；for League 为了联盟|【辨析】leak      v.渗入，漏出；colleague n.同事，同僚；lecture   n.讲座，讲课，演讲；language  n.语言，语言文字；legend    n.传说，传奇故事；legal     adj.法律允许的，合法的；college   n.大学，专科学校；【谐音】立个(league)"：立个条约，我们来联盟。
inferior|adj. 级别低的；（质量等）较差的；n. 地位较低的人|Modern music is often considered inferior to that of the past.|现代音乐常被认为不如过去的音乐。|be inferior to 比...低级|【辨析】interior    adj.内部的，里面的；infer       v.推断，推论；inferiority n.低等，劣等；superior    adj.（规模或实力）更大的，更强的，(在品质上)更好的；exterior    adj.外部的，外面的；interfere   v.干涉，干扰；inference   n.推断，推理；prior       adj.先前的，事先的；senior      adj.年龄大些的；junior      adj.年龄较小的
fireplace|n. 壁炉|Every room in the house has a fireplace .|每个房间都有一个壁炉。||【辨析】furnace n.火炉，熔炉；【谐音】火(fire)地方(place)"：烧火的地方，即壁炉或火炉。
coal|n. 煤|I put more coal on the fire.|我往火里再加了些煤。|a shovel of coal 一铲煤|【辨析】cool   adj.凉的，凉爽的；goal   n.球门；cold   adj.冷的，凉的；coat   n.外套，大衣；coast  n.海岸，海滨；coach  n.教练；core   n.果核；code   n.密码，暗码；coke   n.可口可乐， 一瓶（罐，杯）可口可乐（Coke）；coin   n.硬币，金属货币；corn   n.谷物，谷粒；cost   n.价钱，费用；crop   n.庄稼；goat   n.山羊；curly  adj.（头发）卷曲的，鬈曲的；catch  v.接住；corner n.角；click  v.（用鼠标）点击；【谐音】抠(coal)"：煤炭是从地下一点一点抠出来的。
colonialism|n. 殖民主义|All attempts to support colonialism are bound to fail.|一切想维护殖民主义的企图都是注定要失败的。|throw off 抛弃 摆脱|【辨析】colonial    adj.殖民地的，殖民主义的；colonize    v.在……开拓殖民地，移民于殖民地；colon       n.结肠；materialism n.唯物主义，唯物论；colonel     n.（陆军、空军或海军陆战队）上校；imperialism n.帝国主义；idealism    n.理想主义
symbolical|adj. 象征性的；符号的|The power of the monarchy in Britain today is more symbolical than real.|今日英国君主的权力多为象征性的，无甚实际意义。||【谐音】森波里扣(symbolical)"：用符号来表达，具有象征性的。
percentage|n. 百分数，百分比|What percentage of the population is overweight?|身体超重的人占人口多大的百分比？||【辨析】percent    n.百分之……；perceive   vt.认为，理解；perception n.看法，认识；【谐音】婆孙太急(percentage)"：他们不懂百分比。
egg|n. （鸡）蛋，卵|The female bird sits on the eggs until they hatch.|雌鸟伏在蛋上直到其孵化。
radical|adj. 激进的；根本的；全新的；n. 激进分子|This thesis led to a radical reshaping of their policies.|这篇论文导致了他们政策的彻底改变。|radical change 翻天覆地的变化；radical reform 彻底的改革；a radical error 根本性错误；radical political views 激进的政治观点|【辨析】racial   adj.种族关系的，种族之间的；radiant  adj.容光焕发的，喜悦的；radiate  v.（使品质或情感）显出，流露；rational adj.（想法、决定等）合理的，基于理性的；【谐音】ready扣(radical)"：准备扣住他，激进一点就能彻底抓住他。
artistically|adv. 富有艺术地|The book is artistically printed.|这本书印刷得很有艺术感。|artistically polished 艺术加工
gross|n. 总收入，总量；adj. 总的；（利润）毛的；严重的；令人恶心的|Investments showed a gross profit of 26%.|投资获得26%的总利润。|The Gross amount 总额；national gross product 国民生产总值
safe|adj. 安全的，平安的；无害的；n. 保险箱|She didn't feel safe on her own.|她一个人待着，觉得不安全。|as safe as 像什么一样安全；safe driving 安全行车|【辨析】sale   n.出售，销售；save   v.救助，搭救；safety n.安全；sofa   n.沙发；soft   adj.软的，柔软的；salt   n.盐，食盐（=common salt）；sand   n.沙，沙子；【谐音】谁负(safe)"：谁负责我们的安全？；【变形】比较级：safer；最高级：safest
oily|adj. 含油的；油腻的|The sparks set fire to the oily rag.|火花使浸透油的破布燃烧起来了。|an oily tongue 甜言蜜语,阿谀奉承...|【辨析】oral adj.口头的，口述的；【谐音】哦腻(oily)"：感觉油腻的样子。；【变形】比较级：oilier；最高级：oiliest
resumption|n. 重新开始，恢复|The people of both countries are hoping for an early resumption of free trade.|两国人民都希望早日恢复自由贸易。||【辨析】assumption   n.假定，假设；consumption  n.消费，消耗；interruption n.打断，插嘴；resume       v.恢复（职位），回到（座位）
Tuesday|n. 周二|The biologist will attend the conference on Tuesday .|这位生物学家将出席星期二的会议。
merriment|n. 欢乐，嬉戏|His eyes sparkled with merriment when he was speaking.|他说话时眼睛里闪烁着欢乐的光芒。||【辨析】merit    n.优秀品质，价值；maritime adj.海上的，海事的；merry    adj.<旧>愉快的，高兴的
kingdom|n. 王国；（动植物）界|The kingdom 's power has been declining.|这个王国的实力在逐步衰退。|the united kingdom 联合王国；the Unite Kingdom 英国|【辨析】king   n.君主，国王；wisdom n.智慧，才智；【谐音】king的dom(kingdom)"：王国就像是国王的坟墓。
parental|adj. 父母的，双亲的|Parental consent is required if you want to drive a car.|如果你想开车，需要父母的同意。|go astray 误入歧途|【辨析】parallel adj.平行的；patent   n.专利（权），专利证书；maternal adj.慈母般的；apparent adj.显而易见的，易懂的；【谐音】怕人偷(parental)"：父母的防贼意识强。
outer|adj. 外面的；远离中心的，外围的|I walked along the outer edge of the track.|我沿着跑道的外缘走。|ourer space 外太空|【辨析】utter    adj.完全的，彻底的；outlet   n.（情绪或精力的）发泄方式，发泄途径；outset   n.开始，开端；upper    adj.上面的，上层的，较高的；lower    adj.（尤指在同类中处于）较下的，下方的；outward  adj.外表的，表面的；outsider n.局外人， 外人；【谐音】奥特(outer)"：奥特曼是地球外部的生物。
alive|adj. 活着的；有活力的|We don't know whether he's alive or dead.|我们不知道他是死是活。|be alive to 对…敏感；发觉，关心；alive with 充满着,洋溢着；alike adj 相似的，相像的|【辨析】live   v.生存，活着；lively adj.活泼的，生气勃勃的；【谐音】爱辣舞(alive)"：喜欢跳辣舞的人很活泼。
originality|n. 独创性|Film audience were impressed by the originality of the director's narrative techniques.|导演叙述手法的独创性给电影观众留下了深刻的印象。|a striking originality 独创性|【辨析】originally  adv.起初，原来；originate   v.起源，产生；origin      n.起源，起因；oriental    adj.东方（尤指中国和日本）的，东方人的；orientation n.目标，定位；【谐音】橙拿来踢(originality)"：用橙子来踢球，体现创造力。
jump|n. 跳跃；激增；v. 跳；跃过；激增；快速移动|Don't jump over the wall!|不要跃过这堵墙！|jump at me 对谁生气|【谐音】江扑(jump)"：扑通一声跳进江里。
vacancy|n. （职位）空缺；空房|The jobless man searched the newspapers everyday for job vacancies .|这名失业者每天在报纸上寻找刊登的职位空缺信息。|vacate v 空出 重音在后面；we can see 我们能看见 大片大片的 空白，这样子居然还可以过关，新浪表示 鸭梨 很大。；fill a vacancy 补缺；填补空白|【辨析】vacant   adj.（地方）空着的，无人用的；vanity   n.虚荣（心），自负；vicinity n.周围地区，邻近地区，附近；vocation n.（认为某种职业适合自己的）使命感；vacuum   n.真空，真空容器；【谐音】we can see(vacancy)"：空缺我们都看得见。；【变形】复数形式：vacancies
largely|adv. 主要地，基本上；大致上|The team's success was largely due to her efforts.|该队的成功在很大程度上是由于她的努力。|consist largely 很大程度上；read largely 广泛���读|【辨析】lately  adv.近来，最近；enlarge v.扩大，增大，放大；greatly adv.非常地，极大地；【谐音】垃圾里(largely)"：主要的都是垃圾。
candy|n. 糖果|Do you want to buy a box of candy ?|你想买盒糖吗？|soft candy 软糖 sugar 食糖，白砂糖；candy cane 棒棒糖；gum up the works 使机器不能开动；使制度不能实行；弄坏；搞乱；be gummed up with 被。。粘住了|【辨析】candle n.蜡烛；【谐音】看滴(candy)"：这些糖果是用来看的，不是用来吃的。；【变形】复数形式：candies
monstrous|adj. 丑恶的；骇人的；巨大的|All the students were burning with anger at this monstrous crime.|所有的学生对这残暴的罪行都感到无比的愤慨。||【辨析】enormous adj.巨大的，极大的
reception|n. 接待；接纳；前台|Please report to the reception on arrival.|请您在抵达后立即在接待处报到。||【辨析】recession  n.（经济的）衰退（期）；receptive  adj.（对观点、建议等）愿意倾听的，乐于接受的；perception n.看法，认识；reputation n.名誉，名声；receipt    n.发票，收据；recipient  n.<正式>接受者，领受者；receive    v.得到，收到；reject     v.拒绝，否决（提议、建议或请求）
vanish|v. 逐渐消失；灭亡，绝迹|The car was so fast that it vanished from my sight within seconds.|这辆车开得太快，不到几秒钟就消失在我的视线中。||【辨析】vanity n.虚荣（心），自负；van    n.（厢式）小型货车；vain   adj.虚荣的，自负的；vacant adj.（地方）空着的，无人用的；【谐音】玩匿失(vanish)"：从这个世界隐匿、消失了。
real|adj. 真实的；真正的；adv. 非常，很|It wasn't a ghost; it was a real person.|那不是鬼魂，是实实在在的人。||【辨析】really    adv.真正地，事实上；realize   v.了解，意识到；reality   n.真实，现实；realistic adj.务实的，实事求是的；【谐音】睿哦(real)"：智慧才是真实的。；【变形】比较级：realer；最高级：realest
