gracious|adj. 和蔼的|Phil is most gracious to everyone.|菲尔对每个人都很亲切。|gracious in defeat 虽败犹荣；gracious gracious 亲切的 高尚的|【辨析】spacious adj.（房间或建筑物）宽敞的；glorious adj.光荣的，值得称道的；graceful adj.优美的，优雅的；generous adj.慷慨的，大方的；gorgeous adj.美丽动人的；grace    n.优美，优雅
attraction|n. 有吸引力的事物；n. 吸引力；n. 吸引|They fell in love so quickly for they had a very strong attraction towards each other.|他们一见钟情，因为他们对彼此都有很强的吸引力。|tourist attraction 旅游景点，旅游胜地 seaside resort 海边度假胜地；at trac tion 吸引=attractive吸引|【辨析】attractive adj.吸引人的，有吸引力的；attract    v.吸引；affection  n.喜爱，关爱
stale|adj. 不新鲜的；adj. 没有新意的；adj. 疲软的；adj. 陈旧的|A foul smell of stale bread filled the whole room.|过期面包的恶臭充满了整个房间。|stale jokes 老掉牙的笑话|【辨析】stare  v.凝视，盯着看；stall  n.货摊，贩卖处，咨询台；scale  n.天平，磅秤；stable adj.稳定的，牢固的；staple n.（某国的）主要产品，支柱产品；【谐音】死的哦(stale)"：形容食物不新鲜。
consolidate|v. 合并；v. 巩固|She consolidated her power during her first year in office.|她在任职的第一年内巩固了自己的权力。|consolidate at every step 步步为营；con solid ate 结合的 固体的 固定|【辨析】consolidation n.巩固；coordinate    v.协调，配合；【谐音】肯扫雷的(consolidate)"：大家一起巩固、加强防御。；【变形】现在分词：consolidating
absorb|v. 吸收；v. 理解；v. 吸引；v. 承受|The cream is easily absorbed into the skin.|这种乳霜皮肤易吸收。|be absorbed in sth 全神贯注……，专心于做某事；absorbed one's attention 吸引某人注意；be absorbed into 专注于···|【辨析】absurd     adj.愚蠢的，荒谬的；absorption n.(液体、气体等的)吸收；abrupt     adj.突然的，意外的；【谐音】阿伯扫把(absorb)"：吸收了很多灰尘。
alongside|prep. 与…一起，同时；prep. 在…旁边；adv. 在一旁|Much of the land alongside the river is below sea level.|沿河的很多土地都在海平面以下。|alongside of 在...旁边; 与...并排 与...相比alongside with 与...一起; 除...以外；a long side 旁边|【辨析】along prep.沿着，顺着；aside adv.在旁边，到（或向）一边；side  n.（某人左方或右方的）一边，（事物左方或右方的）一旁；【谐音】饿狼晒的(alongside)"：饿狼在另一边晒太阳。
stack|n. 一叠，一摞；n. 烟囱；v. 把…摞起来；phrase. 不利于，对…不利（be stacked against）；n. 大量|There were stacks of books on the desk.|桌上有一摞摞的书。|a stack of 一堆的；Stacks of currency 一堆现金；be stacked up with 被…堆满；stack up 堆积；累计；加起来；reference stacks 书库； stack-pile wood 堆贮木材； stack up 把…堆起； a stack of hay 一堆草|【辨析】stalk  n.（植物的）茎，秆；stock  n.（商店的）现货，存货，库存；stake  n.股本，股份；steak  n.肉排，（尤指）牛排；sack   n.麻布（或厚纸、塑料等）大袋；sneak  v.偷偷地走，潜行；stroke n.中风
proceed|v. 进行；v. 继续做|We're not sure whether we should still proceed with the work.|我们不确定是否还应该继续这项工作。|proceed from something 由…引起；起因于；是…的结果；proceed against somebody 起诉某人|【辨析】proceeds   n.收入，收益；proceeding n.诉讼，诉讼程序；process    n.步骤，程序；procedure  n.手续，步骤；exceed     v.超过，超出；progress   n.进步，进展；procession n.（人或车辆的）行列，队伍
flaw|n. 缺陷；n. 瑕疵；v. 使…有缺陷；v. 损害|Flaws have appeared in the new version of the software.|该软件新版有缺陷。|spot the flaw 指出缺点；flaw and wart 有相同的意思，即缺点|【辨析】flow     v.流动，流淌；claw     n.（动物的）爪，爪子；flawless adj.完美的，无暇的；fault    n.错误；【谐音】壶漏(flaw)"：有瑕疵、缺陷或裂痕，壶才会漏。
automatic|adj. 自动的；adj. 不假思索的|The automatic equipment highly improved the productivity.|这台自动化设备极大提高了生产率。|automatic timing 自动定时|【辨析】automate      v.使自动化；automation    n.自动化；automatically adv.自然地，必然地；automobile    n.汽车；autonomous    adj.自治的，有自治权的；【谐音】奥特曼(auto)拿(matic)"：奥特曼自动拿来的。
rival|n. 竞争对手，敌手；v. 比得上；v. 与…竞争|Fierce fighting broke out between rival groups.|对立团体间爆发了激烈的争斗。|political rival 政敌|【辨析】rivalry n.竞争，较量；revival n.复兴，复苏；vital   adj.至关重要的，必不可少的；arrival n.到达，到来；trial   n.审判，审理；trivial adj.琐碎的，不重要的；revive  v.（使）复原，（使）复苏；trail   n.痕迹，踪迹；【谐音】来喔(rival)"：勇敢面对对手的挑战。；【变形】过去式：rivalled/rivaled；过去分词：rivalled/rivaled
portion|n. （食物的）一份；n. 一部分；v. 把…分成若干份|A significant portion of the population speaks English.|有很大一部分人口讲英语。|bear a portion for 对……负责；first portion 第一部分；portion out 分配;把...分成份额|【辨析】proportion n.部分，份额；port       n.港口，避风港；porter     n.（火车站、机场等的）行李搬运工人，脚夫；fraction   n.分数，小数；partial    adj.部分的，不完全的；section    n.段，部分
fabric|n. 织物，布料；n. 基本结构|The curtain is made of expensive silk fabric .|这个窗帘由昂贵的丝绸织成的。|social fabric 社会结构|【辨析】fibre n.（食物的）纤维素；fiber n.纤维（等于 fibre）；【谐音】帆布(fabric)"：是一种布料。
diameter|n. 直径|The students are asked to calculate the diameter of the big circle.|学生被要求计算这个大圆的直径。|equatorial diameter 赤道的直径|【辨析】disaster  n.灾难，灾害；parameter n.界限，范围；amateur   n.业余爱好者
excess|n. 过量；adj. 过量的；adj. 额外的；n. 超过的量|Are you suffering from an excess of stress in your life?|你生活中的压力太大了吗？|in excess 过度,过量地；in excess of 超过|【辨析】access    n.入口，通道；exceed    v.超过，超出；excessive adj.过度的，过多的；assess    v.评价，评定
imitation|n. 赝品；n. 模仿|A child learns to talk by imitation .|小孩子通过模仿学会说话。|in imitation of 仿效，模仿|【辨析】limitation  n.限制，制约；immigration n.移民（入境）；imitate     v.模仿，仿效；initiative  n.措施，倡议；initiate    v.开始实施，发起；【谐音】因迷太深(imitation)"：因为迷恋太深，所以进行模仿。
retreat|n. 退缩；n. 隐居处；v. 退缩；n. 撤退；n. 逃避；v. 撤退；v. 逃避|We retreated to the foot of the mountain due to bad weather.|天气不好，我们撤到了山脚。|beat a retreat 鸣金收兵；打退堂鼓；retreat from 从……撤退|【辨析】retrieve v.找回，收回；restrict v.限制，控制（大小、数量、范围）；threat   n.威胁，恐吓；treaty   n.（国家之间的）条约，协定；recede   v.逐渐远离，渐渐退去
prohibition|n. 禁止；n. 禁令|The country approved a prohibition on discrimination.|该国通过了一项禁止歧视的法律。|the prohibition law 禁酒法；issue a prohibitio 颁布一项禁令|【辨析】prohibit    v.（通过法律、条例等）禁止；prohibitive adj.（费用或价格）高得令人望而却步的；【谐音】扑肉不行(prohibition)"：禁止吃肉。
broaden|v. 变开阔；v. 变宽|You should broaden your experience by travelling more.|你应该多到各地走走以增广见识。|broaden the horizon 开拓视野；to become wider 变宽；变阔 V|【辨析】broad  adj.宽广的，宽阔的；border n.国境，边界；board  n.板，木板；abroad adv.在国外，到国外；aboard adv.在（船、飞机、火车等）上；【谐音】不容等(broaden)"：再等就变宽了。
intelligence|n. 智力；n. 智者|Qualities such as talent, intelligence and potential matter more than one's appearance.|天分、智力和潜力这样的品质比外貌更加重要。|intelligence sources 情报的来源；intelligence quotient 智商；an intelligence agent 情报员|【辨析】intelligent  adj.聪明的；intellectual adj.智力的，理智的；【谐音】英特尔(intel)里(li)尖子(gence)"：都是有才智的，智力高的人才，可以获得情报。
odd|adj. 古怪的；adj. 偶尔出现的；n. （odds）可能性，不利条件；adj. 奇数的|The painter's works are an odd mixture of different styles.|这位画家的作品是各种不同风格的奇怪的混合。|odd jobs 零工；odd one out 与众不同|【辨析】odds   n.（事物发生的）可能性，机会；add    v.添加，掺入；oddity n.古怪反常的人（或事物），怪现象；【谐音】偶的(odd)"：读音像"偶数"，却是奇数，真奇怪。
selection|n. 挑选；n. 被挑选的人或物|The final team selection will be made tomorrow.|明天将确定队伍的最后人选。|a selection of 一系列，一组；natural selection 自然选择|【辨析】select   v.选择，挑选；section  n.段，部分；election n.选举；elect    v.选举；option   n.可选择的事物；【谐音】死来客神(selection)"：神明选择了你！
variable|n. 变量；adj. 可变的；adj. 易变的|The bank offers a loan with a variable interest rate.|银行提供可变利率贷款。|a variety of 各种各样的|【辨析】varied     adj.各种各样的，形形色色的；variety    n.多样化，变化；invariably adv.始终如一地，一贯地；various    adj.各种各样的；variation  n.变化，变动
whereas|conj. 然而；conj. 鉴于|Some are vaccinated whereas others are not.|有些人已经接种了疫苗，而有些人没有。||【辨析】thereby adv.因此，从而；while   conj.当……的时候
watchful|adj. 警惕的；adj. 注意的|His mother kept a watchful eye on him.|他的母亲特别留心他。|watch out 当心；be watchful of 警惕
induce|v. 导致，引起；v. 诱使|Nothing would induce me to take the job.|没有什么能诱使我接受这份工作。|induced abortion 引产 人工流产；induced current 感应电流|【辨析】deduce v.推断，演绎；reduce v.减少，降低；endure v.持续存在，持久；【变形】现在分词：inducing
haste|n. 匆忙，仓促|I have to write in haste because of the approaching deadline.|由于截止日期将至，我不得不匆忙写作。|in haste 匆忙地|【辨析】hasty    adj.匆忙的，仓促的；hasten   v.促进，使加快；hatred   n.仇恨，憎恨，敌意；harsh    adj.（环境）恶劣的，艰苦的；hesitate v.犹豫，不愿意
outlet|n. （发泄）途径；n. 分销点；n. 插座；n. 出口|She needed to find an outlet for her many talents and interests.|她的多才多艺、兴趣广泛需要找个施展的机会。|out let 让..出去 出口|【辨析】outset  n.开始，开端；output  n.产量，作品；outfit  n.（尤指在某一场合穿的）全套服装；outline n.轮廓，外形；outcome n.结果，效果；【谐音】奥特莱特(outlet)"：既是经销店，也是商品的出口。
convert|v. 转化；v. 换算；n. 皈依者；v. 改变|The solar cell can convert the energy of sunlight into electric energy.|太阳能电池能把阳光的能量转化为电能。|convert into 使……转化为……|【辨析】converse    v.谈话，交谈；convey      v.传送，运输；converge    v.（使）汇聚，集中；convertible adj.可转换的，可兑换的；convince    v.使确信，使信服；conversion  n.转变，转换；avert       v.防止，避免；divert      v.使转向，使绕道
ashore|adv. 在岸上；adv. 向岸|They came ashore two hours ago.|他们两小时前刚上岸。|off shore 离岸；campaign for sb 为某人拉票|【辨析】shore    n.（海、湖或大河的）滨，岸；adore    v.非常喜欢，热爱；offshore adj.海上的，近海的
prospect|n. 前景；n. 可能性；n. 机会|The encouraging data shows a bright prospect of e-commerce.|喜人的数据显示电子商务的前途一片光明。|in prospect 即将出现；可以指望；in prospect adj 可以预料到的|【辨析】prospective adj.有希望的，潜在的；prosperous  adj.繁荣的，富足的；prosperity  n.繁荣，成功；inspect     v.检查，审视；suspect     v.猜想，认为（某事有可能）；perspective n.（观察问题的）视角，观点；proposal    n.提议，建议；【谐音】破事败给他(prospect)"：希望和前景破灭了。
division|n. 部门，组；n. 分歧；n. 除法；n. 分开；n. 分割|The divisions between rich and poor won't disappear in the short term.|贫富差异不会在短期内消失。|company division 公司拆分|【辨析】decision  n.决定，抉择；revision  n.修改，修订；divisive  adj.有争议的，造成分裂的；vision    n.幻想，想象；provision n.提供，供应；invasion  n.侵略，入侵；version   n.（同一种物件稍有不同的）样式，型号；divide    v.（使）分开，分散；addition  n.增加物，新增人员；precision n.精确（性），准确（性）；diverse   adj.不同的，各式各样的；【谐音】地位升(division)"：把他划分出我们部门，因为他升职了。
resistant|adj. 有抵抗力的；adj. 抵制的|People are usually resistant to change.|人们通常抗拒改变。|water resistant 防水的；be resistant to 抵抗/抵制…|【辨析】resistance n.反对，抵制；resist     v.阻挡，抵制；resident   n.居民，住户；【谐音】瑞兹是疼的(resistant)"：没有抵抗力当然疼啊。
fantastic|adj. 极好的|We watched a fantastic play yesterday evening.|昨天晚上我们看了一场非常精彩的演出。|fantastic hopes 异想天开|【辨析】fantasy n.幻想，想象；【谐音】饭档次提高(fantastic)"：极好的；奇异的；奇妙的。
scheme|n. 方案；n. 诡计；n. 组合；v. 密谋|Under the new scheme only successful schools will be given extra funding.|在新体制下，只有办得好的学校才可获得额外经费。|scheme against each other 勾心斗角；in years to come 在未来几年里；to scheme for something 策划某事 变形: vt.schemed scheming|【辨析】shame    n.羞耻，羞愧；schedule n.计划（表），进度表；【变形】现在分词：scheming
faithful|adj. 忠实的；adj. 准确可靠的；adj. 忠贞的|The bankrupt businessman got through his hard times with the help of a faithful friend.|这个破产的商人在一个忠诚的朋友的帮助下度过了难关。|in good faith 真诚地|【辨析】faithfully adv.忠实地，忠诚地；faith      n.信任，信心，信念；truthful   adj.诚实的，讲真话的；fail       v.失败；faint      adj.模糊的，微弱的
intelligent|adj. 聪明的；adj. 智能的；adj. 有智力的|The group of highly intelligent students won the first prize in the math competition.|这群聪明过人的学生赢得了数学比赛的一等奖。||【辨析】intelligence n.智力，才智；intellectual adj.智力的，理智的；【谐音】赢他了真的(intelligent)"：真是聪明的，智能的！
relay|v. 转播；n. 接力赛；n. 接替者；n. 中继设备；v. 转送，转发|He relayed the message to his boss.|他将这个消息转给了他的老板。|in relays 轮班地；轮流地[亦作by relays]；relay the message 传递消息；relay race 接力赛；relay team 接力队|【辨析】repay v.付还，偿还；reply v.回答，答复；rely  v.相信，信赖；rally v.召集，集合；delay v.推迟，延期；clay  n.黏土，陶土；decay v.（建筑、地方等）破败，衰落；【谐音】瑞累(relay)"：真的太累了，只能找人接替。
electronics|n. 电子器件；n. 电子学|About 45,000 people worked in electronics in Scotland.|大约4.5万人在苏格兰从事电子行业。|in the electronics field 在电子行业|【辨析】electronic  adj.电子的，电子学的；electricity n.电，电流，电力；electric    adj.电的；election    n.选举；electrical  adj.电的，与电有关的；【谐音】伊拉克创立科室(electronics)"：慢慢形成了电子业。
remainder|n. 剩余部分；n. 余数|Nine people came in and the remainder stayed outside.|9个人进来，余下的人留在外面。|remain vi 剩下，余留|【辨析】reminder n.提醒物，引起回忆的事物；remind   v.提醒，使想起；retain   v.保持，保留；remnant  n.残余部分，残迹；【谐音】再卖的(re-mainder)"：再次拿来卖的东西，就是仓库的剩余物，而且还是廉价出售。
virtual|adj. 虚拟的；adj. 实际上的|This agreement is a virtual acceptance of the bill.|该协议实质上是接受了这项法案。|virtual world 虚拟世界；virtual bank 虚拟银行；virtual money 虚拟币|【辨析】virtually adv.事实上，几乎；virtue    n.高尚的道德，德行；virtuous  adj.道德高尚的，品行端正的；visual    adj.视觉的，视力的；vertical  adj.垂直的，直立的；vital     adj.至关重要的，必不可少的；actual    adj.真实的，实际的，现实的；virus     n.病毒；【谐音】我丑(virtual)"：实际上我是虚拟的丑。
compact|adj. 紧凑的；n. 协定；n. 契约；adj. 小型的|He received a compact package.|他收到一个扎得很紧的包裹。|a compact car 小型汽车；To become more compact 使更紧密；economy car 经济型轿车 compact car 紧凑型轿车 intermedium car 中型车 full-sized car；compact on 对……有影响；compact package 紧密包装，紧缩包装|【辨析】contact    n.联系，联络；combat     n.战斗，搏斗；compatible adj.兼容的；contract   n.合同，契约；impact     n.撞击，冲击力；contempt   n.轻视，蔑视；pact       n.条约，协议，公约；compress   v.（使）压紧，压缩；concrete   adj.确实的，具体的；contrast   n.差异，对比；content    adj.满足的，满意的，甘愿的；context    n.背景，环境；conform    v.遵守，符合；【谐音】肯派给他(compact)"：愿意与他签订紧凑的合同。
earnest|adj. 认真的，诚实的，真诚的|The cold-blooded man turned down her earnest plea for help.|这个冷血的男人拒绝了她诚恳的求助。|in earnest 认真，诚心；be in earnest 认真的，真诚的|【辨析】earn v.赚得，挣钱
gesture|n. 手势；v. 打手势；n. 示意动作；n. 姿态；v. 用动作示意|They communicated entirely by gesture .|他们完全通过手势来交流。|face gesture 面部表情；guesture language 手语|【辨析】feature   n.特点，特征；guest     n.客人；signature n.签名，署名；【谐音】爵士雀(gesture)"：打个手势，麻雀就跳爵士舞。
proportional|adj. 成比例的|Price is proportional to costs.|价格与成本是成比例的。|in inverse proportion to 成反比；proportional to 比例的，成比例的|【辨析】proportion  n.部分，份额；proposition n.主张，观点；portion     n.（某物的）一部分
realization|n. 领悟；n. 实现目标|The realization of his ambition makes him very happy.|他很高兴他的理想实现了。||【辨析】reality n.真实，现实；realism n.务实作风，实事求是；【谐音】real来这生(realization)"：今生愿望实现了。
restraint|n. 限制；n. 克制|His rage was beyond restraint .|他怒不可遏。|restraint in 在某方面的束缚/限制|【辨析】restrain v.制止，阻止；restrict v.限制，控制（大小、数量、范围）；refrain  v.克制，避免；resist   v.阻挡，抵制；strain   n.焦虑，紧张
radical|adj. 根本的；adj. 激进的；n. 激进分子；adj. 革新的|This thesis led to a radical reshaping of their policies.|这篇论文导致了他们政策的彻底改变。|radical change 翻天覆地的变化；radical reform 彻底的改革；a radical error 根本性错误；radical political views 激进的政治观点|【辨析】racial   adj.种族关系的，种族之间的；radiant  adj.容光焕发的，喜悦的；radiate  v.（使品质或情感）显出，流露；rational adj.（想法、决定等）合理的，基于理性的；【谐音】ready扣(radical)"：准备扣住他，激进一点就能彻底抓住他。
comprehend|v. 理解|If you can use a word correctly and effectively, you comprehend it.|你如果可以正确有效地使用一个词，你就是了解它了.||【辨析】comprehension n.理解力，领悟力；comprehensive adj.综合性的，全面的；【谐音】来(com)之前(pre)恨的(hend)"：来之前恨的，现在理解了。
fluid|n. 流体，液体；adj. 不稳定的；adj. 流动的|The political situation is so fluid that any thoughtless move could lead to military conflict.|政治局势如此动荡，任何欠考虑的举动都可能引发军事冲突。|fluid motion 优美流畅的动作|【辨析】flush  v.（人的皮肤或脸）发红（尤指因病或激动）；fluent adj.（说话）流利的；liquid n.液体，液态物；【谐音】弗洛伊德(fluid)"：弗洛伊德的理论像流体一样流遍了世界。；【���片】n. 流体
circulate|v. 传播；v. 传阅；v. 循环|Cooled air is circulating throughout the building.|冷气在整座大楼循环。|allow the air circulate 让空气流通|【辨析】calculate    v.计算，核算；circular     adj.圆形的，环形的；circulation  n.发行量，销售量；circuit      n.电路，回路；accumulate   v.积累，积攒；circle       n.圆，圆形物；circumstance n.条件，情况，环境；accelerate   v.（使）加快，促进；【谐音】瑟哭晚了(circulate)"：消息已散布出去，先生你哭晚了！；【变形】现在分词：circulating
pierce|v. 刺穿，穿透；v. 透入|The arrow pierced his shoulder.|箭刺穿了他的肩膀。|pierce through 穿破，穿过； 穿透； 戳穿|【辨析】fierce  adj.（动作或情感）强烈的，激烈的；piece   n.块，张，片，段；peace   n.和平，太平；price   n.价格；precise adj.精确的，准确的；【变形】现在分词：piercing
approve|v. 批准；v. 赞成；v. 认可|Do you approve of my idea?|你同意我的想法吗？|approve of 赞成；approve by acclamation 鼓掌通过；approve the budget 批准预算|【辨析】approval   n.称许，赞成；improve    v.康复，健康好转；prove      v.证实，证明；disapprove v.不赞成，反对；【谐音】阿婆入伍(approve)"：批准通过。；【变形】现在分词：approving
secondary|adj. 中等教育的；adj. 次要的；adj. 间接的|Money is now of only secondary importance; health is the most important.|现在钱只是次要的，健康才是主要的。|be secondary to sth 对于,,,来说是次要的。；secondary school 中学|【辨析】secretary n.秘书；【谐音】谁肯追(secondary)"：愿意追随的往往是第二位的。
panic|n. 恐慌，惊恐；v. 使惊慌|The crowd panicked at the sound of the explosion.|爆炸声一响，人群便惊慌起来。|panic buying 抢购|【辨析】pan     n.平底锅；panel   n.专家咨询组，专题讨论小组；picnic  n.野餐，野餐活动；pain    n.疼痛，伤痛；plastic n.塑料；clinic  n.诊所，门诊部；【谐音】怕那个(panic)"：非常害怕某事，因此感到恐慌。
possibility|n. 可能性；n. 可能的事；n. 发展前景|We must accept the possibility that we might be wrong.|我们必须承认，我们有可能搞错了。|diverse possibility 各种各样的可能性；by any possibility 有可能;也许 * beyond/within the realms of possibility 超出／在可能范围|【辨析】probability    n.可能性，或然性；impossibility  n.不可能的事；possibly       adv.可能，或许；responsibility n.责任，负责；possible       adj.可能的，可能做到的；ability        n.能力，能够；【谐音】迫使背例题(possibility)"：被迫背题，通过考试的可能性很大。；【变形】复数形式：possibilities
manipulate|v. 操纵；v. 使用|She manipulated the lights to get just the effect she wanted.|她熟练地操作着灯光，以达到她想要的效果。|manipulate account 作假帐 manipulate market 操纵市场|【辨析】manipulative adj.操纵的，善于摆布（他人）的；stipulate    v.规定，明确要求；manufacture  v.（用机器大量）生产，制造；manifest     v.显示，表明；maneuver     n.细致巧妙的移动，机动动作；manual       adj.手工的，体力的；【变形】现在分词：manipulate
occurrence|n. 发生；n. 发生的事|The occurrence of storms delayed our trip.|暴风雨延误了我们的旅行。|an everyday occurrence 日常之事|【辨析】occur     v.（尤指意外地）发生；incidence n.发生率；current   adj.现行的，当前的
fashionable|adj. 时髦的，流行的|The rich lady has many fashionable clothes in her wardrobe.|这位富婆的衣柜里有很多时髦的衣服。|the fashionable world 上流社会|【谐音】发行那包(fashionable)"：那包很流行，很时尚。
fierce|adj. 强烈的；adj. 凶猛的|The troops launched a fierce attack on the terrorists.|军队对恐怖分子发起了猛烈的攻击。|fierce sun 好用法；fierece dog 疯狗；fierce competition 激烈的竞争|【辨析】pierce v.（锋利尖锐物体）刺入，刺穿；force  n.暴力，武力；【谐音】飞蛾死(fierce)"：飞蛾扑火，形容凶猛或狂热。
cruelty|n. 残酷，残忍|Her stepmother showed her nothing but cruelty .|她的继母对她除了残酷什么也没有。||【辨析】crude   adj.粗略的，大概的；crucial adj.至关重要的，决定性的；【谐音】哭啼(cruel)"：太残忍了，所以哭啼。；【变形】复数形式：cruelties
reveal|v. 揭示，披露；v. 露出，展现|The report reveals that the company made a loss of £20 million last year.|报告显示，公司去年亏损了2000万英镑。|reveal oneself 以某种方式暴露自己身份；repeal - 废除|【辨析】reverse v.逆转，彻底改变（决定、政策、趋势等）；revenue n.（企业、组织的）收入，收益；relieve v.缓解（疼痛或不快的感觉）；【谐音】锐尾哦(reveal)"：锐利的尾巴显露出来了。
stripe|n. 条纹|Vehicles should yield to pedestrians walking on the stripes of the crosswalk.|机动车应该为走在斑马线上的行人让路。||【辨析】stride n.大步，阔步；strike v.打，撞；strive v.努力，力争；scrape v.（用小刀等）刮除；strip  v.除去，撕掉（外皮或表层）；strap  n.带子，皮带；strain n.焦虑，紧张；scrap  n.（纸、布等的）碎片，小块；thrive v.茁壮成长，兴旺，繁荣；triple adj.三倍的，三重的；【谐音】撕拽布(stripe)"：形成条纹的布料。
notify|v. 通知|Please notify us of any change of address.|地址如有变动，请通知我们。||【辨析】modify    v.修改，改进；identify  v.认出，识别；testify   v.（通常指在法庭上）作证；certify   v.证明，证实；magnify   v.放大，扩大；dignify   v.使有尊严，使高贵；verify    v.核实，查证；intensify v.加剧，增强；specify   v.明确指出；amplify   v.放大，扩大（声音）；【谐音】no体罚(notify)"：体罚取消了，快通知大家！；【变形】过去式：notified；过去分词：notified
ridicule|v. 嘲笑，奚落；n. 嘲笑，奚落；n. 戏弄；v. 戏弄|She couldn't stand any more of their ridicule .|她再也无法忍受他们丝毫的嘲笑了。||【辨析】ridiculous adj.可笑的，荒谬的；radical    adj.根本的，彻底的；【谐音】瑞迪哭(ridicule)了"：瑞迪哭了是因为被人嘲笑，受人奚落。；【变形】现在分词：ridiculing
dairy|adj. 乳品的；n. 牛奶场；n. 乳品店；adj. 乳品业的|Some people prefer dairy milk to soy milk.|有些人喜欢喝牛奶胜过喝豆浆。|dairy product 乳制品;dairy cattle 乳牛;dairy farming 乳品业；dairy cake 牛奶蛋糕|【辨析】daily  adj.每日的，日常的；diary  n.日记；fairy  n.仙子，小精灵；fairly adv.相当地，颇；【谐音】带乳液(dairy)"：与乳制品相关。；【变形】复数形式：dairies
