anticipate|v. 预料；预见；期盼|Nobody could have anticipated the result of the game.|没人能预料到比赛的结果。|resistance to 拒绝|【辨析】anticipation n.预期，预料；participate  v.参加，参与；appreciate   v.欣赏，鉴赏；【变形】现在分词：anticipating
description|n. 描述，形容|Please give a brief description of your previous job.|请对你之前的工作做一个简要的说明。|beyond description 难以描述|【辨析】prescription   n.处方，药方；discrimination n.歧视，区别对待；describe       v.描述，形容；discriminate   v.区分，辨别
elegant|adj. 优雅的；雅致的；精美的|I like my clothes to be simple but elegant .|我喜欢朴素但漂亮雅致的衣服。|companion n 同伴|【辨析】element  n.基本部分，要素；elephant n.象；pregnant adj.怀孕的，妊娠的
upwards|adv. 向上，向高处，在…以上|House prices have started moving upwards again.|房价又开始上涨了。|upwards of 多于。。。|【辨析】upward    adj.升高的，上升的；inwards   adv.向内地；outwards  adv.向外地；inward    adj.内心的，精神的；upgrade   v.（使）（计算机、机器或软件）升级；ward      n.病房，病室；outward   adj.外表的，表面的；downwards adv.向下地，下降地；backwards adv.向后；【谐音】阿扑(up)蚊子(wards)"：向上，向高处拍，向上的。
hairy|adj. 多毛的|A mammoth is a large hairy type of elephant in ancient times.|猛犸是古代一种身体庞大、长着长毛的大象。|hairy crab 毛蟹（大闸蟹）|【辨析】fairy n.仙子，小精灵；【变形】比较级：hairier；最高级：hairiest
intensive|adj. 集中使用的；加强的，密集的|I will take two weeks of intensive training for the competition.|我将为这场比赛进行两个星期的密集训练。|intensive reading 精读|【辨析】incentive n.激励，刺激；intensify v.加剧，增强；intensity n.强烈，剧烈；intense   adj.很大的，十分强烈的；extensive adj.广阔的；intend    v.打算，想要；intent    adj.专注的，专心致志的；tension   n.紧张，焦虑
whistle|n. 哨子（声）；汽笛（声）；呼啸声；v. 吹口哨；发出笛声；（风等）呼啸而行；（鸟）啾鸣|The referee finally blew the whistle to stop the game.|裁判最后吹响了终场的哨声。|clean as a whistle 清白无辜，干净利落之类的意思；blow the whistle 告发；揭发|【辨析】wrestle v.（与某人）摔跤，扭打；whisper v.耳语，低语，小声说；whisky  n.威士忌酒；wrist   n.手腕，腕关节；whilst  conj.<英，正式>当……的时候；wrinkle n.（皮肤上的）皱纹；castle  n.城堡，堡垒；【变形】现在分词：whistling
reunion|n. 重逢；团圆|We have a family reunion on a monthly basis.|我们家每个月都会团聚一次。|family reunion 家庭团聚 家庭大团圆；family reunion dinner 团圆饭；encounter is reunion 世间所有相遇都是久别【重逢】|【辨析】reunite v.（使）团聚，（使）重聚；union   n.联合，结合；onion   n.洋葱，洋葱头；【谐音】有你(union)"：重新(re)有你。
fresh|adj. 新鲜的；新的；精力充沛的|Is this milk fresh ?|这是鲜牛奶吗？|make a fresh start 重新开始；as fresh as 像……一样；keep one's mind fresh 保持头脑清楚；fresh water 淡水；fresh vegetables 新鲜蔬菜|【辨析】flesh   n.（人或动物的）肉；flash   v.闪光，闪亮；refresh v.使恢复精神，使消除疲劳；【谐音】赴瑞士(fresh)"：为了新的手表，赴瑞士。
upon|prep. 在…之上；一…就；…又…；即将发生|Upon her head she wore a white velvet hat.|她头戴一顶白色天鹅绒帽子。|once upon a time 从前，很久以前；look upon as 看做，作为；look down upon sb 轻视某人|【谐音】阿胖(upon)"：体重在你之上，表示在...之上的意思。
hot|adj. 热的；辣的；棘手的；走红的；最新的|Do you like this hot weather?|你喜欢这种炎热的天气吗？|hot temper 急躁的脾气; /like a cat on hot bricks 急促不安,如热锅上的蚂蚁；be hot at 对…很拿手,擅长于,精通…|【辨析】hat  n.（常指带檐的）帽子；heat n.热能，热量；【谐音】好烫(hot)"：这东西很热。；【变形】比较级：hotter；最高级：hottest；现在分词：hotting
famous|adj. 著名的|He is a famous actor.|他是一个出名的演员。|famous brand 名牌；grand - 盛大的 豪华的。
while|conj. 当…的时候；尽管；与…同时；然而；直到…为止；n. 一会儿|Her parents died while she was still at school.|她还在读书时父母就去世了。|once in a while 偶尔（=sometimes)；a short while ago 不久前；take a while --- 需要一段時間|【辨析】white adj.白色的；whole adj.全部的，整个的；when  adv.什么时候；【谐音】歪哦(while)"：当电线杆歪了的时候，表示当...的时候、尽管、然而等含义。；【变形】现在分词：whiling
awesome|adj. 令人惊叹的；很好的|The awesome challenge scares him off.|这个巨大的挑战把他吓跑了。||【辨析】tiresome adj.烦人的，令人厌烦的；awe      n.敬畏，惊叹；【谐音】哦，神(awesome)"：令人敬畏的，非常棒的。
harness|v. 控制，利用；n. 马具；挽具；背带|We can harness solar energy to generate power.|我们可以利用太阳能发电。|in harness 比喻经常做的工作；die in harness 殉职，在工作中死去；work/run in double harness 与伙伴共同工作，夫妻双双工作
easy|adj. 容易的；舒适的；随和的；adv. 小心，慢些，轻点|The written exam is easy but the oral exam is not.|笔试很容易，但口试却不然。|easy happiness 唾手可得的幸福|【辨析】ease   n.容易；easily adv.容易地；essay  n.（学生为某门课程所写的）短文，论说文；busy   adj.繁忙的，忙碌的；【谐音】一Z(easy)"：一个Z写起来很容易。；【变形】比较级：easier；最高级：easiest
rest|n. 其余部分；休息时间；v. 休息；中止；安息；倚靠|I'm not doing this job for the rest of my life.|我不会一辈子干这种工作。|for the rest 至于其他；rest on 依靠，依赖于；and the rest 其他的；等等|【辨析】nest n.窝，巢，穴；best adj.最好的，最出色的；west n.西，西方；test n.（书面或口头的）测验，考试；vest n.<英> 背心，汗衫；pest n.害虫，有害动物；risk n.危险，风险；rot  v.（使）腐败，（使）腐烂；【谐音】热死了(rest)"：天气太热，需要休息一会。
factual|adj. 根据事实的，真实的|She gave a clear, factual account of the event to the police.|她如实、清晰地向警方陈述了整件事。|factual knowledge 实际情况|【辨析】actual   adj.真实的，实际的，现实的；fatal    adj.致命的；faculty  n.机能；facility n.设施，设备；【谐音】饭可戳我(factual)"：事实(fact)戳我(tual)，表示真实的、事实的。
dormitory|n. 宿舍|Female students under twenty-one were required to live in dormitories .|21岁以下的女生需要住在宿舍里。||【变形】复数形式：dormitories
rule|n. 规章；规则；统治；v. 统治；支配；裁定|It's against all rules and regulations .|这违背了所有的规章制度。|rule out 排除；取消；as a rule 通常|【辨析】role   n.（演员的）角色；rude   adj.粗鲁的，无礼的；ruler  n.统治者，管理者；rose   n.玫瑰，蔷薇；ruling n.（尤指法庭的）裁决，裁定；clue   n.线索，提示；【谐音】入了(rule)"：入了你的地盘，即统治。；【变形】现在分词：ruling
insistence|n. 坚持，坚决要求|At her coach's insistence , Amy signed up for the competition.|在教练的坚持下，艾米报名参加了比赛。|insist v 坚决要求吗，坚持认为|【辨析】insistent   adj.坚持的，坚决要求的；persistence n.继续存在，维持；incidence   n.发生率；existence   n.存在，实有；assistance  n.帮助，援助；resistance  n.反对，抵制；instant     adj.立刻的，马上的；consistent  adj.始终如一的，一贯的；【谐音】因为sister坚持(insistence)"：妹妹去世后，坚决主张打官司。
poem|n. 诗|He wrote several lyrical poems to his girlfriend.|他给女朋友写了几首抒情诗。||【辨析】poet   n.诗人；poetry n.诗歌
thorough|adj. 彻底的；仔细的；十足的|The police carried out a thorough investigation.|警方展开了全面的调查。|thorougth knowledge 彻底的知识即渊博|【辨析】thoroughly adv.完全地，极度地；through    prep.穿过，从一端到另一端；rough      adj.（表面）粗糙的，不平的；though     conj.虽然，尽管；thought    n.想法，看法，主意；throughout prep.遍及，到处；thoughtful adj.体贴入微的，考虑周到的；【谐音】色弱(thorough)"：色弱想考驾照，被彻底地、完全地拒之门外了。
sensitivity|n. 体贴；敏感性；灵敏度|As we all know, she is a girl with great sensitivity .|我们都知道，她是个很敏感的女孩。||【辨析】sensitive   adj.过敏的，易受影响的；sensation   n.感觉，知觉；sensational adj.轰动的，激动人心的；sentiment   n.观点，看法，情绪；sensible    adj.理智的，合理的；sentimental adj.情感的（而非理性的）；【变形】复数形式：sensitivities
mentality|n. 心态；思想状况|People with a get-rich-quick mentality are more likely to break the law.|那些抱着一夜暴富心态的人更容易触犯法律。|criminal mentality 犯罪心理；vindictive mentality 报复心理|【辨析】mortality n.死亡人数，死亡率；mental    adj.存在于大脑中的，思考的；morality  n.道德，品行；metallic  adj.含金属的，金属制的；【变形】复数形式：mentalities
endanger|v. 危及，危害|That one mistake seriously endangered the future of the company.|仅那一个失误就严重地危及了公司的未来。|into the bargain 此外，而且|【辨析】endangered adj.（动植物）濒危的；【谐音】因单着(endanger)"：一个人独处容易陷入危险。
sociable|adj. 好交际的；友善的|The friendly and sociable couple like inviting their friends to have parties at home.|这对友善好交际的夫妇喜欢把朋友们请到家里开派对。||【辨析】socialism n.社会主义，社会主义制度；sociology n.社会学，社会关系研究；associate v.联想，联系；【谐音】宋小宝(sociable)"：像宋小宝一样善于交际的。
ugly|adj. 丑陋的|Over there is an ugly building.|那里有一个难看的建筑。||【辨析】urge v.敦促，催促，力劝；【变形】比较级：uglier；最高级：ugliest
pick|n. 挑选；精华；选中的人（或物）；v. 挑选；摘，采|She picked the best cake for herself.|她为自己挑了一块最好的蛋糕。|pick a fight 向人挑战；pick out 挑出pick over 挑 PICK UP 捡起 接人上车 恢复健康 偶然学会；pick up 捡起|【辨析】pack  v.（把……）打包，收拾（行李）；pink  adj.粉红色的；sick  adj.生病的，患病的；kick  v.踢，踢腿；quick adj.迅速的，快的；click v.（用鼠标）点击；peak  n.巅峰，顶点；thick adj.厚的，粗的；trick n.花招，诡计，骗局；brick n.砖，砖块；park  n.公园；【谐音】匹克(pick)"：我挑选了这双匹克运动鞋。
stimulus|n. 刺激物；促进因素|The government resort to tax deductions as stimulus which the slow economy needed.|政府采取减税措施为不景气的经济带来了其所需的刺激。||【辨析】stimulant    n.引起兴奋的物质，兴奋剂；stimulate    v.促进，激发（某事物）；simulate     v.假装，冒充；stimulation  n.刺激，激励，兴奋作用；simultaneous adj.同时发生的，同步的；【谐音】死题目(stimulus)"：需要刺激才能解决。；【变形】复数形式：stimuli
mention|v. 提到；n. 提及|She mentioned her ideas to her boss.|她向老板提了自己的想法。||【辨析】motion  n.运动，移动；mental  adj.存在于大脑中的，思考的；emotion n.情感，情绪；【谐音】门神(mention)"：提到门神要敬畏，表示提及或说到。
dependent|adj. 依靠的；由…决定的|You can't be dependent on your parents any more.|你不能再依靠父母了。|depend on 取决于，依赖，依靠|【辨析】defendant    n.被告，被告人；independent  adj.自治的，独立的；descendant   n.后裔，子孙；independence n.独立，自主；【谐音】得盼等他(dependent)"：依赖他、依靠他，所以总是盼着等他。
analytic|adj. 分析的|New analytic methods can help decrease this risk.|新的分析方法能帮助减少这种风险。||【辨析】analytical adj.具备分析能力的，善于分析的；analyse    v.分析，细察；analysis   n.分析；analyze    vt.对……进行分析，分解（等于 analyse）；analogy    n.类比，比拟；analogue   n.相似物，类似事情；【谐音】爱拿例题可(analytic)"：分析问题时爱拿例题来说明。
instructor|n. 教练，导师|The driving instructor told me to pull up at the post office.|驾驶教练让我在邮局停车。||【辨析】instruct    v.指示，吩咐；instruction n.用法说明；instructive adj.有教益的，有启发性的；instrument  n.器械；conductor   n.（乐队等的）指挥；destruction n.破坏，摧毁；【谐音】应死抓课的(instructor)"：好的教员应该认真抓课。
trash|n. 垃圾；垃圾桶；劣质品；废物；v. 破坏；谴责；丢弃|Don't forget to take out the trash every day in summer.|夏天别忘了每天把垃圾拿到外边扔掉。|take out the trash 带走垃圾 （家务活）|【辨析】crash v.撞车，坠毁；track n.小道，小径；trust n.信任，信赖；ash   n.（香烟或木头等的）灰；cash  n.现款，现金
stroke|n. 中风；击球；一击；划水动作；轻抚；笔画；钟声；v. 轻抚|Her grandfather suffered a stroke that left him unable to speak.|她祖父患上了中风，说不了话。|heat stroke 中暑|【辨析】strike v.打，撞；stock  n.（商店的）现货，存货，库存；stake  n.股本，股份；stack  n.（整齐的）一堆；stick  v.粘，贴；shock  n.令人震惊的事；【谐音】是joke(stroke)"：一次打击或中风可能很严重，但别当真。；【变形】现在分词：stroking
rail|n. 铁轨，铁路；扶手；横杆|There's a rail for towels in the bathroom.|浴室里有一根用于挂毛巾的横杆。||【辨析】tail    n.（动物的）尾巴；bail    n.保释；fail    v.失败；nail    n.钉子；hail    v.赞扬，欢呼；jail    n.监狱；sail    v.（人）航行；mail    n.邮政，邮递系统；raid    n.突袭，袭击；trail   n.痕迹，踪迹；railway n.<英>铁路，铁道；trial   n.审判，审理
price|n. 价格；代价；v. 给…定价；给…贴价格标签|The boat is for sale, priced at 2000 dollars.|这艘船待售，售价两千美元。|not any price 说什么也不行 无价值；price range 价格范围（幅度）；price floor 底价|【辨析】prize  n.奖品，奖项；pride  n.自豪（感）；piece  n.块，张，片，段；rice   n.稻；place  n.地点，场所；prince n.王子，王孙；praise v.（尤指公开地）赞美，表扬；pierce v.（锋利尖锐物体）刺入，刺穿；【谐音】破大米(price)"：大米的价格。；【变形】现在分词：pricing
persuasive|adj. 有说服力的，令人信服的|His campaign speech was so persuasive that the audience nodded in agreement.|他的竞选演讲很有说服力，听众纷纷点头赞同。|persuasive manner 晓之以礼|【辨析】persuasion n.说服，劝服；persuade   v.说服，劝服；pursue     v.追求，致力于，执行；pursuit    n.追求，寻找；【谐音】颇使(persua)我(we)信服(sive)"：非常有说服力的。
senator|n. 参议员|She has served as a Democratic senator for North Carolina since 2009.|自2009年来，她一直是北卡罗来纳州的民主党参议员。||【辨析】senate  n.参议院；senior  adj.年龄大些的；sector  n.区域，部分；seminar n.研讨会，培训会
produce|v. 生产；繁育；引起；n. 农产品|He is the marketing manager of a factory that produces microchips.|他是一家微芯片制造厂的市场销售经理。|product n 产品 成果 作品；native produce 土特产|【辨析】product    n.产品，制品；reduce     v.减少，降低；productive adj.多产的，丰饶的；introduce  v.介绍，引见；procedure  n.手续，步骤；production n.（以销售为目的的）生产，制造；【变形】现在分词：producing
brown|adj. 棕色的；n. 棕色，褐色|He has a pair of watery brown eyes.|他有一双水汪汪的棕色眼睛。||【辨析】drown v.（声音）压过，盖过；grown adj.长大的，成年的；born  adj.天生的，生来就有的；burn  v.燃烧，消耗；【谐音】不让污(brown)"：不让褐色的污渍沾染衣服。
discussion|n. 讨论，详述|It is so inefficient that the activity plans have been under discussion for a month.|这个活动计划已经讨论了一个月，效率太低了。|privy to 对……知情；Independence Day 独立日；in favor of 支持|【辨析】discuss    v.讨论，辩论；expression n.表达，表示；【谐音】的士卡身(discussion)"：的士撞车了，得讨论下一步怎么办。
ragged|adj. 破旧的；衣衫褴褛的|He decided to do something meaningful to help those ragged children.|他决定做些有意义的事来帮助那些衣衫褴褛的孩子。|in rags 衣衫褴褛的|【辨析】rag    n.抹布，破布；rage   n.盛怒，狂怒；raging adj.强烈的
systematically|adv. 系统性地，有条理地|The police are searching systematically for evidence against the killer.|警方正在系统地搜寻指控凶手的证据。||【辨析】systematic adj.有系统的，有条理的，仔细周到的
publicize|v. 宣扬，推广|He did charity but let the media not publicize it.|他做了慈善却让媒体不要宣扬。||【辨析】publicly    adv.公开地，公然地；publicity   n.（媒体的）关注，报道；publication n.出版，发行；publish     v.出版，发行（书、杂志等）；republic    n.共和国，共和政体；republican  adj.共和政体的，共和国的；【谐音】怕不理赛事(publicize)"：担心没人关注比赛，赶快公开宣传。；【变形】现在分词：publicizing
with|prep. 和…一起；具有；由于；包括…在内|She lives with her parents.|她和父母住在一起。||【辨析】without prep.没有，缺乏；【谐音】位子(with)"：和对我有用的人在一起。表示伴随、支持的关系。
Internet|n. 互联网|You can buy our goods over the Internet .|可以通过互联网购买我们的货品。|actually appeared to 似乎确实；internet geek 网虫；Internet booking 网上预订；over the Internet 通过网络
watchful|adj. 注意的；警惕的|His mother kept a watchful eye on him.|他的母亲特别留心他。|watch out 当心；be watchful of 警惕
flee|v. 逃走|The frightened people fled from the fire.|人们惊恐万状地逃离了火灾现场。||【辨析】free adj.免费的；fee  n.费用，酬金；feel v.感受到，体会到；feet n.脚（foot 的复数形式）；flow v.流动，流淌；fare n.交通费用；【谐音】飞离(flee)"：要逃得快，就像飞一样离开。；【变形】过去式：fled；过去分词：fled
behavioral|adj. 行为的|Those experiments confirmed a fact that closely related species have similar behavioral patterns.|这些实验证实了一个事实，即近亲物种具有相似的行为模式。|behavioral science 行为科学；behavioral economics 行为经济学
perfection|n. 完美；圆满|A writer should polish his writing repeatedly so as to get closer to perfection .|作家应当不断润色自己的写作以趋近于完美。|to perfection 完全地;完满地；take off 模仿，起飞，脱掉，去除，匆匆离开，取消|【辨析】infection n.传染病；affection n.喜爱，关爱；defection n.脱离，退出，叛逃；effective adj.产生预期结果的，有效的；defective adj.有问题的，有缺陷的；【谐音】颇费个心(perfection)"：需要付出很多努力才能达到完美。
suggest|v. 建议；推荐；表明；暗示|May I suggest a white wine with this dish, Sir?|先生，吃这道菜，我给您推荐一种白葡萄酒，好吗？||【辨析】suggestion n.建议，意见
hill|n. 小山；斜坡|He lived in a hut on the hill .|他住在山上的小屋里。|hill of beans 小事，琐碎事情|【辨析】hall n.礼堂，大厅；pill n.药片，药丸；fill v.（使）充满，占满；kill v.杀死；till prep.直到，到……为止；will v.将，将要；bill n.（商品、服务或餐馆的）账单；ill  adj.有病的，不舒服的；heel n.脚后跟；【谐音】嘿哟(hill)"：嘿哟嘿哟地爬过小山。
cowardly|adj. 怯懦的|I was too cowardly to argue with him about the issue.|我太胆小了，不敢就此问题和他争论。|a cowardly surrender 一个怯懦的投降者|【辨析】coward    n.胆小鬼，懦夫；cowardice n.怯懦，胆小；【谐音】靠我的力(cowardly)"：因为胆小所以要依靠我的力量。
player|n. 运动员；玩家|A basketball match requires five players on each side.|一场篮球赛需要两支队伍各5名球员。|a major player 一个积极参与者|【辨析】play v.（尤指儿童）玩，玩耍；【谐音】怕累哦(player)"：因为怕累，所以成为玩家。
role|n. 作用；角色；职能|She refused to take on the traditional woman's role .|她拒绝承担传统妇女的角色。|play a role in 起...作用；leading role 主角；role play 角色扮演；dual role 双重身份|【辨析】rule n.规章，条例；hole n.洞，坑；pole n.杆，柱；roll v.（使）翻滚，滚动；raw  adj.生的，未煮过的
diplomatic|adj. 外交的；老练的|Those two countries have broken off diplomatic relations again.|那两个国家再次终止了外交关系。|diplomatic muscle 外交力量；diplomatic disputes 外交争端|【辨析】diplomat   n.外交官，外交家；diploma    n.毕业文凭，学位证书；diplomacy  n.外交，外交技巧；democratic adj.平等的，有民主精神的；domestic   adj.国内的，本国的；duplicate  v.复制，复印；dilemma    n.（进退两难的）窘境，困境
cruise|n. 航行；乘船游览；v. 乘船游览；以平稳速度行驶|You can take a leisurely cruise on the lake.|您可以悠闲地乘船渡湖。||【辨析】bruise  n.青瘀，伤痕；crude   adj.粗略的，大概的；curse   n.骂人话，咒骂语；cuisine n.烹饪，风味；crucial adj.至关重要的，决定性的；recruit v.招聘，招收（新成员）；【谐音】酷死了(cruise)"：乘船游览真是酷极了！；【变形】现在分词：cruising
conceptual|adj. 概念的，观念的|The car on display was just a conceptual model.|本次展出的汽车只是个概念模型。||【辨析】concept    n.概念，观念；conception n.概念，观念；conceive   v.构思，设想；【谐音】啃三部曲(conceptual)"：三部曲代表一个完整的概念。
frighten|v. 使惊吓，使惊恐|She's not easily frightened .|她不是轻易能吓倒的。||【辨析】fright      n.惊骇，恐怖，惊吓；frightening adj.可怕的，骇人的；flight      n.航班，班机；friction    n.不和，分歧；freight     n.货物；fragile     adj.易碎的，易损的；fight       v.与……作斗争，坚决反对；fiction     n.小说；【谐音】腹来疼(frighten)"：吓得肚子疼，形容非常害怕。
scientist|n. 科学家|They are scientists from the University of Miami.|他们是迈阿密大学的科学家。||【辨析】scientific adj.科学的，与科学有关的；science    n.科学，科学知识
liability|n. 责任；债务；起妨碍作用的人（或物）|The company is reported to have liabilities of about 4 million dollars.|据报道，该公司负债约400万美元。|criminal liability 刑事责任|【辨析】liable         adj.（在法律上）有责任的，有义务的；liberty        n.自由，自由权；accountability n.责任，责任心，可说明性；【谐音】来背了题(liability)"：这是你的义务和责任。；【变形】复数形式：liabilities
highway|n. 公路|They eventually decided to drive on the highway to save time.|他们最终决定开上公路，以节省时间。|highway code 交通法规；business went to pot 生意冷落；be charged with 受控告|【辨析】way     n.方法，手段；railway n.<英>铁路，铁道；【谐音】嗨(hi)路(way)"：跑起来很嗨的路，指高速公路。
virtuous|adj. 品行端正的|He described her as a virtuous and hard-working person.|他把她描述成一个品德高尚、工作勤劳的人。||【辨析】vigorous  adj.精力充沛的，充满活力的；virtual   adj.几乎……的，实质上的；virtue    n.高尚的道德，德行；virus     n.病毒；virtually adv.事实上，几乎；【谐音】为他而死(virtuous)"：为他人牺牲的人，品格高尚。
quota|n. 定额，限额；指标|The government has imposed quotas on the export of tea.|政府已经对茶叶出口实施配额限制。|Production quota 生产配额|【辨析】quote     v.引用，引述；quart     n.夸脱（液体单位，英制中约为1.14升，美制中约为0.95升）；quotation n.引语，引文；【谐音】抠他(quota)"：他很抠，做什么都有一定的限额。
climb|v. 攀登；升高；上升；攀缘生长；n. 攀登；增值，上升|She climbed up the stairs.|她爬上了楼梯。|climb mountains 翻译过来为爬山，但不是中式如爬峨眉山等旅游性的，而是一般有绳索等工具，具有极大困难性，而中式如爬峨眉山之类仅旅游性质的为 hike；to go climbing 去登山； a climbing accident 登山事故； a climbing wall 攀登练习墙|【辨析】club    n.俱乐部，社团；claim   v.声称，断言；comb    n.梳子；lamb    n.羔羊，小羊；climate n.气候；【谐音】客来吗(climb)"：客人来了吗？来了我们就要爬山了。
semester|n. 学期|New students often get registered at the beginning of the fall semester .|新生们通常在秋季学期初报到注册。||【辨析】seminar n.研讨会，培训会
diligent|adj. 勤奋的|After years of diligent research, he finally finished his book.|经过多年的辛苦研究，他终于写完了他的书。||【辨析】diligence   n.勤奋，用功；intelligent adj.聪明的；dignity     n.尊严，自尊；elegant     adj.（人）高雅的，举止优雅的；【谐音】地里枕头(diligent)"：睡觉都在地里，干活很勤奋。
stand|v. 站立；忍受；位于；维持不变；n. 立场；看台；货摊|She was too weak to stand .|她虚弱得站都站不住。|stand by 袖手旁观； stand for 代表，忍受；stand the test of time|【辨析】standard n.（品质的）标准，水平，规范；【变形】过去式：stood；过去分词：stood
lass|n. 年轻女子|He was deeply attracted to a beautiful lass from London.|他被一位来自伦敦的漂亮姑娘深深地吸引住了。||【辨析】mass n.团，块；lad  n.男孩，小伙子；lace n.网眼织物，蕾丝；lest conj.以免，避免；【变形】复数形式：lasses
thin|adj. 薄，细，瘦；adv. 薄薄地；v. （使）变少；（毛发）变稀疏|A number of thin cracks appeared in the wall.|墙上出现了许多细裂缝。|thin out 变稀薄；变淡；煤层薄；稀薄|【辨析】then  adv.（指过去）当时，（指将来）到那时；thick adj.厚的，粗的；trick n.花招，诡计，骗局；【谐音】信(thin)"：我相信我会变瘦。；【变形】比较级：thinner；最高级：thinnest；现在分词：thinning
downstairs|adj. 在楼下的；adv. 往楼下，在楼下；n. 楼下|She cleaned the downstairs rooms for guests.|她为客人打扫了楼下的房间。||【辨析】upstairs adv.往楼上，在楼上
inclination|n. 倾向；趋势；倾斜度；兴趣|She had neither the time nor the inclination to help them.|她既没有时间也不愿意帮助他们。||【辨析】incline v.（使）倾向于；【谐音】因克力内伸(inclination)"：墙克服了支持力，所以向内倾斜。
shall|mod. v. 将要；可以；应该|This time next week I shall be in Scotland.|下周这个时候我就在苏格兰了。||【辨析】shell  n.（蛋、坚果、某些种子和某些动物的）壳；shame  n.羞耻，羞愧；share  v.共享，合用；shape  n.形状，外形；shake  v.摇动，抖动；hall   n.礼堂，大厅；should aux.应该；will   v.将，将要；【谐音】笑(shall)"：他将要笑了。
review|n. 审查；评价；报告；复习；v. 审核；反思；写评论；复习|She wrote a review after watching this movie.|看完这部电影后，她写了一篇评论。|go over 复习，从温|【辨析】revise   v.改变，修正；preview  n.预映，预演，预展；revision n.修改，修订；【谐音】人无忧(review)"：复习回顾后，不用担心考试。
put|v. 放置；将…送往；安装；使…处于；表达|Did you put sugar in my coffee?|你在我的咖啡里放糖了没有？|put on 穿上 put off 使...厌恶，推迟，延迟；put down 记下；put down to 把（某事）归因于|【辨析】set v.放，置；【谐音】破特(put)"：放置破损的特殊物品到指定地方。；【变形】过去式：put；过去分词：put；现在分词：putting
