fraction|n. 少量，小部分|The average income is high, though many people earn just a fraction of that average.|平均收入很高，但是很多人赚的只有平均工资的一小部分。|irrational fraction 假分数|【辨析】friction n.不和，分歧；function n.功能，职责；faction  n.派系，宗派；fracture n.破裂，断裂；section  n.段，部分；portion  n.（某物的）一部分；fragile  adj.易碎的，易损的；fragment n.碎片；【谐音】翻个身(fraction)"：只有小部分人能翻个身。
probable|adj. 很可能的；adj. 大概的|The probable cause of the forest fire was a cigarette end which someone carelessly threw away.|引发森林火灾的可能原因是，有人随意扔了一个烟头。|probable cause 合理依据|【辨析】portable    adj.便携式的，轻便的；probability n.可能性，或然性；properly    adv.正确地，适当地；property    n.所有物，财产；【谐音】破包包(probable)"：破包里很可能没钱。
photography|n. 摄影；n. 照相术|Her hobbies include hiking and photography .|她的业余爱好包括徒步旅行和摄影。||【辨析】photographer n.拍照者，摄影师；【谐音】赴泰国飞(photography)"：去学摄影。
motion|n. 运动；n. 移动；n. 动作；n. 提议|The video is replayed in slow motion .|视频被慢动作回放。|motion picture 电影；motionless adj 静止的，不运动的|【辨析】notion     n.概念，想法；motive     n.动机，目的，原因；mention    v.提到，谈到；emotion    n.情感，情绪；motivation n.动力，诱因；【谐音】谋生(motion)"：谋生必须要做运动。
continental|adj. 大陆的|Tar is widely used to cover road in continental countries.|柏油在大陆国家被广泛用于铺路。|continental cuisine 欧式西餐；Continental Europe 欧洲大陆|【辨析】continent n.洲，大陆；continual adj.多次重复的，频繁的；continue  v.（使）继续，（使）延续；【谐音】肯踢馒头(continental)"：欧洲大陆人富裕，所以敢踢馒头。
prescription|n. 权威推荐；n. 处方药；n. 处方；n. 开药|The doctor gave me a prescription for antibiotics.|医生给我开了抗生素。|fill the prescription 配药；prescription drug 处方药|【辨析】description n.描述，形容，说明；perception  n.看法，认识；prescribe   v.给……开（药），让……采用（疗法）；【谐音】颇死贵颇神(prescription)"：这个药方非常贵，但非常有神效。
essential|adj. 必不可少的；n. 必需品；n. 基本要素；adj. 本质的；adj. 精华的|Increased competition makes it essential for the business to innovate.|日益激烈的竞争使得企业必须创新。|essence n 本质 实质；be essential to 对……而言必不可少；essential oil 香精油，精油|【辨析】substantial adj.大量的，价值巨大的；essence     n.本质，要素；【谐音】医生说(essential)"：医生说的话是极其重要的。
fairy|n. 小精灵，小仙子；phrase. （fairy tale）童话|She used to think there were fairies in her garden.|她曾经以为她的花园里有小精灵。|fairy tale 童话,神话=fairy story|【辨析】fair   adj.公平的；dairy  adj.奶制的，乳品的；fairly adv.相当地，颇；ferry  n.渡船，摆渡；daily  adj.每日的，日常的；diary  n.日记；dirty  adj.肮脏的；【变形】复数形式：fairies
evident|adj. 明显的，清楚的|The growing interest in history is clearly evident in the number of people visiting museums and country houses.|从参观博物馆和乡村宅邸的人数明显看出人们对历史越来越感兴趣。|evident adj 明显的，明白的|【辨析】evidence n.根据，证明；incident n.事件，事故；accident n.交通事故，车祸；【谐音】爱为等他(evident)"：明显因为爱他才等他。
notable|adj. 值得注意的；n. 重要人物；adj. 显著的|He was a notable lawyer.|他是一名著名的律师。||【辨析】noticeable adj.显而易见的，明显的；noble      adj.崇高的，高尚的；notify     v.通报，告知；notion     n.概念，想法；denote     v.标志，预示；【谐音】no table(notable)"：没有桌子是值得注意的。
sheer|adj. 纯粹的，十足的；adj. 陡峭的|The area is under threat from the sheer number of tourists using it.|这一地区由于游客人数太多而面临威胁。|by sheer chance 纯属偶然|【辨析】steer v.驾驶（交通工具），掌方向盘；sheet n.床单，被单；steep adj.（路、山等）陡峭的；【谐音】谁啊(sheer)"：谁能爬上去啊，这么陡峭的山！
gulf|n. 海湾；n. 巨大分歧|The ship sailed through the gulf and headed for the harbour.|船驶过海湾，驶向港口。|Gulf war 海湾战争；gulf of mexico 墨西哥湾|【辨析】golf n.高尔夫球运动；gut  n.肠，肠道；gap  n.缝隙，缺口；【谐音】沟夫(gulf)"：夫妻之间有沟就是隔阂，比喻深深的海湾。
urge|v. 敦促；n. 强烈的欲望，冲动；v. 恳求；v. 鞭策|Police are urging anyone who saw the accident to contact them immediately.|警察正敦促事故目击者立刻与他们联系。|urge against 极力反对；urge on 推进，驱策|【辨析】urgent  adj.紧急的，急迫的；urgency n.紧急，迫切；ugly    adj.丑陋的，难看的；emerge  v.浮现，出现；【谐音】呃急(urge)"：催促或强烈欲望让人发出"呃"的声音，很急。；【变形】现在分词：urging
correspond|v. 相符，一致；v. 相当；v. 通信|Your account of events does not correspond with hers.|你对事情的陈述与她说的不相符。|correspond with 与。。。一致|【辨析】correspondent  n.记者，通讯员；corresponding  adj.相应的，相关的；correspondence n.信件，信函；respond        v.（口头或书面）回答，回应；response       n.反应，响应；【谐音】烤肉棒(correspond)"：符合我的口味。
naturally|adv. 自然而然地；adv. 天然地；adv. 本能地|My hair is not permed and it curls naturally .|我的头发生来就是卷的，不是烫的。|naturally wake up 自然醒；take medicine 服用药物|【辨析】natural adj.天然的，非人为的；nature  n.大自然，自然界；neutral adj.中立的，不偏不倚的
venture|n. 风险项目，事业；v. 冒险去做；n. 冒险活动|It's important to plan carefully before venturing on a long journey alone.|在冒险一个人长途旅行之前，谨慎规划是很重要的。|venture to do sth 敢于做 joint venture 合资企业|【辨析】adventure  n.冒险（经历），奇遇；virtue     n.高尚的道德，德行；veteran    n.老兵，退伍军人；adventurer n.冒险家；【谐音】吻车(venture)"：追尾事故，冒险行为。；【变形】现在分词：venturing
dose|n. 一剂；n. 一份，一次，一点|The doctor told her not to exceed the recommended dose of painkillers.|医生告诉她服用止痛药不要超过推荐剂量。|a dose of 一剂（药)；a dose of medicine 一剂药|【辨析】hose   n.软管，水龙带；doze   v.小睡，打盹；dome   n.穹顶，圆屋顶；dosage n.剂量，用量
adapt|v. （使）适应；v. 改编|These styles can be adapted to suit individual tastes.|这些式样可以修改，以适应个人不同爱好。|adapte for 改编成|【辨析】adopt    v.收养；adaptive adj.适应的，有适应能力的；adjust   v.调整，调节；【谐音】啊打不疼(adapt)"：打不疼了，说明已经适应了。
toss|v. 扔，抛；n. 掷硬币决定；n. 投掷；v. 掷硬币决定|We tossed a coin to decide who would go first.|我们抛硬币来决定谁先去。|toss and turn 辗转难眠；toss aside 扔弃，搁置不管；toss off 轻易完成，一饮而尽；toss out 扔出|【辨析】loss  n.失去，丧失；toe   n.（人的）脚趾，（兽、鸟的）趾；tow   v.拖，牵引（车、船等）；gross adj.总的，毛的；toll  n.（道路、桥梁等的）通行费；【谐音】投石(toss)"：投掷石头，石头会震荡和旋转。
collapse|n. 倒塌；n. 崩溃；v. 突然下跌；v. 崩溃；v. 昏倒；n. 突然倒闭；n. 昏倒；v. 突然失败|A bridge collapsed last week because of the flood.|因为洪水的缘故，一座桥在上周塌了。|fishery collapse 渔业崩溃；mortgage firms collapse 抵押公司的倒闭；collision collide 撞|【辨析】college     n.大学，专科学校；colleague   n.同事，同僚；collision   n.碰撞，相撞；collaborate v.合作，协作；【谐音】咔啦扑哧(collapse)"：一声巨响，房屋倒塌了！；【变形】现在分词：collapsing
element|n. 要素；n. 元素；n. 少量；n. 恶劣天气|Cost is a main element in our decision.|成本是我们做决定的主要因素。|an element of 一点点 少许；the elements 天气（一定是复数形式） 翻译：尽管天气很坏，足球比赛还是按计划进行。The football match went on as scheduled even though the elements were against it.；unique element 唯一的元素；in one's element 在行 擅长 处于适宜的环境 很适应，得其所|【辨析】elegant    adj.（人）高雅的，举止优雅的；elementary adj.简单的，基本的；elephant   n.象；elegance   n.优雅，雅致；election   n.选举；electric   adj.电的；【谐音】饿了么(element)"：是大学生活的重要成分。
shed|v. 流（泪、血）；v. 去除；phrase. （shed light on）阐明；启发；v. 蜕皮，落叶；n. 棚，简易房；n. 厂房；v. 使落下|He kept his lawnmower in the garden shed .|他把割草机放在了园艺棚里。|shed light on sth 使清楚地显示；解释，阐明|【辨析】shade   n.背阴处，阴凉处；shred   n.（撕或切的）细条，碎片；shore   n.（海、湖或大河的）滨，岸；shield  n.盾（牌）；shrewd  adj.（人）精明的，机敏的；herd    n.兽群，畜群；shelter n.居所，住处；herb    n.药草，香草；【谐音】晒得(shed)"：阳光太强，棚子被晒得脱落了。；【变形】过去式：shed；过去分词：shed；现在分词：shedding
crane|n. 起重机，吊车；n. 鹤；v. 探头看，伸脖子看|He craned his neck above the crowd to look for his son.|他把头探出人群，寻找他的儿子。|Yellow Crane Tower 黄鹤楼|【辨析】crack v.破裂，裂开；cane  n.茎；canoe n.独木舟，小划子；【谐音】可运(crane)"：起重机可以运东西。
striking|adj. 引人注目的，显著的|The chair has a striking feature.|这把椅子特征很显著。|striking gossip 惊天八卦；striking character 性格鲜明；striking resemblance 酷似|【辨析】strike v.打，撞；string n.线，细绳；strain n.焦虑，紧张；stride n.大步，阔步；stripe n.条纹，线条；strict adj.要求严格的，严厉的；stroke n.中风；strive v.努力，力争；strip  v.除去，撕掉（外皮或表层）；stick  v.粘，贴
hospitality|n. 好客，殷勤|In response to their hospitality , we wrote a thank-you note.|为回报他们的热情, 我们写了一封感谢信。|corporate hospitality 企业联谊|【辨析】hostility  n.敌意，对抗；hospital   n.医院；hospitable adj.好客的，热情友好的；【谐音】好事必他来提(hospitality)"：他是个好客的人，总是主动款待他人，表现得很殷勤。
regulate|v. 管理；v. 调节|This system can regulate the temperature of the room.|这种系统能调节室内温度。|regulationg n 规章，制度；管理，控制|【辨析】regulator  n.（某行业的）监管者，监管机构；regular    adj.恒定的，规则的（尤指间隔相同）；regulation n.规章制度，规则；regulatory adj.管理的，控制的，监管的；【谐音】瑞哥(re)迟到(gulate)"：瑞哥迟到就要接受管制，时间就要调整。；【变形】现在分词：regulating
fulfil|v. 满足；v. 履行；v. 完成；v. 实践|Being admitted into Peking University fulfilled my childhood dream.|我被北大录取，实现了儿时的梦想。|fulfilment n 履行，实现，成就；fulfill the task 完成任务|【辨析】fulfill     vt.履行；futile      adj.徒劳的，无用的；fulfillment n.履行；【谐音】付费呦(fulfil)"：按规定履行、实行，满足要求。；【变形】过去式：fulfilled；过去分词：fullfilled；现在分词：fulfilling
appreciate|v. 感激；v. 欣赏；v. 理解|His talents are not fully appreciated in that company.|他的才干在那家公司未受到充分赏识。|appreciate doing 欣赏做|【辨析】appropriate adj.合适的，相称的；appetite    n.食欲，胃口；application n.正式申请，书面申请；【谐音】阿婆喜爱她(appreciate)"：阿婆欣赏和喜爱她。；【变形】现在分词：appreciating
observation|n. 观察所得；n. 观察；n. 评论|In hospital she'll be under observation all the time.|医院会对她24小时密切观察。|escape observation 未引起注意|【辨析】observant adj.善于观察的，观察力敏锐的；observe   v.注意到，观察到；【谐音】偶不知为甚(observation)"：我不知为什么要观察我。
minor|adj. 较小的，轻微的，次要的；n. 未成年人；n. 辅修科目；v. 辅修|He suffered only minor injuries.|他只受了点轻伤。|major in 主修|【辨析】major    adj.重大的，主要的；minus    prep.减，减去；mirror   n.镜子；minority n.少数，少数派；monitor  n.显示器，监控器；manner   n.态度，举止；senior   adj.年龄大些的；junior   adj.年龄较小的；minimum  adj.最小的，最低限度的
spatial|adj. 空间的|The task is designed to test spatial awareness of kids.|该任务的设计目的是测试儿童的空间意识。|spatial distribution 空间分布|【辨析】spiral   n.螺旋形，螺旋形之物；spacious adj.（房间或建筑物）宽敞的；spade    n.锹，铲；【谐音】死背书(spatial)"：脑子里缺乏空间概念，只好死记硬背了。
bundle|n. 捆，包，扎；n. 一批；v. 捆绑；n. 一大笔钱|I received a bundle of letters last month.|我上个月收到了一沓来信。|make a bundle 赚大钱；a bundle of 一捆|【辨析】huddle v.蜷缩，依偎；bind   v.捆绑，系；bunch  n.束，串，扎；【谐音】绑的(bundle)"：绑着的样子，表示捆、束、包。
rural|adj. 乡村的|These plants are more common in rural areas.|这些植物在乡村地区更常见。||【辨析】royal  adj.国王的，女王的，王室的；moral  adj.有关道德的；oral   adj.口头的，口述的；urban  adj.城市的，城镇的；verbal adj.口头的，非书面的；【谐音】乳肉(rural)"：乡村产牛乳和牛肉。
combat|v. 与…战斗；n. 搏斗；n. 战斗|The soldiers were preparing for combat .|士兵们在为战斗做准备。||【辨析】compact    adj.小型的，袖珍的；combative  adj.好战的，好争论的；bat        n.球棒，球拍；compatible adj.兼容的；【变形】过去式：combated/combatted；过去分词：combated/combatted
rare|adj. 稀有的；adj. 珍贵的；adj. 半熟的|The patient suffers from a rare disease.|该病人患了一种罕见的疾病。|rare steak 嫩牛排|【辨析】race   n.赛跑，速度竞赛；rate   n.速度，速率；care   n.照料，护理；bare   adj.赤裸的；rarely adv.罕有，很少；rear   n.（尤指建筑物或车辆等的）后部，背部（the rear）；real   adj.实际存在的，非想象的；mere   adj.仅仅，只不过；barely adv.勉强才能；【谐音】蕊儿(rare)"：这种花的蕊儿真是稀少的，珍奇的。；【变形】比较级：rarer；最高级：rarest
width|n. 宽度；n. 宽阔|The football pitch is 68 meters in width and 105 meters in length.|这片足球场宽68米，长105米。|wide awake 完全清醒，一点没睡；wide of 偏离。。的|【辨析】depth n.深度，纵深；【谐音】位子(width)"：座位要够宽，指的是宽度。
couch|n. 长沙发；n. 诊察台|He is sleeping on the couch .|他在长沙发上睡觉。|couch potato 沙发土豆|【辨析】crouch v.蹲下，蹲伏；clutch v.紧握，紧抓；【谐音】靠吃(couch)"：靠在沙发上吃；口吃，表达有问题。；【变形】复数形式：couches
dismiss|v. 不予考虑；v. 把…打发走；v. 开除|She was dismissed as a dreamer.|人们认为她是个空想家而不予理睬。|dismiss as 认为…而辞退：；认为…而不予考虑：；be dismissed from 开除，解雇|【辨析】mission n.（尤指赴他国的）使命，重要任务；【谐音】的士迷失(dismiss)"：这个司机不会开车，所以要解雇。
frank|adj. 坦白的，直率的|The CEO was frank about the current situation of his company.|CEO很坦诚地谈及了公司的现状。|frankly speaking 坦白地说；to be frank 坦白说|【辨析】rank  n.军衔，军阶；blank adj.空白的，空的；fake  adj.伪造的，冒充的；【谐音】弗兰克(frank)"：一个坦率真诚的人。
pose|v. 构成威胁；v. 提问；v. 摆姿势；n. 姿势；v. 假扮|The task poses no special problems.|这项任务不会造成特别的问题。|stop posing 别装蒜； pose a question 提出问题； pose a threat 进行威胁；pose a question 提出问题|【辨析】post    n.<英>邮政，邮递；prose   n.散文，白话文；poet    n.诗人；expose  v.暴露，使显露；impose  v.强制推行，强制实行；oppose  v.反抗，阻碍；propose v.提议，建议；dispose v.处理，放置，安排；compose v.组成，构成；posture n.（坐或立的）姿势；【谐音】摆pose(pose)"：拍照时摆姿势。；【变形】现在分词：posing
inspire|v. 激励；v. 唤起；v. 导致|The actors inspired the kids with their enthusiasm.|演员热情地鼓舞着孩子们。||【辨析】despite     prep.尽管，即使；inspiration n.灵感；despair     n.绝望；spirit      n.精神，心灵；【谐音】因失败而(inspire)"：因失败而受到鼓舞和激励。；【变形】现在分词：inspiring
feasible|adj. 可行的；adj. 容易办得到的|It is a feasible plan to stimulate investment in the service sector in East China.|刺激中国东部服务业投资的计划是可行的。|feasible program 可行方案|【辨析】flexible    adj.灵活的；plausible   adj.似乎是真的，貌似有理的；credible    adj.可信的，可靠的；feeble      adj.衰弱的，虚弱的；feasibility n.可行性，可能性；viable      adj.可望成功的，切实可行的；【谐音】飞着跑(feasible)"：这个想法是可行的。
wealthy|adj. 富有的|Many wealthy businessmen donate money to political parties.|很多富商会捐钱给政党。||【辨析】wealth  n.财富；healthy adj.健康的，健壮的；health  n.身体状况；worthy  adj.值得尊敬的，值得注意的，值得敬仰的；【谐音】哇噻(wealthy)"：看到他的财富忍不住惊呼，他真有钱！；【变形】比较级：wealthier；最高级：wealthiest
vital|adj. 至关重要的；adj. 维持生命必须的；adj. 生气勃勃的|The police play a vital role in our society.|警察在我们的社会中起着极其重要的作用。|It is vital to 重要的；vital issue 至关重要的问题|【辨析】vitality n.活力，热情；virtual  adj.几乎……的，实质上的；vitamin  n.维生素，维他命；virtue   n.高尚的道德，德行；virus    n.病毒；critical adj.批判的，爱挑剔的
residential|adj. 住宅的|Many local residents are opposed to locating the chemicals factory in a residential area.|当地的许多居民反对将化工厂建在居民住宅区。||【辨析】resident  n.居民，住户；residence n.住宅，住所；reside    v.<正式>居住，定居；【谐音】瑞滋胆小(residential)"：胆小不敢独自待在住宅区。
explosion|n. 爆炸（声）；n. 激增|Five people were injured in a bomb explosion .|有五人在这次炸弹爆炸中受伤。|a population of explosion 人口剧增|【辨析】explosive   adj.易爆的，可能引起爆炸的；explain     v.解释，说明；exploit     v.剥削，压榨；exploration n.勘探，勘察；explode     v.（使）爆炸，（使）爆破；explore     v.探讨，探究；exposure    n.暴露，接触；expose      v.暴露，使显露；exhibition  n.展览，展出；【谐音】一开始(ex)不留神(plosion)"：一不留神就爆炸了。
devil|n. 魔鬼；n. 淘气鬼|He believed a devil had taken control of his body.|他认为自己被邪魔附身了。|be the devil 极度困难；a devil of a 讨厌…的，异常的…，非常恼人(或糟糕)的；有趣的；极麻烦的；Speaking of the devil 一说曹操，曹操就到；devil and angel 恶魔与天使|【辨析】evil adj.恶毒的，邪恶的；veil n.面纱，面罩
adopt|v. 采纳；v. 收养；v. 正式批准|There is a campaign to encourage childless couples to adopt a baby.|有鼓励无子女夫妇领养孩子的活动。|adapt to 适应|【辨析】adapt v.适应
raw|adj. 未加工的；adj. 生的；adj. 强烈的；adj. 第一手的|Consuming raw meat can be dangerous because it harbors illness-causing bacteria.|吃生肉可能会很危险因为其中含有致病的细菌。|raw materials 原料，原材料；raw meat 生肉 牛排点用的术语，用中文表述是几分熟，而用英文表述则是以下术语： Raw 几乎生的(但绝不会是全生的,而是外熟内温) Rare 三分熟 表明渗有暗红色血水 Medium-rare 三至四分熟 Medium 五分熟 渗有淡红色血水 Medium-well 七至八分熟 渗有粉红色血水 Well-done 全熟 渗有透明色的汁液；raw material 原材料|【辨析】row   n.一排，一行；jaw   n.颌，颚；saw   n.锯；paw   n.（动物的）爪子；law   n.法律（体系）；draw  v.画，绘画；straw n.（干燥的）麦秆，稻草；sew   v.缝，缝纫，缝补；sow   v.播种，种；ripe  adj.（水果、谷物等）成熟的；【谐音】肉(raw)"：指生的、未经加工的。
nonsense|n. 毫无意义的话；n. 愚蠢的行为|The report was complete nonsense so people didn't pay attention to it.|这篇报道完全就是在胡说八道，所以人们也没太关注。|talk nonsense 胡说八道|【辨析】sense    n.感觉官能（即视、听、嗅、味、触五觉）；nuisance n.麻烦事，讨厌的人（或事物、情况）；sensible adj.理智的，合理的；【谐音】no生事(nonsense)"：不要胡说八道胡闹！
possess|v. 具有，持有；v. 控制|He was charged with possessing a shotgun without a licence.|他被控无照拥有猎枪。|be possessed of sth 具有（某品质）；be possessed by 被...附身|【辨析】possession n.<正式> 拥有，持有；assess     v.评价，评定；process    n.步骤，程序；progress   n.进步，进展
studio|n. 工作室；n. 演播室；n. 单间公寓；n. 录音室|He is working in his photographic studio .|他正在他的摄影室工作。|photographic studio 摄影室|【辨析】audio adj.声音的，音频的；radio n.收音机；【谐音】死丢迪奥(studio)"：进录音室前要把化妆品丢掉。
thrive|v. 茁壮成长；v. 繁荣|New companies thrive in this area.|这一地区涌现了很多新公司。||【辨析】strive v.努力，力争；theft  n.偷窃，盗窃；prime  adj.主要的，首要的；【谐音】是来福(thrive)"：善良的人有福气，家庭兴旺，事业繁荣。；【变形】过去式：thrived/throve；过去分词：thrived/thriven；现在分词：thriving
consult|v. 请教，咨询；v. 查阅|Have you consulted your lawyer about this?|你就此事咨询过你的律师吗？|consult dictionary 查阅字典；consult a doctor 看医生；consult with 请教，与…商量；consult with my pillow 好好考虑一下|【辨析】consultant   n.顾问；insult       v.侮辱，冒犯；counsel      n.忠告，建议；consultation n.商讨，磋商，磋商会议；result       n.结果，后果
lodge|n. 乡间屋舍；v. 租房，住宿；v. 把…嵌入；n. 传达室|The hunters stayed in a remote hunting lodge deep in the forest.|猎人们住在深入森林的偏远狩猎小屋里。|lodge a complaint 提意见；lodge at 寄住在...；lodge in 占据，住进|【辨析】logic  n.逻辑，（做某事的）道理；wedge  n.楔子，三角木；hedge  n.树篱；lounge n.（机场等的）等候室；【谐音】落脚(lodge)"：临时寄宿的地方。；【变形】现在分词：lodging
immigrant|n. 移民，侨民|There is a rise in the number of immigrants coming from Asia.|来自亚洲的移民数量有所上升。||【辨析】immigrate   v.（从外地）移居，移民；migrant     n.（为工作）移居者，移民；immigration n.移民（入境）；migrate     v.（候鸟或动物）迁徙；【谐音】移民(immi) 同意(grant)"：被同意移民的人就成了移民。
symptom|n. 症状；n. 征兆|Fever is a symptom of many illnesses.|发烧是许多疾病的征兆。||【辨析】symphony n.交响乐；sympathy n.同情（心），理解；symbol   n.象征，标志；system   n.（协同工作的）系统；【谐音】心扑通(symptom)"：心脏突然扑通一声，可能是疾病的征兆。
proportion|n. 比例；n. 部分，份额|The proportion of female workers in this company has risen to 47%.|这家公司的女性员工所占比例已升至47%。|in proportion to 与……成比例，与……相称；in proprotion to 与……成比例；keep sth in proportion 恰当地处事，看待事物恰如其分 ；out of （all）proportion（to sth）不相称，不协调|【辨析】proportional adj.成比例的；portion      n.（某物的）一部分；proposition  n.主张，观点；property     n.所有物，财产；preposition  n.介词，前置词；proper       adj.真正的，像样的
