eventual|adj. 最后的，最终的|It is impossible to predict what the eventual outcome will be.|无法预测最终结果。||【辨析】eventful   adj.充满大事的，多变故的；eventually adv.最终，结果；event      n.事件，大事；【谐音】一碗酒(eventual)"：最终的一碗酒。
insure|v. 投保；承保|Luckily he had insured himself against long-term illness.|幸运的是，他为自己投保了长期病险。||【辨析】ensure    v.确保，保证；assure    v.使确信，向……保证；insurance n.保险；secure    adj.稳固的，可靠的；【谐音】人寿(insure)"：人寿保险。；【变形】现在分词：insuring
devise|v. 设计，发明，想出|The team's task is to devise a method to improve efficiency and reduce costs.|这个团队的任务是构想出增效减支的方法。||【辨析】device  n.装置，设备；revise  v.改变，修正；deceive v.欺骗，蒙骗；diverse adj.不同的，各式各样的；divorce n.离婚；【谐音】得外资(devise)"：国内技术不够，用外资来设计发明。；【变形】现在分词：devising
night|n. 晚上，夜晚|These animals only come out at night .|这些动物只在夜晚出来。||【辨析】light n.光，光线；right adj.符合道德的，正当的；ought v.应该（表义务、责任、必要等）
noisy|adj. 吵闹的|The club was so noisy that I didn't hear what he said.|俱乐部太吵了，我没听见他说什么。||【辨析】noise n.噪音，嘈杂声；nosy  adj.好管闲事的，爱打听的；annoy v.使恼怒，使烦恼；【谐音】挪椅子(noisy)"：挪椅子会发出噪音，形容吵闹的。；【变形】比较级：noisier；最高级：noisiest
deck|n. 甲板，层面；木制平台|Let's go up on deck for some fresh air.|我们一起去甲板上呼吸一下新鲜空气吧。||【辨析】dock n.码头，船埠，船坞；dusk n.黄昏，傍晚；dust n.沙尘；【谐音】带壳(deck)"：船带的壳，就是甲板。
pregnant|adj. 怀孕的|I was pregnant with our third child at the time.|当时我正怀着我们的第三个孩子。|pregnant time 重要时刻；pregnant n 含蓄的,意味深长的 预示 的前景 ,孕育着``的|【辨析】pregnancy n.怀孕（期），妊娠（期）；fragrant  adj.芳香的；permanent adj.永久的，永恒的；reluctant adj.勉强的，不情愿的
kitchen|n. 厨房|We ate at the kitchen table.|我们在厨房里的桌子上吃饭。|kitchen knife 菜刀；kitchen gadget 厨房用具|【辨析】chicken n.鸡；【谐音】磕碜(kitchen)"：厨房里什么都没有，太寒酸了。
lead|v. 带路；通往；导致；过（某种生活）；处于领先地位；领导；n. 铅；领先地位；榜样；线索|The events led to the start of the War.|这些事件导致了战争的开始。|follow one's lead 以...作为榜样；lead to 导致，通向；in the lead 领先的地位；占先的位置 ②lead story （报纸或电视、电台的）要闻，头条|【辨析】leader  n.领导者，首领；leading adj.主要的，最重要的；【谐音】立的(lead)"：领导讲话的时候都是立着的。；【变形】过去式：led；过去分词：led
although|conj. 虽然，尽管；然而|Although the sun was shining it wasn't very warm.|尽管太阳高照，却不很暖和。|polar bear 北极熊|【辨析】though     conj.虽然，尽管；through    prep.穿过，从一端到另一端；thorough   adj.彻底的，全面的；tough      adj.（物质，物体）坚韧的，坚固的；altogether adv.完全地；thought    n.想法，看法，主意；【谐音】鹅肉(although)"：虽然没有鸭肉好吃，但有得吃就不错了。
terrify|v. 使害怕|The idea of bungee jumping terrifies me.|蹦极的想法让我胆战心惊。||【辨析】terribly  adv.很，非常；terrific  adj.极好的，了不起的；territory n.领土，版图，领地；terrible  adj.糟糕的，令人极为不快的；terror    n.惊恐，恐惧；verify    v.核实，查证；【谐音】他若罚(terrify)"：他的惩罚很恐怖。；【变形】过去式：terrified；过去分词：terrified
resent|v. 愤恨，憎恶|I deeply resented her criticism.|我对她的批评感到非常气愤。||【辨析】resentment n.愤恨，怨恨；dissent    v.持异议，不同意；consent    n.许可，允许；residence  n.住宅，住所；【谐音】瑞憎他(resent)"：憎恨、怨恨。
star|n. 恒星；星状物；明星；主角；v. 担任主角|Hundreds of stars were shining overhead.|成百上千颗星星在头顶闪烁。|the star player 主力|【辨析】start v.开始（做某事）；stare v.凝视，盯着看；stay  v.停留，逗留；stir  v.搅拌，搅和（液体等物质）；【谐音】是大(star)"：恒星确实很大！；【变形】过去式：starred；过去分词：starred；现在分词：starring
objective|n. 目标，目的；adj. 客观（存在）的|We have succeeded in our main objectives .|我们已经成功地达到了主要目标。|ultimate objective 终极目标；accomplish it's objective 达成目的|【辨析】objection  n.反对的理由；adjective  n.形容词；object     n.物体，实物；subjective adj.出自（或涉及）个人感情的，个人的
firstly|adv. 首先|Firstly , I will introduce this method to all of you.|首先，我将把这个方法介绍给大家。|give sb a hand 给予（某人）帮助;
yourselves|pron. 你们自己|The most important thing is that you must learn how to protect yourselves .|最重要的是你们必须学会如何保护你们自己。||【辨析】ourselves  pron.我们自己；yourself   pron.你自己；themselves pron.他们自己
drunk|adj. 醉酒的；陶醉的；n. 醉汉，酗酒者|His only way of dealing with his problems was to go out and get drunk .|他解决烦心事的唯一办法就是出去喝个烂醉。||【辨析】trunk n.树干；junk  n.废旧杂物；truck n.卡车，载重汽车；【谐音】撞磕(drunk)"：喝醉的人容易撞到东西。(drink的过去分词)
bath|n. 洗澡；浴缸；洗澡水；v. 给…洗澡|She had a long soak in a hot bath .|她洗了一次长时间的热水浴。|bathing suit 游泳衣；bath n 洗澡 ，洗澡水fangzai洗澡盆，doufangzai浴室，财政亏损。|【辨析】bathe    v.洗澡，给（某人）洗澡；both     det.双方，两者；path     n.小径，小道；birth    n.出生，诞生；bathroom n.浴室，盥洗室；【谐音】84(bath)"：用消毒液清洁，就像洗澡一样彻底。
shirt|n. 衬衫|Every employee in this company is required to wear a shirt and tie.|这家公司的所有员工都要穿衬衫打领带。|lose one's shirt 失去一切；keep one's shirt on 保持冷静；keep your shirt on 保持耐心，请保持你的耐心。the plane didn't land for another hour,so keep your shirt on|【辨析】skirt  n.女裙，半身裙；short  adj.短暂的，短期的；shift  v.（使）移动，（使）转移；suit   n.套装，西装；shorts n.短裤
briefcase|n. 公文包|He has bought a new briefcase to carry his documents.|他买了一个新的公文包来装他的文件。||【辨析】brief adj.短暂的；【谐音】不瑞福(briefcase)"：这个牌子的公文包不太吉利。
uneasy|adj. 忧虑的，令人不安的|She had an uneasy feeling that something terrible was going to happen.|她感到不安好像有什么糟糕的事会发生。|be uneasy with 对······不自在；uneasy about 担忧；take it easy 别紧张|【辨析】ease n.容易；【谐音】不易(uneasy)"：不容易的事情让人感到不安和忧虑。；【变形】比较级：uneasier；最高级：uneasiest
dog|n. 狗|I took the dog for a walk.|我遛狗去了。|lead a dog's life 过着悲惨的日子；top dogs 夺魁者|【辨析】dogged adj.顽强的，坚持不懈的；【谐音】大(do)狗(g)"：一只大狗缠着人。
smog|n. 雾霾，烟雾|The policy are aimed at reducing smog caused by the traffic.|这一政策旨在降低交通造成的烟雾（污染）。||【辨析】mug   n.大杯，马克杯；fog   n.雾；steam n.蒸汽，水蒸气；【谐音】斯摩格(smog)"：海贼王中的烟雾果实能力者，代表烟雾。
everything|pron. 一切，每件事|Earning money means everything to some people.|对一些人而言，挣钱就意味着一切。||【辨析】everyone   pron.每个人；everywhere adv.到处；anything   pron.任何事物 （用于含有否定意义的陈述句中）；every      det.每个，每一；everyday   adj.日常的，每天的；everybody  pron.每个人，人人；【谐音】爱未C应(everything)"：每个(every)事物(thing)。
knot|n. （木头的）节疤；结；（速度计量单位）节；v. 打结；缠结|It's often easier to tie a knot than to untie it.|打结常常比解结容易。|a knot of 一群；China knot 中国结|【辨析】knit v.编织，针织；knob n.球形把手；kit  n.成套工具，成套设备；【谐音】闹他(knot)"：在他手上打个结，他就闹起来了。
seventy|num. 七十|This museum was built seventy years ago.|这座博物馆建于七十年前。||【辨析】seven     num.七个，七；seventh   num.第七；seventeen n.十七，十七个；several   adj.不同的，各自的；【谐音】赛文踢(seventy)"：赛文踢了七十下。；【变形】复数形式：seventies
eighteen|num. 十八|He has been employed by this company for eighteen years.|他在这家公司工作了18年。|age of majority 成年|【辨析】eight  num.八；eighty n.八十；night  n.夜间，夜晚；light  n.光，光线；【谐音】A听(eighteen)"：18岁的耳朵很灵。
knotty|adj. 缠绕在一起的；复杂的，棘手的|He was stumped by knotty problems and didn't know what to do.|他被棘手的问题难住了，不知道该怎么办。|knotty problem 难解决的问题|【辨析】knot n.（用绳索等打的）结，绞成乱团的头发（线等）；【谐音】不提(knot)"：不要再提了，这个问题太棘手难解决。；【变形】比较级：knottier；最高级：knottiest
corruption|n. 贪污，腐败|That officer was accused of bribery and corruption .|那位官员被指控受贿和腐败。|moral corruption 道德的沦丧|【辨析】corrupt      adj.腐败的，贪污的；eruption     n.喷发；corrosion    n.腐蚀，侵蚀；interruption n.打断，插嘴；disruption   n.扰乱，中断；occupation   n.工作，职业；corrode      v.损害，破坏
goodbye|int. 再见|I just have to say goodbye to the guest.|我得跟客人道别。|so long 再见！|【辨析】bye int.再见；【谐音】顾得拜(goodbye)"：告别时的问候语。
visit|n. 参观，游览；（网站）访问；v. 拜访，参观；逗留；访问（网站）|The Prime Minister is visiting Japan at the moment.|首相目前正在访问日本。|to visit 看望 出访；visiting at 在某处逗留；visiting in 在某地参观；Visiting time 探望时间；visit in 在某地参观|【辨析】visitor n.访问者，参观者；visa    n.签证；vision  n.幻想，想象；vivid   adj.生动的，逼真的；visual  adj.视觉的，视力的；view    n.观点，看法；invite  v.邀请，约请；【谐音】围着他(visit)"：围着某人进行访问或参观。
vegetable|n. 蔬菜|The doctor asked me to eat more fresh fruit and vegetables .|医生让我多吃新鲜的水果和蔬菜。|vegetable garden 园圃，菜畦|【谐音】喂鸡特饱(vegetable)"：用蔬菜喂鸡，鸡吃得特别饱。
enter|v. 进入；加入；输入|Someone entered the room behind me.|有人跟着我进了屋。|enter into 入,挤入；动手,开始(谈话等)；参加,参与(计划等)；缔结(协约等)；讨论(细节)；着手处理；考虑;体会;体谅,同情|【辨析】entry    n.进入，加入；entire   adj.全部的，整个的；entrance n.入口，进口；【谐音】按它(enter)"：一按它就能进入。
balcony|n. 阳台；（剧院的）楼座|We had a room with a balcony overlooking the sea.|我们有间带阳台的房间，从那里可以俯瞰大海。|balcony balcony 阳台|【辨析】bacon    n.培根，烟熏咸肉片；colony   n.殖民地；bachelor n.未婚男子，单身汉；【谐音】包括你(balcony)"：阳台属于所有人，包括你。；【变形】复数形式：balconies
memorial|n. 纪念碑，纪念物；adj. 纪念的|A memorial to victims of the Holocaust was erected in the city square.|城市广场上竖立着一座大屠杀遇难者的纪念碑。|memorial service 悼念仪式；memorial ceremony 悼念仪式|【辨析】memory   n.记忆力，记性；memorize v.记住，熟记；memo     n.备忘录；【谐音】买马里奥(memorial)"：用来纪念童年的游戏。
medical|adj. 医疗的；疾病的|The doctor asked about her medical history.|医生询问了她的病史。||【辨析】medicine n.药物，药剂；media    n.新闻媒体，传媒（medium的复数形式）；medium   n.媒介，媒体；【谐音】麦迪抠(medical)"：麦迪很吝啬，连妈妈的医疗费都不愿意支付。
intimacy|n. 亲密，关系密切|It is necessary to establish a close sense of intimacy between parent and child.|在父母和孩子之间建立亲密的关系是必要的。|into merci 进入了才亲密|【辨析】intimate   adj.亲密的；intimidate v.恫吓，威胁
thousand|num. 千；pron. 成千上万|There were thousands of people there.|那里有成千上万的人。|thousands of 成千上万；no less than 多达|【谐音】少省的(thousand)"：少省了1000块钱。
darling|n. 亲爱之人；adj. 心爱的，迷人的|You look so beautiful in this dress, darling . he said gently.|“你穿这件裙子真漂亮，亲爱的，”他温柔地说。||【谐音】达令(darling)"：你真的好亲爱的。
machinery|n. 机器，机械|The wide use of industrial machinery is one of the characteristics of modernized production.|工业机械的广泛使用是现代化生产的特征之一。|industrial machinery 工业机械；machine n 机器|【辨析】chimney   n.烟囱，烟道；mechanize v.使机械化，用机械装备；【谐音】马其内(machinery)"：工厂里的机器设备。
brilliance|n. 才华，聪慧；光辉|The woman writer's first novel showed signs of brilliance .|这名女作家的第一部小说显示出了她的才气。||【辨析】brilliant   adj.巧妙的，使人印象深的；billionaire n.亿万富翁；billion     num.十亿
headmistress|n. 女校长|I learnt a lot of management skills from the headmistress of my junior high school.|我从初中的女校长那里学到了很多管理技能。||【辨析】mistress   n.情妇；headmaster n.校长；【变形】复数形式：headmistresses
momentary|adj. 短暂的，短促的，片刻的|Her feeling of fear was only momentary .|她的恐惧感仅是瞬息间的。||【辨析】monetary  adj.货币的，金融的；momentum  n.冲力，推力；momentous adj.重大的，重要的；temporary adj.暂时的，临时的
poor|adj. 贫穷的；不幸的；（身体）衰弱的；不擅长的；劣质的；n. 穷人|They were too poor to buy shoes for the kids.|他们穷得没钱给孩子买鞋穿。|a pour spirit 谦卑的灵魂。；be in poor health 身体不好 ；健康不佳 ；身体虚弱|【辨析】pour v.倾倒，倒出；pool n.游泳池；pole n.杆，柱；pond n.（人工或自然的）池塘；fool n.傻瓜，笨蛋；pull v.（用手）拉，拽；【谐音】破儿(poor)"：只剩下一堆破烂了，所以很贫穷。；【变形】比较级：poorer；最高级：poorest
kiss|n. 吻；v. 亲吻；轻拂|Do people in Britain kiss when they meet?|英国人见面时亲吻吗？|kiss-off - 解雇；kiss up to 讨好；拍马屁；kiss off 不在乎, [俚]拒绝 ,(无理地)开除 ,解雇，躲避， 逃避;杀死;走开, 离去，放弃；kiss something goodbye 或者kiss goodbye to something不舍地告别、[INFORMAL]|【辨析】miss  v.未击中，未抓住；issue n.议题，争论点
forever|adv. 永远地；长久地；没完没了地|I'll love you forever !|我永远爱你！|taken forever 要花很长时间|【辨析】fever   n.发烧，发热；ever    adv.曾经，从来，在任何时候；forest  n.森林，林区；forgive v.原谅，宽恕；forget  v.忘记，遗忘；never   adv.决不，永不
asset|n. 有价值的人（或物）；资产|His outstanding managerial talents are invaluable assets to his company.|他出色的管理才能是公司的一份无比珍贵的财富。|intangible asset 无形资产；assets and liabilities 资产与负债；an intangible asset 无形资产； fixed asset 固定资产； Financial asset 金融资产；the fixed asset 固定资产；bubble scheme 空头计划|【辨析】assert v.坚称，断言；assess v.评价，评定；assist v.帮助，协助；arrest v.逮捕，拘留；【谐音】爱死它(asset)"：形容财产和有价值的东西。as(加强) + set(放置)，表示不断置办的财产或有用的事物。
royalty|n. 王室成员；版税|The group of people were treated like royalty .|这群人受到了皇室一般的礼遇。||【辨析】loyalty n.忠诚，忠贞；royal   adj.国王的，女王的，王室的；loyal   adj.忠诚的，忠贞的；【变形】复数形式：royalties
sleeve|n. 袖子|Dan rolled up his sleeves and washed his hands.|丹挽起袖子洗了洗手。|up somebody's sleeve 某人的秘密；phone sleeve 手机套；roll up one's sleeves 卷起袖子；准备大干一场|【辨析】sleep  v.睡，睡觉；slave  n.奴隶，苦工；silver n.银；glove  n.（分手指的）手套；【谐音】撕礼服(sleeve)"：撕开礼服的袖子。
neglectful|adj. 马虎的，不重视的，忽视的|They have been accused of being neglectful of their responsibilities.|他们被指控玩忽职守。||【辨析】neglect    v.疏于照顾，未予看管；negligent  adj.疏忽的，玩忽职守的，失职的；negligence n.疏忽，大意；negligible adj.微不足道的，不值一提的；【谐音】你个邋遢佛(neglectful)"：忽视外表而变得邋遢的人。
several|pron. 几个，一些|I've seen the film several times.|这部电影我看了好几遍。|corporate body 法人团体|【辨析】severe   adj.十分严重的，极为恶劣的；seven    num.七个，七；serve    v.（为……）工作，服务；service  n.公共服务系统，公共事业；servant  n.仆人，佣人；survival n.继续生存，存活，幸存；reserve  v.预订；deserve  v.值得，应受；series   n.连续，一系列（事件）；serious  adj.严重的，危急的；【谐音】塞我肉(several)"：塞我几个肉吃。源自seven(七)去掉n加ral。
hazardous|adj. 危险的，有害的|The chemicals in plastic can be hazardous to health.|塑料中的化学物质可能对健康有害。|come a cropper 栽跟头；moral hazard 由于投保人不道德而引起的风险；be in the swim 熟悉内情, 顺应潮流|【辨析】hazard n.危险，危害
age|n. 年龄；时代；v. 变老；（使）成熟|She needs more friends of her own age .|她需要更多的同龄朋友。|act one's age 举止与年龄相称 a dog's age 好久 be of age 成年 come of age 到达法定年龄|【辨析】aged  adj.……岁的；ago   adv.以前，从前；aging adj.变老的，变旧的；again adv.再一次；era   n.时代，年代，纪元；【谐音】A积(age)"：A积多了，年龄变大了。也可表示老年或以前（ago）。
correspondent|n. 记者，通讯员；通信者|Mike is a successful political correspondent as he unveiled a political scandal recently.|迈克是一个成功的政治记者，因为他最近揭露了一桩政治丑闻。|cor res pon dent 通讯记者，与...一致的|【辨析】corresponding  adj.相应的，相关的；correspondence n.信件，信函；correspond     v.类似于，相当于；【谐音】可认识邦德(correspondent)"：那只有记者才能认识邦德。
metro|n. 地铁|It'll be quicker to go by metro than bus.|坐地铁比公交更快。|metro pass 交通一卡通|【辨析】motto n.座右铭，格言，警句；【谐音】卖车啊(metro)"：地铁通了就把车卖了吧。（注：读音易混mature）
booth|n. 小隔间；临时货摊|Where's the nearest telephone booth ?|最近的公用电话亭在哪？|information booth 问讯处；phone booth 电话亭 ticket booth 售票亭 it happened that...碰巧怎样|【辨析】tooth n.牙，齿；boot  n.靴子；boost v.使增长，推动；both  det.双方，两者；boom  n.繁荣；boast v.有（值得自豪的东西）；bomb  n.炸弹，爆炸装置；bush  n.灌木，灌木丛
awkward|adj. （使人）尴尬的；难对付的；笨拙的|At the formal party I felt very awkward .|在正式的舞会上，我感到局促不安。|out of place 不适合，不恰当，不协调|【辨析】award n.奖，奖品；ward  n.病房，病室；【谐音】拗口的(awkward)"：笨拙的，难堪的。
speeding|n. 超速行驶|Speeding is not only dangerous, but also illegal.|超速不仅危险，而且违法。|You’re speeding 你超速了|【辨析】speed  n.（运动）速度；speech n.演说，发言，谈话
remind|v. 使想起；提醒|I'm sorry, I've forgotten your name. Can you remind me?|对不起，我忘了你的名字。提醒我一下好吗？|reminds sb of 使某人想起|【辨析】reminder  n.提醒物，引起回忆的事物；remain    v.逗留，留下；mind      n.头脑，大脑；remains   n.剩余物，残留物；retain    v.保持，保留；remainder n.剩余部分，其余；review    n.审查，检查；【谐音】略慢(remind)"：他反应慢，需要提醒才能想起。
