loan|n. 贷款；n. 借出；v. 借出|Jeff’s loaned us his car for the weekend.|杰夫把车借给我们周末用。|bad loan 呆账|【辨析】lean v.（身体）倾斜；load n.负载，重荷；loaf n.一条，一块（面包）；lane n.（乡间）小路；line n.线，线条；lend v.借给，借出；【谐音】楼(loan)"：买楼需要贷款。
access|n. 使用权；v. 访问，存取；n. 通路；n. 访问，存取；n. 进入；v. 获取；v. 进入|Disabled visitors are welcome; there is good wheelchair access to most facilities.|欢迎残疾人士参观，坐轮椅可以方便地到达多数设施。|have access to 有机会或有权利了解或接近|【辨析】excess     n.超过，过量；assess     v.评价，评定；success    n.成功，胜利；accent     n.口音，腔调，土音；accept     v.接受，收受；accuse     v.控告，指控；accessible adj.可到达的，可进入的；possess    v.<正式> 拥有，持有
normally|adv. 通常；adv. 正常地|The machine suddenly couldn't function normally .|这台机器突然间不能正常运转了。||【辨析】normal    adj.正常的，标准的；formal    adj.庄重的，合乎礼仪的；norm      n.社会准则，行为规范；generally adv.笼统地，大概；usually   adv.通常地，经常地；【谐音】no魅力(normally)"：没有魅力是很正常的。
donkey|n. 驴；n. 傻瓜|The donkey struggled under its heavy burden.|那头驴背负着重担。||【辨析】kidney n.肾，肾脏
burst|n. 迸发；n. 爆裂，裂口；v. 爆裂；v. 暴涨；v. 突然出现|The dam burst under the weight of water.|大坝在水的巨大压力下溃决了。|burst into tears 痛哭失声；burst into 突然爆发； burst out 突然激动地喊叫；burst in on 突然出现（或到来）；a burst of laughter 突发的笑声|【辨析】beast n.野兽，猛兽，牲畜；blast n.爆炸，爆破；【变形】过去式：burst；过去分词：burst
mere|adj. 仅仅；adj. 单单|The bike costs a mere 30 dollars.|这辆自行车只要30美元。|the mere idea 一无是处的想法|【辨析】more   det.（数、量等）更多的，更大的（much、a lot of 和 many 的比较级）；merely adv.仅仅，只（用于强调某物小或微不足道）；merry  adj.<旧>愉快的，高兴的；mercy  n.仁慈，宽恕；merit  n.优秀品质，价值；rare   adj.少见的，不常发生的；bare   adj.赤裸的；marry  v.结婚，嫁，娶；【谐音】米儿(mere)"：仅仅有米粒大小。
vigorous|adj. 精力充沛的；adj. （语言）有力的；adj. 健壮的|Take vigorous exercise for several hours a week.|每周做几个小时的剧烈运动。|none the less 依然|【辨析】rigorous  adj.（测试、系统或程序）严密的，缜密的；vigor     n.[生物]活力，精力；vicious   adj.凶险的，会造成伤害的；rigor     n.（尤指发热之初或高潮时的）寒战；ambiguous adj.模棱两可的，有歧义的；【谐音】喂个肉吃(vigorous)"：吃完肉后精力充沛。
electron|n. 电子|In the first biology class, the teacher taught students how to use the electron microscope.|第一堂生物课上，老师教同学们使用电子显微镜。|electron product 电子产品；electron gun 电子枪|【辨析】election    n.选举；elective    adj.选举的，由选举产生的；electrical  adj.电的，与电有关的；electrician n.电工，电气技师；elect       v.选举；selection   n.选择，挑选；electricity n.电，电流，电力；selective   adj.认真挑选的，严格筛选的；select      v.选择，挑选；【谐音】依赖可充(electron)"：电子产品都依赖每天晚上可以充电。
gathering|n. 聚会；n. 采集|They announced their engagement at a family gathering .|他们在一次家庭聚会上宣布订婚。||【辨析】gather v.聚集，召集；father n.父亲，爸爸；【谐音】哥得令(gathering)"：哥哥得到命令，聚集大家。
property|n. 不动产；n. 财产；n. 性质；n. 所有权|This computer is the company's property .|这台电脑是公司的财产。|property prices 房地产价格|【辨析】proper     adj.真正的，像样的；properly   adv.正确地，适当地；propose    v.提议，建议；proportion n.部分，份额；poverty    n.贫穷，贫困；prosperity n.繁荣，成功；prosperous adj.繁荣的，富足的；prepare    v.使做好准备，把……预备好
excitement|n. 兴奋；n. 令人兴奋的事物|The man could hardly control his excitement when his wife told him she was pregnant.|当妻子告诉他自己怀孕了的时候，这个男人几乎无法控制他的兴奋之情。|kindle with 激发 闪烁|【辨析】experiment n.实验，试验；excite     v.使兴奋，使激动；excited    adj.激动的，兴奋的；exciting   adj.令人兴奋的，令人激动的；existence  n.存在，实有；【谐音】一口塞个馒头(excitement)"：形容非常兴奋激动的状态。
operation|n. 经营业务；n. 手术；n. 行动；n. 运转|The surgeon has performed the operation .|外科医生做了手术。|in operation 工作中，运转中，起作用，生效，实施；operation result 经营成果；perform an operation 做手术；emergency operatration 应急工作|【辨析】operator    n.（设备、机器的）操作员；operate     v.操纵，操作（机器或设备）；corporation n.社团，公司，法人（团体）；opera       n.歌剧演出，歌剧表演；action      n.行动；cooperate   v.合作，协作；【谐音】哦，破医生(operation)"：听到这个称呼就想到手术。
resolve|v. 解决；v. 决心；n. 决心；v. 决议|We must find a way to resolve these problems.|我们必须找到解决这些问题的方法。|keep one's resolve 坚持；resolve conflicts 化解矛盾/冲突|【辨析】revolve    v.（使）旋转；resolute   adj.坚决的，果断的；solve      v.解决，处理；dissolve   v.解散，解除；involve    v.牵涉，涉及；resolution n.决议，正式决定；solvent    adj.（尤指公司）有偿付能力的，付得起的；【谐音】瑞造福(resolve)"：瑞决心要造福人类。；【变形】现在分词：resolving
accurate|adj. 准确的，精确的；adj. 逼真的|It is very hard to get accurate figures on population numbers.|要获得准确的人口数字是很难的。||【辨析】accuracy   n.准确性，精确性；accelerate v.（使）加快，促进；accumulate v.积累，积攒；accuse     v.控告，指控；acute      adj.严重的，危险的；【谐音】IQ right(accurate)"：智商正常，计算就会精确。
seal|v. 封住；v. 密封；n. 印章；n. 海豹；v. 确定|Make sure you've signed the cheque before sealing the envelope.|一定要在支票上签了名再封信封。|sign and seal 签字盖章；seal off 封锁；seal seal 撕开很谐音 于是可记做撕开 封条|【辨析】sell  v.出让，转让；deal  n.大量；seat  n.座位；sea   n.海洋；meal  n.一餐，进餐（时间）；steal v.偷窃，盗窃；sail  v.（人）航行；soul  n.灵魂；【谐音】谁哦(seal)"：谁给海豹身上盖章，还把它密封，贴封条。
guilt|n. 内疚；n. 罪行|We now have the absolute proof of his guilt .|我们现在有他犯罪的确凿证据。|be guilt of 对。。。感到愧疚|【辨析】quilt  n.被子，被褥；guilty adj.内疚的，羞愧的；【谐音】鬼(gui)它(lt)"：心里有鬼，感到内疚。
violence|n. 暴力，暴行|Ten people were injured in the violence .|有10人在这起暴力事件中受伤。|domestic violence 家庭暴力|【辨析】violent   adj.暴力的；violin    n.小提琴；violate   v.违反，违背；silence   n.寂静，无声；violation n.（对法律、协议、原则等的）违背，违反
deem|v. 认为；v. 相信|He deems it is his duty to help his needy friends.|他认为帮助穷朋友是他的义务。||【辨析】deed   n.行为，行动；doom   n.厄运，劫数；dean   n.院长，教务长；dim    adj.暗淡的，昏暗的；esteem n.尊重，敬重；boom   n.繁荣；【谐音】地一亩(deem)"：拥有一亩地的人会被认为是个土豪。
category|n. 类型；n. 范畴|We are divided into several categories by grades.|按照成绩，我们被划分成好几个类别。||【辨析】cater     v.提供餐饮服务，承办酒席；catalog   n.[图情][计]目录；strategy  n.（尤指为获得某物制定长期的）策略，行动计划；catalogue n.目录，目录册；【谐音】看他归类(category)"：观察他如何进行分类。；【变形】复数形式：categories
multiply|v. 大量增加；v. 繁殖；v. 乘|The children are already learning to multiply and divide.|孩子们已经开始学习乘法和除法了。|multiply our efforts to 加倍努力|【辨析】multiple adj.多个的，多种的；【谐音】more题扑来(multiply)"：增加更多的乘法题。；【变形】过去式：multiplied；过去分词：multiplied
recreation|n. 消遣，娱乐|Sport and recreation have always been part of university life.|运动和娱乐活动一直是大学生活的一部分。|recreation area 休闲区域 open-air/outdoor recreation 户外娱乐活动|【辨析】creation    n.创造，创建；occupation  n.工作，职业；creative    adj.创造（性）的，创作的；distraction n.使人分心的事物，干扰；【谐音】瑞克睿神(recreation)"：重复创造的过程是一种娱乐和消遣。
bet|v. 敢肯定；n. 猜想；n. 赌博；n. 赌注；v. 赌博|He went bankrupt since he bet all his money on horse races.|他破产的原因在于他把所有钱都投注在赌马上了。|you bet 没错，当然 i bet我确信；bet on 就...打赌；make a bet 打赌；bet one's bottom dollar 打包票 对,,,,孤注一掷|【辨析】pet  n.宠物；bat  n.球棒，球拍；belt n.腰带，皮带；beat v.（反复地）敲，击，打；beg  v.乞求，恳求；bid  v.出价；pat  v.轻拍（以示喜爱、赞同或安慰）；debt n.欠款，债务；【谐音】败他(bet)"：他因为下赌注太大而败家了。；【变形】过去式：bet；过去分词：bet；现在分词：betting
greenhouse|n. 温室|Many vegetables are grown in greenhouses nowadays to meet the increasing demand of customers.|现在很多蔬菜都在温室里种植，以满足顾客日益增长的需求。|greenhouse gas 二氧化碳、甲烷等导致温室效应的气体|【辨析】green adj.绿色的；【谐音】绿房子(greenhouse)"：环保的温室，用于养花的玻璃房。
insult|n. 侮辱；v. 冒犯；v. 侮辱；n. 冒犯|I cannot stand her insults about my dignity.|我无法忍受她对我人格的侮辱。||【辨析】insulate v.使隔热，使隔音，使绝缘；consult  v.咨询，请教；assault  n.（军事）袭击，攻击
virtually|adv. 几乎；adv. 实际上；adv. 虚拟地|The twins are virtually identical and even their parents can hardly tell them apart.|那对双胞胎长得几乎一模一样，就连他们的父母也很难区分。||【辨析】virtual  adj.几乎……的，实质上的；actually adv.实际上，事实上；virtuous adj.道德高尚的，品行端正的；virtue   n.高尚的道德，德行；vertical adj.垂直的，直立的；【谐音】我出力(virtually)"：事实上几乎都是我在出力。
rally|v. 集合；n. 群众大会；n. 拉力赛车；v. 支持|There was a mass rally in support of the strike.|有一场支持罢工的群众大会。|rallying cry 战斗口号，信念；rallying point 聚集点，号召力|【辨析】relay v.传递，传达（信息、新闻等）；ally  n.同盟国；alley n.小巷，胡同；array n.一系列，大量；【谐音】软肋(rally)"：集合起来，振作起来，克服软肋。
ingredient|n. 配料；n. 因素；n. 成分|Our skin cream contains only natural ingredients .|我们的护肤霜只含天然成分。||【辨析】integrity n.正直，诚实；【谐音】应贵点儿的(ingredient)"：指配料、成分或重要因素。
miracle|n. 奇迹；n. 神迹|The country has performed a miracle by lifting most of its people out of poverty.|这个国家让大多数民众脱贫，创造了奇迹。|nothing less than 简直是,完全是|【辨析】muscle    n.肌肉；miserable adj.痛苦的，使人难受的；mirror    n.镜子；marvel    n.令人惊异的人（或事），奇迹；admire    v.钦佩，仰慕；【谐音】蜜(mi)热(ra)抠(cle)"：度蜜月还这么抠，可真是奇迹。
minimize|v. 使…减少到最小|Costs were minimized by using plastic instead of leather.|用塑料代替皮革使得花费最小化。||【辨析】maximize  v.使增加到最大限度；minimal   adj.极小的，极少的；minimum   adj.最小的，最低限度的；miniature adj.微型的，小型的；minority  n.少数，少数派；【谐音】迷你(mini)"加上"使...化(ize)"：使事物最小化。
precision|n. 准确性|The work was finished with precision and accuracy.|这项工作做得精准无误。|in amount 总之，总计，结局|【辨析】precise  adj.精确的，准确的；precious adj.宝贵的，珍贵的；premise  n.前提，假设；previous adj.以前的，先前的
treaty|n. 条约，协定|The treaty between the two countries will strengthen their bonds.|两国之间的条约会加强他们的联系。|make a treaty 订立条约；treaty port 通商口岸，条约口岸|【辨析】threat n.威胁，恐吓；【谐音】吹笛(treaty)"：与邻居签订条约，约定不在晚上吹笛子。；【变形】复数形式：treaties
volume|n. 量，额；n. 音量；n. 卷，册；n. 容量，体积|The volume of traffic on the road hit the peak at seven o'clock.|道路交通量在七点时达到高峰。|volume of business 营业额；sales volume 销售量，销售规模 -- trading volume （股票）交易量|【辨析】value   n.价值；column  n.圆柱，纪念柱；voltage n.电压，伏特数；【谐音】我牛么(volume)"：我的体积和音量都最大。
client|n. 客户；n. 委托人；n. 当事人；n. 病人|The company needs to focus on its biggest clients .|该公司需要将重点放在最大的客户上。||【辨析】silent  adj.（人）安静的，沉默的；climate n.气候；cling   v.抓住，抱紧；clinic  n.诊所，门诊部；climb   v.攀登，攀爬；cliff   n.悬崖，峭壁；agent   n.代理人，代理商；claim   v.声称，断言；clerk   n.办事员，职员；【谐音】客来摁他(client)"：客户来了要留住他，把他按住。
shiver|n. 战栗，颤抖；v. 战栗，颤抖|The little girl who forgot to bring a coat with her shivered in the cold.|这个小女孩忘了带外套，在寒冷中瑟瑟发抖。|shivered from the cold 冻得瑟瑟发抖|【辨析】shaver n.电动剃须刀，剃毛器；shave  v.剃（须），刮去（毛发）；shove  v.猛推，乱挤；quiver n.（尤指突然的强烈情感所致的）颤抖，颤音；sleeve n.袖子
infectious|adj. 传染的；adj. 有传染力的|It is an infectious disease.|它是种传染病。|infections disease 传染疾病；an infectious laugh 有感染力的微笑|【辨析】infection  n.传染病；infect     v.传染，浸染；affection  n.喜爱，关爱；contagious adj.（疾病）接触性传染的；【谐音】因肺咳蛇死(infectious)"：这条蛇因为传染性疾病死掉了。
nourishment|n. 营养；n. 营养品|Lack of proper nourishment reduces their power to resist disease.|营养不良降低了他们抵抗疾病的能力。|through lack of 因缺乏|【辨析】nourish  v.养育，滋养；nutrient n.养分，营养物；【谐音】拿瑞士们的(nourishment)"：瑞士的奶粉很有营养。
fossil|n. 化石|He found a piece of fossil of an ancient bird.|他发现一块古代鸟类的化石。|fossil fule 化石燃料|【辨析】gossip  n.流言蜚语，小道消息；fuss    n.大惊小怪，紧张不安；missile n.导弹，飞弹；【谐音】发馊(fossil)"：年代久远的化石。
survey|n. 民意调查；v. 调查；n. 勘测；v. 勘测；n. 概述；v. 审视；v. 概述|They will conduct a survey to know the consumer buying habits.|他们将进行一项研究，来了解消费者的购买习惯。|conduct a survey 做调查；questionnaire survey 问卷调查|【辨析】survive  v.（经历事故、战争或疾病后）活下来，幸存；surgery  n.外科手术；serve    v.（为……）工作，服务；survival n.继续生存，存活，幸存；convey   v.传送，运输；【谐音】射歪(survey)"：测量后发现射偏了，需要全面调查。
neglect|v. 忽略；v. 疏忽；n. 疏忽；n. 忽略|Some staff were fired for neglecting their duties.|一些员工因玩忽职守被解雇。|neglect of duty 玩忽职守|【辨析】negative   adj.否定的，拒绝的；negotiable adj.可协商的，可讨论的；negotiate  v.（尤指在商业或政治上）谈判，磋商，洽谈
passive|adj. 被动的，消极的|He played a passive role in the relationship.|他在他们的关系中处于被动地位。|passive smoking 二手烟|【辨析】passion    n.爱恋，情欲；massive    adj.大而重的，结实的；pass       v.经过，越过；passionate adj.热诚的，狂热的；positive   adj.乐观的，有信心的；active     adj.好动的；negative   adj.否定的，拒绝的；【谐音】怕失误(passive)"：总是害怕出错的消极态度。
creep|v. 渐渐出现；v. 爬行；v. 悄悄行进|Lauren crept out of the room in order not to wake up her husband.|劳伦蹑手蹑脚地走出房间，以免惊醒她的丈夫。|creep in 潜入|【辨析】peep  v.窥视，偷看；weep  v.（通常因悲伤）哭泣，流泪；crown n.王冠，冕；crawl v.爬行，匍匐前进；【谐音】快跑(creep)"：别在地上慢慢地爬行了，快跑！；【变形】过去式：crept；过去分词：crept
religious|adj. 宗教的；adj. 虔诚的|His wife is a religious person.|他的妻子十分虔诚。|a religious song 一首宗教歌曲|【辨析】religion   n.宗教信仰；ridiculous adj.可笑的，荒谬的；regional   adj.地区的，区域的；region     n.地区，区域；【谐音】认理救世(religious)"：形容宗教的特性。
improvement|n. 改进；n. 改善物|There's room for improvement in the way he tells jokes.|他讲笑话的方式还有待进步。||【辨析】advancement n.前进，行进；【谐音】因扑入屋门塌(improvement)"：门塌了，需要改进。
creature|n. 动物；n. 生物；n. 人|She shows respect for all living creatures .|她尊重所有的生物。|be gifted with 拥有什么的能力|【辨析】create     v.创造，创建；treasure   n.金银财宝，珠宝，财富；creative   adj.创造（性）的，创作的；feature    n.特点，特征；creativity n.创造力，独创性；cattle     n.牛；【谐音】窥车(creature)"：偷看车里装满了各种生物。
textile|n. 纺织业；n. 织物；n. 纺织原料|The textile industry of this country no longer depended on cotton.|该国的纺织业不再依赖棉花了。|text ile 文章一样的纹理 纺织品；tex tile 纺织品的，adj、n纺织品|【辨析】texture n.质地，纹理；tile    n.（贴墙或铺地用的）瓷砖，地砖；【谐音】戴个丝带哟(textile)"：丝带是纺织业生产的纺织品。
volunteer|n. 志愿者；v. 自愿做|Are there any volunteers to help clear up?|有自愿帮助清扫的人吗？|volunteer a reason 主动说出原因；volunteer my fault 我主动承认自己的错误|【辨析】voluntary adj.自愿的，自发的，主动的；【谐音】我来提呀(volunteer)"：我来帮你提，志愿服务。
spur|v. 激励；v. 促进；n. 马刺；n. 鞭策；v. 鞭策|It was the Queen's Christmas speech that finally spurred him into action.|最终是女王的圣诞演讲激励了他行动起来。|spur economic growth 刺激经济发展|【辨析】stir v.搅拌，搅和（液体等物质）；blur n.模糊不清的事物；【变形】过去式：spurred；过去分词：spurred；现在分词：spurring
forum|n. （网络）论坛|Television is now an important forum for political debate.|电视已成了政治辩论的重要论坛。|international forum 国际论坛|【辨析】format  n.总体安排，计划，设计；foam    n.泡沫，气泡；formula n.计划，方案；【谐音】富人(forum)"：富人才有资格参加财富论坛！
criticize|v. 批评；v. 评论|His mother harshly criticized him for his bad behaviors these days.|因为他这几天的不良表现，他母亲严厉地批评了他。||【辨析】criticism n.批评，批判；critical  adj.批判的，爱挑剔的；citizen   n.市民，城镇居民；【谐音】亏他塞纸(criticize)"：幸亏他给我纸条提醒，否则又要挨批评了。；【变形】现在分词：criticizing
fatigue|n. 疲惫；n. 厌倦|Driver fatigue caused the accident.|司机疲劳驾驶导致了这次事故。|battle fatigues 迷彩服|【辨析】figure  n.数字，数目，数值；famine  n.饥荒，饥馑；plague  n.瘟疫，传染病；fragile adj.易碎的，易损的；【谐音】肥(fat)体格(tigue)"：肥胖的体格，动一动就疲劳。
vague|adj. 模糊的；adj. 粗略的；adj. 朦胧的|He has a vague idea about his future plans.|他对未来的计划不甚明确。|making vague hints 拐弯抹角|【辨析】wage   n.工资，报酬；voyage n.（尤指坐船或飞往太空的）航行，旅行；virtue n.高尚的道德，德行；vigor  n.[生物]活力，精力；valid  adj.（文件或票证）有效的；【谐音】喂，哥(vague)"：对陌生男士的含糊称呼，避免年龄尴尬。；【变形】比较级：vaguer；最高级：vaguest
conventional|adj. 传统的；adj. 习惯的|The old man is conventional in his views and refuses to accept the new lifestyle.|这个老人观念守旧，他拒绝接受新的生活方式。|conventional food 普通食物； conventional crime 传统性犯罪； conventional value 传统价值|【辨析】convention   n.习俗，惯例；convenient   adj.方便的，便利的；conservation n.保护，保存；【谐音】肯弯身咯(conventional)"：符合传统的习俗。
impressive|adj. 给人深刻印象的|Their achievements this year are pretty impressive .|他们今年的成就十分令人赞叹。|impress on 给 ... 深刻印象,使铭记|【辨析】impression n.印象，感想；impress    v.使钦佩，使留下深刻印象；expressive adj.富于表情的，富于表现力的；depression n.抑郁，沮丧；expression n.表达，表示；【谐音】应拍死我(impressive)"：给人深刻印象的，令人印象深刻的。
preach|v. 宣传；v. 布道；v. 说教|She preached economy as the best means of solving the crisis.|她大力鼓吹经济是解决危机的关键。|preach to deaf ears 对聋子讲道，对牛弹琴；practise what you preach 身体力行 言行一致；preach to 告诫；preach up 吹捧赞扬|【辨析】breach n.违反，破坏；peach  n.桃子
emission|n. 排放|We must reduce the emission of the carbon.|我们必须降低碳排放量|greenhouse gas emissions 温室效应排放|【辨析】omission n.省略，遗漏；mission  n.（尤指赴他国的）使命，重要任务；eruption n.喷发；emit     v.排放，散发（尤指气体、辐射物）
register|v. 登记，注册；n. 登记本，注册簿；v. 记录|The company under investigation was registered abroad.|被调查的公司是在国外注册的。|register with 留下印象；register for 注册；选课|【辨析】sister n.姐姐，妹妹；region n.地区，区域
progressive|adj. 进步的；adj. 崇尚变革的；adj. 逐步发生的|He is known as a progressive coach for his flexible training methods.|他是个开明的教练，以灵活的训练方式著称。|progress n 进步,进行(pro向前+gress=向前走=前进)；progressive form 进行时|【辨析】process n.步骤，程序；【谐音】破怪谁(progressive)"：没有先进的技术，怪谁呢？
coach|n. 教练；v. 指导；v. 训练；n. 长途汽车|He is not so much a player as a coach .|与其说他是个队员，不如说他是个教练。|a coach station 长途汽车总站|【辨析】coat  n.外套，大衣；coast n.海岸，海滨；court n.法院，法庭；【谐音】口吃(coach)"：口吃需要不断地训练。；【变形】复数形式：coaches
municipal|adj. 市政的|The city will build a municipal library in the downtown.|该城将在市中心建立一座市政图书馆。|Municipal Government 市政府；a municipal council 市政委员会； the municipal government 市政府； a municipal university 市立大学； municipal affairs 市政事务|【辨析】municipality n.市政当局；multiple     adj.多个的，多种的
voluntary|adj. 自愿的，志愿的|Attendance on the course is purely voluntary .|听这门课纯粹是自愿的。||【辨析】volunteer  n.志愿者，义务工作者；vocabulary n.（某人掌握或使用的）全部词汇；【变形】复数形式：voluntaries
qualification|n. 资格；n. 先决条件；n. 合格|What sort of qualifications do you need for the job?|做这项工作需要哪些资质？|qualify vt 使具有资格，使合格，限定，修饰|【辨析】specification  n.规格，规范，明细单，说明书；identification n.辨认，识别；qualitative    adj.质量的，定性的，性质的；satisfaction   n.满意，称心；【谐音】夸你费口水(qualification)"：有资格被夸奖的人才值得费口水。
vessel|n. 血管；n. 容器；n. 船，舰|A fishing vessel sank after colliding with a cargo ship.|一艘渔船在与货船相撞之后沉没了。|blood vessel 血管；naval assault vessel 海军突击船；a vessel of mercy 慈悲的化身|【辨析】vase n.花瓶，（装饰用的）瓶；【谐音】外嗖(vessel)"：在外面容易馊，所以要放在容器里。
occasionally|adv. 偶尔地|Disputes occasionally occurred between the couple.|夫妻之间偶尔会有争论。|complete monopoly 完全垄断；sleeping pill 安眠药|【辨析】occasional adj.偶尔的，不经常的；occasion   n.（某事发生的）时刻，时候；【谐音】偶开心的来(occasionally)"：偶尔我会开心地来一次。
shift|v. 转变；n. 转换，转变；v. 转移；n. 轮班；n. 转移|The setting of the novel shifts from Seattle to New York.|小说背景从西雅图移到了纽约。|day shift 白班；shift to 切换到；shift for oneself 自谋生路；go on shift 上班 go off shift 下班；shift manager 值班经理|【辨析】swift  adj.迅速的，立刻的；switch n.开关，电闸
mass|adj. 大批的；n. 重量；n. 群众；n. 团，块；n. 大量；adj. 民众的|Supporters of home education claim that it is less expensive and far more efficient than mass public education.|家庭教育的支持者们称其比大众公共教育更便宜、更有效率。|be a mass of 遍布着；mass media 大众传媒；mass effect 质量效应|【辨析】mess    n.肮脏，杂乱；massive adj.大而重的，结实的；massage n.按摩，推拿；less    adv.更少地，程度较低地；【变形】复数形式：masses
receipt|n. 收据，发票；n. 接收|After you paid for your meal we will give you a receipt .|你付完饭钱我们会给你开一张收据。|deposit receipt 存款收据；in receipt of 已收到…；private deposits 私人存款；be in receipt of 已收到；on receipt of 在收到…后|【辨析】receive   v.得到，收到；receiver  n.（电话）听筒；recite    v.背诵，朗诵；recipe    n.烹饪法，食谱；recipient n.<正式>接受者，领受者；reception n.接待处，服务台；receptive adj.（对观点、建议等）愿意倾听的，乐于接受的；【谐音】惹希特(receipt)"：收到票据或收条时的反应。
overhead|adv. 在头顶上，在空中；adj. 头顶上的|The helicopter circled overhead constantly.|直升机在头顶不停地盘旋。||【辨析】overhear v.无意中听到，偷听到；overtake v.追上， 赶上并超过（汽车或人）；overcome v.克服，解决；forehead n.前额；overlook v.忽视，忽略；overturn v.（使）翻倒，（使）倾覆；ahead    adv.在前面，朝前面；【谐音】头顶上的(over head)"：公司的经营开支算在每个人头顶上。
disastrous|adj. 灾难性的|The economic position of the country is disastrous .|国家的经济形势非常糟糕。|first half 上半场|【辨析】disaster n.灾难，灾害；disease  n.疾病，病害；dinosaur n.恐龙
crew|n. 全体工作人员；n. 班组；n. 一伙人|None of the passengers and crew were injured.|没有一个乘客和机组人员受伤。|crewed for 担任某份工作；rescue crew 救难员；crew members 机组工作人员|【辨析】chew  v.咀嚼，嚼碎；crown n.王冠，冕；crawl v.爬行，匍匐前进；screw n.螺丝（钉）；cruel adj.残酷的，残忍的；clue  n.线索，提示；sew   v.缝，缝纫，缝补；clerk n.办事员，职员；【谐音】可入(crew)"：工作人员可以进入。
refrain|v. 克制，避免；n. 陈词滥调；n. 副歌|Please refrain from smoking.|请勿吸烟。|refrain to do 节制做某事 refrain from doing sth避免做某事；refrain from doing sth 避免做某事，节制做某事|【辨析】retain    v.保持，保留；restrain  v.制止，阻止；refine    v.精炼，提纯；restraint n.克制，抑制
