refrigeration|n. 冷藏，冷冻|This product will go bad without refrigeration .|这个产品不冷藏就会变质。
July|n. 七月|I will graduate from the university in July .|我将于七月份从大学毕业。|on july ninth 七月九日
cheer|n. 欢呼声，喝彩声；v. 欢呼，喝彩；鼓舞|The players were greeted with loud cheers .|人们高声欢呼着迎接运动员们。|good cheer 放心吧；cheer up at sth 为什么高兴起来|【辨析】cheek    n.脸颊，面颊；cheers   int.干杯（祝酒用语）；cherry   n.樱桃；cheese   n.干酪，奶酪；chair    n.椅子；cheat    v.欺骗，行骗；chess    n.国际象棋，西洋棋；chest    n.胸部，胸膛；cheerful adj.欢快的，高兴的；chase    v.追逐，追赶；choose   v.选择，挑选；【谐音】企鹅(cheer)"：欢呼。
disintegration|n. 瓦解，解体|The disintegration of family ties is an apparent trend in modern societies.|家庭纽带的解体是现代社会的一个明显趋势。||【辨析】disintegrate v.崩溃，瓦解；integration  n.结合，融合；distinction  n.差别，区分；【谐音】迪士尼的鬼神(disintegration)"：童话世界崩解了。
comprehend|v. 理解|If you can use a word correctly and effectively, you comprehend it.|你如果可以正确有效地使用一个词，你就是了解它了.||【辨析】comprehension n.理解力，领悟力；comprehensive adj.综合性的，全面的；【谐音】来(com)之前(pre)恨的(hend)"：来之前恨的，现在理解了。
teen|n. 青少年（时期）；adj. 青少年的|When I was in my teens , I liked playing football.|少年时我喜欢踢足球。|in sb's teens 注意用复数|【辨析】ten      num.十个，十；keen     adj.渴望的，热衷的；teenager n.青少年，十几岁的孩子（13到19岁之间的孩子）
meat|n. 肉|White meat is believed to be healthier than red one.|人们认为白肉比红肉更健康。||【辨析】neat adj.整齐的；meet v.结识，被引见（给某人）；seat n.座位；heat n.热能，热量；beat v.（反复地）敲，击，打；meal n.一餐，进餐（时间）；mean v.意味着；nest n.窝，巢，穴；【谐音】我(M)吃(EAT)"：我吃肉。
waiter|n. 服务员，侍者|He makes a living by working as a waiter in a restaurant.|他在一家饭馆以当服务员为生。||【辨析】writer n.（职业的）作家，作者；wait   v.等候；white  adj.白色的；write  v.写作，编写；water  n.水，雨水；waist  n.腰，腰围；【谐音】喂他(waiter)"：就是服务员。
ball|n. 球，球状物；舞会|Bounce the ball and try and hit it over the net.|让球反弹起来，然后试着把它打过网。|keep the ball rolling 不使。。中断 carry the ball 负起责任，担当起领导职务 a ball of fortune 受命运摆弄的人 be on the ball 精力充沛地行动，知情，内行 take up the ball 接替，值班，接着讲/做 play ball with 。。。。与某人合作；on the ball 能干的|【辨析】tall    adj.高的，高大的；call    v.给……取名；hall    n.礼堂，大厅；mall    n.购物中心，步行商业区；ballet  n.芭蕾舞剧；balloon n.气球；doll    n.洋娃娃，玩偶；【谐音】抱(ba)球(ll)"：抱着球去参加舞会。
electronic|adj. 电子（器件）的|This time-honored magazine began to publish the electronic form last month.|这家历史悠久的杂志上个月开始出版电子版。|electronic book 电子书|【辨析】electronics n.电子学；electric    adj.电的；election    n.选举；electricity n.电，电流，电力；electrical  adj.电的，与电有关的；elect       v.选举
loophole|n. （法律、合同等的）漏洞|A good lawyer can always find a loophole .|精明的律师总能找到漏洞。|tax loophole 税收漏洞；逃税|【辨析】loop n.环形，环状物；【谐音】漏(loop)洞(hole)"：法律或规则中可钻的漏洞。
consultative|adj. 咨询的，顾问的|The president has a consultative committee on economic issues.|总统有一个经济问题的顾问委员会。|consultative process 磋商程序|【辨析】consultation n.商讨，磋商，磋商会议；consultant   n.顾问；consulate    n.领事馆；consult      v.咨询，请教；consul       n.领事；console      v.安慰，慰藉；【谐音】肯说他替我(consultative)"：提供咨询的顾问。
probably|adv. 很可能，大概|I'll probably be home by noon.|我很可能中午到家。|in pocket 赚钱|【辨析】problem  n.问题，难题，困难；possibly adv.可能，或许；program  n.（计算机）程序（=programme）；prove    v.证实，证明；possible adj.可能的，可能做到的
selfless|adj. 无私的|His selfless devotion to duty is very touching.|他对职责的无私奉献令人感动。||【辨析】helpless  adj.无助的，无奈的；endless   adj.无止境的，无穷尽的；useless   adj.无用的，无价值的；selfish   adj.自私的，利己的；hopeless  adj.无望的；self      n.自己，自我；stainless adj.不锈的，防锈的；priceless adj.无价的；harmless  adj.无害的，不会导致损伤的
September|n. 九月|My wife's birthday is in September .|我妻子的生日在九月。
music|n. 音乐|She likes listening to music while walking around the playground.|她喜欢一边听音乐一边在操场散步。|dance to the music 跟着音乐跳舞；compose music 作曲；a piece of music 一首乐曲|【辨析】musician n.音乐家，乐师，作曲家；maths    n.数学（等于 mathematics）；【谐音】谬Z可(music)"：虽然发音有点谬误，但这就是音乐。
magnetic|adj. 有磁力的；有魅力的|The compass can be affected by magnetic forces.|指南针可能会受磁力的影响。|magnetic flux 磁通量|【辨析】magnet      n.磁体，磁铁；magnify     v.放大，扩大；magnitude   n.巨大，重要性；magnificent adj.宏伟的，壮丽的；【谐音】买个耐铁的(magnetic)"：买个耐铁的磁铁，很有吸引力。
aggressive|adj. 有攻击性的；积极进取的|The old man keeps a dangerous and aggressive dog as his pet.|这位老人养了一条危险的恶犬作为宠物。|aggressive weapons 攻击性武器|【谐音】二哥爱习武(aggressive)"：形容好斗、进取、具有侵略性的行为。
sweep|v. 打扫；拂去；席卷；迅速传播；蜿蜒；n. 打扫；挥动；广度；蜿蜒曲折的地带|The showroom had been emptied and swept clean.|陈列室已经清理出来，打扫干净了。|sweep off one's feet 为某件事情感到特别兴奋；为某个人神魂颠倒|【辨析】sweat    v.流汗，出汗，冒汗；weep     v.（通常因悲伤）哭泣，流泪；sweeping adj.范围广的，影响大的；【谐音】四位仆(sweep)"：四位仆人正在打扫。；【变形】过去式：swept；过去分词：swept
parliamentary|adj. 议会的，国会的|Parliamentary elections always draw a lot of attention from the public.|议会选举总是引起公众的极大关注。|Houses of Parliam 国会大厦|【辨析】parliament  n.议会，国会；preliminary adj.初步的，预备的
confidential|adj. 秘密的，机密的|From time to time he passed on confidential information to him.|他时不时告诉他一些机密信息。||【辨析】confident  adj.（性格，态度）自信的，充满信心的；confidence n.自信，信心；【谐音】咖啡蹲守(confidential)"：在咖啡店蹲守的都是信任的人，谈的是机密的事，像谍战片。
assumption|n. 臆断，假设；担任（职责等）|Their assumptions of an air of confidence fooled nobody.|他们装出信心十足的样子却欺骗不了任何人。|on the assumption that 假定|【辨析】resumption  n.<正式>重新开始，恢复；consumption n.消费，消耗；assume      v.假定，假设，认为；【谐音】爱伤不深(assumption)"：这只是一个假设。
help|n. 帮助；有帮助的人（或事物）；v. 帮助；有助于…|He always helps with the housework.|他总是帮着做家务。|Help yourself 别客气|【谐音】嗨傲(help)"：热情地帮助他人。
morning|n. 早上|See you tomorrow morning .|明早见。|in the morning 注意是in|【谐音】末日狰狞(mor-ning)"：早晨是新的一天的开始，驱散了"末日"的阴霾。
explanatory|adj. 解释的，说明的|There are explanatory notes below the diagram.|图表下面附有注释。|explanatory statement 说明书|【辨析】explanation n.解释，说明；【谐音】一开始不让他吹(explanatory)"：起初不让他解释。
require|v. 需要；规定|These pets require a lot of care and attention.|这些宠物需要悉心照顾。|require sb of sth 需要某人干某事；meet sb's requirement 符合某人的要求；be required to 必须|【辨析】acquire     v.获得，得到；request     n.要求，请求；inquire     v.调查，查究；requirement n.要求，必要条件；repair      v.修理，修补；【谐音】瑞快啊(require)"：长官要求瑞加速前进。；【变形】现在分词：requiring
ankle|n. 踝，踝关节|The dancer fell over and twisted her ankle .|这位舞蹈家摔了一跤，扭伤了脚踝。|twist one's ankle 扭伤脚踝；swell up 肿起来；had sprained an ankle 弄伤脚踝；sprain an ankle 扭伤脚踝|【辨析】angle  n.角；angel  n.天使；uncle  n.叔叔；anchor n.锚；【谐音】俺磕了(ankle)"：俺的脚踝磕到了。
recruitment|n. 招聘|They executed the recruitment of new salesmen.|他们招募了新的销售人员。|recruitment policy 招聘制度|【辨析】recruit    v.招聘，招收（新成员）；enrollment n.登记；【谐音】惹哭他们(recruitment)"：招募新人时可能会惹哭一些人。
comparable|adj. 类似的；可比较的；相当的|His handwriting is not bad, but it's hardly comparable with yours.|他的书法不错，但是很难和你的相比。|be comparable with 比得上；comparable with 与..相比|【辨析】compatible  adj.兼容的；comparative n.（形容词或副词的）比较级；【谐音】扛破包(comparable)"：你比得上谁？
donor|n. 捐献者|Thanks to a kidney donor , the patient finally survived.|多亏了一位肾脏捐献者，这位病人最终活了下来。||【辨析】donation n.捐赠物，捐赠，赠送；sponsor  n.赞助者，赞助商；【谐音】都拿(donor)"：都拿出来给别人，即捐赠者。
timing|n. 时机的掌握；特定时间|The timing of the manager's resignation was a complete shock to us.|经理选择那个时间辞职，让我们大为震惊。|timing of 时机|【辨析】time n.（以分钟、小时、天等计量的）时间；【谐音】太明(timing)"：时间安排太明确了。
Bible|n. 圣经；权威著作|The Holy Bible says God created the world.|《圣经》上说，上帝创造了世界。|Holy Bible 圣经|【辨析】bubble n.气泡，泡沫；bribe  n.贿赂；bride  n.新娘，即将（或刚）结婚的女子
flower|n. 花|The plant has a beautiful bright red flower .|这株植物开了一朵美丽鲜红的花。|in full flower 怒放；in flower 处于开发期|【辨析】flow     v.流动，流淌；shower   n.淋浴器，花洒；flour    n.面粉，（谷物磨成的）粉；tower    n.塔，塔楼；power    n.控制力，操控力；follow   v.跟着，跟随；powder   n.粉，粉末；flourish v.繁荣，昌盛；【谐音】父拉我(flower)"：爸爸拉我，但我不小心踩到了鲜花。
execution|n. 执行，实施；处决|The ideas were good but failed in execution .|这些想法很好，但是没能执行。|execution standard 执行标准|【辨析】execute     v.执行，实施；executive   adj.行政的，有执行权的；prosecution n.起诉，诉讼；excursion   n.短途旅行，远足
corn|n. 谷物；玉米|Corn was once a staple food in America.|玉米曾是美洲的主食。|corn beef 腌牛肉；acknowledge the corn 接受指责，认错；trend on one's corns 触犯某人；get corns 长鸡眼；corn up 凝结|【辨析】coin   n.硬币，金属货币；core   n.果核；corner n.角；crop   n.庄稼；【谐音】啃(corn)"：因为啃玉米，记住了corn。
torch|n. 手电筒；火把|He flashed a torch into the dark room and saw a body on the floor.|他用手电筒照了照黑暗的房间，随即看到了地板上有一具尸体。||【辨析】porch   n.门廊；couch   n.长沙发，长榻；torture n.拷打，拷问，酷刑逼供；【谐音】偷吃(torch)"：打着手电筒去厨房偷吃。
need|v. 需要；有必要；n. 需要（的事物）；短缺|Do you need any help?|你需要帮忙吗？|needed lifeline 所需生命线；in need 家境困难|【辨析】seed   n.种子，籽；deed   n.行为，行动；feed   v.饲养，喂养，为……提供食物；indeed adv.确实，的确；seek   v.寻找；seem   v.（涉及推断）似乎，看来；【谐音】你的(ne)的(ed)"：满足你的需要。
allege|v. 断言；指控|The CEO is alleged to have committed crimes, but no official response has been given yet.|这位CEO被指控犯了罪，但目前还没有官方回应。||【辨析】alleged    adj.（未经证实而）声称的，所谓的；allergy    n.过敏反应，过敏症；ally       n.同盟国；alleviate  v.减轻，缓和；allocate   v.分配，分派，划拨；alliance   n.联盟，结盟；allegation n.（无证据的）说法，指控；【谐音】啊立旨(allege)"：正式宣称或断言。；【变形】现在分词：alleging
drive|v. 驾驶；驱动；n. 驾车（路程）；强烈欲望|Don't drive so fast!|别开得那么快！|drive at 用意所在；driving lesson 驾驶课；China's modernization drive 中国的现代化建设；driving at 真实的想法；drive up rents 抬高租金|【辨析】dive   v.跳水；driver n.司机，驾驶员；arrive v.到达，抵达；thrive v.茁壮成长，兴旺，繁荣；strive v.努力，力争；【谐音】拽抓扶(drive)"：驾驶太快时得抓住扶手。；【变形】过去式：drove；过去分词：driven；现在分词：driving
June|n. 六月|They plan to take a vacation to India in June .|他们计划六月去印度度假。
preposition|n. 介词|Nobody in the class knew that the word "regarding" was a preposition .|班里没有一个人知道单词“regarding”是个介词。||【辨析】preparation  n.准备（指动作或过程）；proposition  n.主张，观点；disposition  n.性情，性格；prosecution  n.起诉，诉讼；prescription n.处方，药方；proportion   n.部分，份额；persecution  n.（尤指因种族、宗教或政治信仰而进行的）迫害，残害
leave|v. 离开；留下；使处于…；忘了带；n. 休假|The plane leaves for Dallas at 12:35.|飞机于12:35起飞前往达拉斯。|leave alone 不打扰；不干涉；不管；不理|【辨析】leaves n.树叶，叶片；leaf   n.叶，叶子；live   v.生存，活着；level  n.数量，程度；left   adj.左边的；like   prep.像，如同；【谐音】离屋(leave)"：离开。；【变形】过去式：left；过去分词：left；现在分词：leaving
database|n. 数据库|We have linked to the online database and its resources are available to us.|我们连接了线上的数据库，里面的资源可供我们使用。|database n 数据库 data n 数据；set up a database 创建数据库|【辨析】data n.数据，资料；base n.根基，底部；【谐音】得他背死(database)"：数据库得他背得滚瓜烂熟才行。
sitting|n. 坐着的一段时间；开会，开庭|You may go to the canteen at 5 p.m. or 9 p.m. for the dinner is in two sittings .|你可以在下午5点或晚上9点去餐厅，因为晚餐有两个就餐时间段。|a sitting posture 坐姿；a sitting president 现任的；in one sitting 一会儿|【辨析】setting   n.（某事发生的）环境，场合；situation n.情况，形势；meeting   n.会议，集会；sit       v.坐；site      n.（建筑的）工地，用地；【谐音】坐听(sitting)"：现在正坐在那个位置的，在任的。
arise|v. 出现，发生；引起；起来；逐渐显现|A new crisis has arisen .|新危机已经出现。|arise from 起因 derive from 起源|【辨析】raise  v.提升，举起；rise   v.（数字、 数量、价值）增加，（质量）提高；arouse v.引起，激起；rouse  v.<正式>唤醒，（使）醒来；【谐音】一碗米饭(arise)"：一碗米饭的出现，让我产生了起身的想法。；【变形】过去式：arose；过去分词：arisen；现在分词：arising
taste|v. 品尝，尝出；短暂体验…；n. 味道；味觉；少许；体验；爱好；鉴赏力|The apple tastes sour.|这苹果尝起来是酸的。|bitter taste 苦味；poor taste 粗俗；to one's taste 合某人的胃口|【辨析】waste n.浪费，滥用；tasty adj.美味的；test  n.（书面或口头的）测验，考试；task  n.（尤指困难的或必须定期做的）工作，任务；tease v.取笑，嘲笑；toast n.烤面包片，吐司
gown|n. 女式礼服；长袍；罩衣|Elizabeth goes to the ball in an evening gown .|伊丽莎白身着晚礼服去参加舞会。|wedding gown 婚纱；town and gown 城镇居民和大学里的师生；flowing white gown 飘逸的白色礼服|【辨析】groan v.呻吟，叹息；crown n.王冠，冕；lawn  n.草坪，草地；【谐音】高人(gown)"：礼服要高的人穿才好看。
vanity|n. 虚荣心，自大|He bought an expensive watch to satisfy his vanity .|他买了块名贵手表以满足他的虚荣心。|vanity vanish 虚荣心消失了；out of vanity 出于虚荣心而|【辨析】vanish   v.突然不见，消失；vicinity n.周围地区，邻近地区，附近；van      n.（厢式）小型货车；vain     adj.虚荣的，自负的；【谐音】问你题(vanity)"：总想别人问自己问题的人都很虚荣自负。；【变形】复数形式：vanities
tragically|adv. 悲惨地|This legendary man died tragically young.|这位传奇人物不幸英年早逝。||【辨析】tragic      adj.悲惨的，悲痛的，可悲的；graphically adv.形象地，生动地；magical     adj.魔法的，魔术的；【谐音】戳机可累(tragically)"：情况悲惨得让人感到可怜和疲惫。
one|num. 一|There's only room for one person.|只剩一个人的房间了。|Do one's best 尽力|【辨析】once adv.一次， 一回；none pron.全无；zone n.（有某特色或作用的）地区，地带；tone n.语气，腔调，口吻；bone n.骨，骨头；【谐音】万(one)"：表示单一或统一的概念。
away|adv. 离开；去别处；不在；持续的；直到完全消失|The beach is a mile away .|海滩在一英里外。|right away 立即，马上；get away 动身离开|【辨析】way    n.方法，手段；always adv.总是，每次都是；【谐音】啊喂(a)喂(way)"：你就这么离开了？
periodical|n. （学术）期刊；adj. 周期的，定期的|I should be glad if you could insert this article into your periodical .|如果能把这篇文章登在你的期刊上我将很高兴。|Reader's Digest 读者文摘|【辨析】reciprocal adj.相互的，互惠的，报答的；patriotic  adj.爱国的，有爱国心的；【谐音】派瑞啊替考(periodical)"：定期要去一次，是周期性的。
obey|v. 遵守，服从|He had always obeyed his parents without question.|他对父母一向绝对服从。||【辨析】obesity n.过度肥胖，肥胖症；【谐音】耳背(obey)"：耳背的人无法服从。
bail|n. 保释（金）；v. 保释|He is not likely to be released on bail since he has committed murder.|他不太可能会保释出狱，毕竟实施了谋杀。|on bail 保释中，保释；bail out 保释；脱离困境；从飞机上跳伞；畏难离去|【辨析】rail  n.铁路系统；hail  v.赞扬，欢呼；nail  n.钉子；jail  n.监狱；bait  n.用作诱饵的人（或物）；snail n.蜗牛；trail n.痕迹，踪迹；raid  n.突袭，袭击；【谐音】把我捞(bail)"：把我从困境中保释出来。
assurance|n. 保证，担保；自信|They were waiting with assurance for me to discover the truth for myself.|他们自信地等待我自己发现事实真相。||【辨析】insurance n.保险；assure    v.使确信，向……保证；assured   adj.自信的，有把握的；allowance n.津贴，补助；reassure  v.使安心，使消除疑虑
legislator|n. 立法者|Volunteers have made several attempts to get legislators to change the system.|志愿者已经多次尝试让立法者改变这个制度。||【辨析】legislate   v.通过立法实施；legislative adj.立法的；legislation n.法规，法律；legitimate  adj.正当的，合理的
conditional|adj. 有条件的，有前提的|His investment was conditional on giving him power for management.|他的投资是以给予他管理权为条件的。|be conditional on 以‘’为条件；conditional phrase 附加条件|【辨析】conditioner   n.护发素；conventional  adj.依照惯例的，遵循习俗的；unconditional adj.无条件的，无限制的，绝对的；additional    adj.附加的，额外的；【谐音】肯低身弄(conditional)"：这是有条件的。
fantasy|n. 幻想（产物）|Many young people can't distinguish between fantasy and reality after watching too many romantic TV series.|许多年轻人在看了太多爱情剧之后，不能区分虚构与现实了。||【辨析】fantastic adj.极好的，非常棒的；fancy     v.<英，非正式> 喜欢，想要；【谐音】范特西(fantasy)"：周杰伦的专辑，意为幻想。；【变形】复数形式：fantasies
son|n. 儿子；孩子|They have three grown-up sons .|他们有三个成年的儿子。|from father to son 从父到子,世代相传； like father, like son 有其父必有其子； somebody's favourite son 故乡的骄子（可指演员、政治家、运动员等）|【辨析】sun n.太阳（the sun）
gender|n. 性别|The new law aims at promoting gender diversity in workplaces.|这部新法律旨在促进工作场所的性别构成的多样性。|gender equality 两性平等；gender discrimination 性别歧视；gender gap 性别差异 genter 温柔；gender equity 性別平等；男女平等；两性公平；gender imbalance 性别比例失衡|【辨析】tender adj.温柔的，亲切的；render v.使成为，使处于某种状态；gentle adj.文静的，温柔的；agenda n.待议事项，议事日程；【谐音】真的(gender)"：性别是真实的生理特征。
pink|adj. 粉红色的；n. 粉红色|Her room was decorated in pale pink .|她的房间被装饰成淡粉色。|in the pink 非常健康；气色红润；精力充沛|【辨析】pick v.采，摘（花、果）；pin  n.（尤指做衣服时固定布料用的）别针，大头针；pale adj.（脸色）苍白的；【谐音】贫客(pink)"：贫穷的客人喜欢粉色。；【变形】比较级：pinker；最高级：pinkest
abroad|adv. 到国外，在国外|She worked abroad for a year.|她在国外工作了一年。|go abroad 出国；at home and abroad 在国内外|【辨析】aboard adv.在（船、飞机、火车等）上；broad  adj.宽广的，宽阔的；board  n.板，木板；【谐音】俺不弱(abroad)"：凭实力在国外、出国。
encyclopaedia|n. 百科全书|He's been reading a thirty-volume encyclopaedia .|他最近一直在读一本共三十卷的百科全书。|Working encyclopedia 行走的百科全书，形容人知识渊博|【辨析】encyclopedia n.百科全书，（某一学科的）专科全书（=encyclopaedia）；【谐音】硬塞头皮的记啊(encyclopaedia)"：百科全书内容太多了！
piano|n. 钢琴|She started playing the piano at the age of six.|她六岁开始弹钢琴。||【谐音】皮挨挠(piano)"：钢琴键上的皮挨挠。
quantification|n. 定量|The software can achieve quantification management.|该软件可以实现定量管理。||【辨析】qualification n.（通过考试或学习课程取得的）资格，学历；quantitative  adj.数量的，量化的，定量的；【谐音】框他分开上(quantification)"：把事物分类，便于量化。
surrender|v. 投降；放弃；n. 投降；屈服；放弃|The soldier who is loyal to his country refuses to surrender himself to the enemy.|这个士兵忠于祖国，拒绝向敌人投降。|surrender oneself 自首；surround surrender 包围投降|【辨析】render      v.使成为，使处于某种状态；surrounding adj.周围的，附近的；【谐音】手软的(surrender)"：手一软就投降了。
congratulation|n. 祝贺（词）|Congratulations on your victory!|祝贺你获胜！|as a token of 做为....的标志|【辨析】congratulate v.祝贺，向……道贺；【谐音】肯过来求雷神(congratulation)"：祝贺你获得成功或好运。
purple|n. 紫色；adj. 紫色的|His face was purple with rage.|他气得脸色发紫。||【辨析】people  n.人，人类；purpose n.目的，意图；pupil   n.学生，（尤指）小学生；【谐音】怕泼(purple)"：紫色颜料染上衣服难洗，所以怕泼。；【变形】比较级：purpler；最高级：purplest
amongst|prep. 在…之中|The actress saw some familiar faces amongst the audience.|那位女演员在观众中看见了几张熟悉的面孔。||【辨析】amidst prep.在……之中；【谐音】啊忙死他(amongst)"：在一些事之间，就很忙。
doom|n. 毁灭；劫数；死亡；v. 使…注定失败（或遭殃、死亡等）|The city was doomed to fall because of the enemy's overwhelming forces.|由于敌人势不可挡的力量，这座城市注定要沦陷。|be doomed to 注定……|【辨析】boom  n.繁荣；dome  n.穹顶，圆屋顶；deem  v.认为，相信；bloom n.花，花朵；bomb  n.炸弹，爆炸装置
choke|n. 窒息；哽咽；v. （使）窒息；使哽咽；使阻塞|She almost choked to death in the thick fumes.|她几乎被浓烟呛死。|choke with 塞满..；choke one's feeling 抑制感情|【辨析】chop  v.剁，砍，劈；chase v.追逐，追赶；coke  n.可口可乐， 一瓶（罐，杯）可口可乐（Coke）；chew  v.咀嚼，嚼碎；cheek n.脸颊，面颊；chalk n.白垩；【谐音】秋(cho)克(ke)"：窒息会导致休克。；【变形】现在分词：choking
noon|n. 中午|We should be there by noon .|我们应该最晚中午到达。|at noon 在中午；reckon to arrive 估计抵达|【辨析】moon n.月亮，月球；soon adv.很快，马上，不久；none pron.全无；【谐音】怒嗯(noon)"：中午太晒了，让人生气。
lot|pron. 许多；det. 许多|I eat a lot less than I used to.|我比以前吃得少多了。|share one's lot 和某人同甘共苦；a parking lot 停车场|【辨析】rot   v.（使）腐败，（使）腐烂；lab   n.实验室 (=laboratory)；rob   v.抢劫，盗取；luck  n.幸运，好运；now   adv.现在，此刻；fate  n.命运；large adj.（尺寸、范围、容量）大的
communicate|v. 交流，沟通；传达；传播（疾病）|We only communicate by email.|我们只是互通电邮。||【辨析】communication n.表达，交流，交际；community     n.社区，社会；communist     n.共产主义者，共产党党员；commitment    n.忠诚，献身；command       v.命令，下令；【变形】现在分词：communicating
skiing|n. 滑雪|I'm pretty good at water skiing .|我对滑水橇很在行。|water-ski v 用滑水橇划水 water-skiing n；sweep the board 通吃；全胜；扫盘子[赢得全部赌注]；〔比喻〕独占鳌头网络|【辨析】skin    n.皮，皮肤；ski     n.滑雪（水）板；skill   n.技巧， 技艺；skating n.滑冰，溜冰，滑板；skilful adj.有技巧的，熟练的；【谐音】是个印(skiing)"：滑雪在雪地上留下印痕，形象描述滑雪运动。
convene|v. 召集，召开|The council will be convening on the 15th.|市政会议将于15号召开。||【辨析】convey     v.传送，运输；convince   v.使确信，使信服；convention n.习俗，惯例；convict    v.定罪，宣判……有罪；conviction n.定罪，判罪；venue      n.（事件的）发生地点，（活动的）场所；intervene  v.干预，干涉；【谐音】抗瘟(convene)"：召集大家一起抗击瘟疫。；【变形】现在分词：convening
what|pron. 什么；多么|What is your name?|你叫什么名字？|What's what 事情的真相，怎么回事|【辨析】that  det.那，那个；why   adv.（用于问句）为什么，为何；when  adv.什么时候；who   pron.谁；whom  pron.谁（who 的宾格）；where adv.在哪里；which pron.哪一个，哪一些；whose pron.谁的（疑问代词）；【谐音】瓦特(what)"：瓦特来了！什么？
subtract|v. 减（去）|If you subtract 3 from 9, you get 6.|九减三得六。||【辨析】tract    n.（尤指宣扬宗教、伦理或政治的）短文，传单，小册子；attract  v.吸引；extract  n.选段，引文；abstract adj.抽象的，纯概念的；distract v.使分心，使转移注意力；contract n.合同，契约；tractor  n.拖拉机，牵引机
kilogramme|n. 千克，公斤|She donated 300 kilograms of rice to the sanctuary of the homeless.|她向收留无家可归者的避难所捐赠了300公斤大米。||【辨析】gramme n.克；【谐音】提了个拉姆(kilogramme)"：拉姆有多重？一千克。
