cut|v. 切割；剪裁；削减；停止做；n. 伤口；削减|She cut her finger on a piece of glass.|一块玻璃把她的手指头划破了。|cut a class 旷课；a cut above 高…一等，比…强些；超出（能力等）；make the cut 过关，入选|【辨析】cat     n.猫，猫科动物；cup     n.杯子；cutting n.剪报；chop    v.剁，砍，劈；【变形】过去式：cut；过去分词：cut；现在分词：cutting
communicative|adj. 语言交际能力的；乐意沟通的|He was in a bad mood at lunch and wasn't very communicative .|吃午餐的时候他情绪不好，不怎么讲话。|communicative translation 传意翻译|【辨析】communist n.共产主义者，共产党党员；communism n.共产主义，共产主义理论（或制度）；commune   n.社群，群体；【谐音】咳(communi)tive(tive)"：善于交流的。
fifty|num. 五十|She was born in the fifties .|她是五十年代出生的。|be transmitted live to 现场转播；in the fifties 在50年代|【辨析】fifteen n.十五；【谐音】非福体(fifty)"：不是很吉利的数字，表示五十。；【变形】复数形式：fifties
jeans|n. 牛仔裤|He was dressed casually in jeans and a sweatshirt.|他随意地穿了一件运动衫和一条牛仔裤。|a pair of jeans 一条牛仔裤|【辨析】bean    n.豆，菜豆，豆科植物；jealous adj.妒忌的，好嫉妒的；pants   n.<美> 裤子；clean   adj.洁净的，干净的
elbow|n. 肘部；v. （用肘部）推，挤|She elbowed her way through the crowd.|她拨开人群挤过去。|at one's elbow 意思是在（某人）手边，在（某人）近旁；elbow onto 涌入；elbow joint 肘关节；elbow room 足够的空间，足够走进的地方|【辨析】bow v.鞠躬，点头；【谐音】饿不(elbow)"：饿不？刚吃了个肘子。
village|n. 村子；乡村居民|This beautiful village is located in the north China.|这个美丽的村子位于中国北部。||【辨析】voyage  n.（尤指坐船或飞往太空的）航行，旅行；valley  n.山谷；cottage n.小屋，村舍，乡间别墅；【谐音】喂了鸡(village)"：在乡下村庄的老家喂鸡。
vain|adj. 徒劳的，徒然的|She closed her eyes tightly in a vain attempt to hold back the tears.|她紧闭双眼，却无法忍住眼泪。|vain people 虚荣的人；in vain 徒劳的；be vain of 自以为。。了不起|【辨析】van    n.（厢式）小型货车；valid  adj.（文件或票证）有效的；vanish v.突然不见，消失；vanity n.虚荣（心），自负；vacant adj.（地方）空着的，无人用的；【变形】比较级：vainer；最高级：vainest
vote|v. 投票；提议；推选，表决；n. 选票；投票|The motion was passed by 6 votes to 3.|这项动议以6票对3票获得通过。|the popular vote 大众表决；devote to 献身于；the right to vote 选举权|【辨析】volt    n.伏特（电压单位）；devote  v.献身，致力；veto    n.否决权；devoted adj.挚爱的，忠诚的；【谐音】我投(vote)"：我投上一票。；【变形】现在分词：voting
locker|n. 带锁储物柜|There is a spacious locker room near the swimming pool.|游泳池边有一个宽敞的更衣室。|locker room 更衣室；coin locker 寄存柜|【辨析】lack  n.缺乏，不足；flock n.（鸟或羊等动物）群；cock  n.公鸡；【谐音】牢靠(locker)"：上锁了很牢靠。
second-hand|adj. 二手的|We bought a second-hand house.|我们买了套二手房。||【辨析】secondary adj.（教育）中等的，中学的；【谐音】塞啃悍(second-hand)"：活塞被啃的悍马，是辆二手车。
duty|n. 责任，义务；职责；税，关税|It is my duty to report it to the police.|把这事报告给警方是我的责任。|custom duty 关税；line of duty 公务(尤指军事任务)；履行职责；尽职|【辨析】dust  n.沙尘；dirty adj.肮脏的；deny  v.否认；【谐音】丢踢(duty)"：把责任丢给他。
empty|adj. 空的，空洞的；v. 变空|The room was bare and empty .|房间空荡荡的。|empty out 腾空；倒空；an empty life 空虚的生活|【辨析】employ  v.雇用；enemy   n.敌人，反对者；emperor n.皇帝；emerge  v.浮现，出现；【谐音】俺不提(empty)"：我不说，这个里面是空的。
universal|adj. 全世界的；普遍（存在）的；通用的|Agreement on this issue is almost universal .|这个问题几乎取得全体一致的意见。|universal language 世界语言/通用语言|【辨析】university n.大学，综合性大学；universe   n.宇宙，天地万物（the universe）
disapprove|v. 不赞成，反对|I strongly disapprove of child marriage.|我强烈反对童婚。||【辨析】disappear  v.消失，不见；disappoint v.使失望；disagree   v.有分歧，意见不合；approve    v.同意，赞成；【变形】现在分词：disproving
ride|v. 骑（马）；驾驶；乘坐；n. （骑车或乘车的）短途旅程；便车|She learned to ride a bike when she was seven.|她七岁时学会了骑自行车。|soybean milk 豆漿|【辨析】rise  v.（数字、 数量、价值）增加，（质量）提高；ripe  adj.（水果、谷物等）成熟的；rice  n.稻；rid   v.使……去掉，使……去除；bride n.新娘，即将（或刚）结婚的女子；race  n.赛跑，速度竞赛；rope  n.粗绳，绳索；rich  adj.有钱的，富有的；risk  n.危险，风险；rob   v.抢劫，盗取；【谐音】歪的(ride)"：骑着歪的马。；【变形】过去式：rode；过去分词：ridden；现在分词：riding
fellowship|n. 团体；友谊；奖学金|They offer students counselling and fellowship .|他们为学生提供咨询和奖学金。|research fellowship 研究生奖学金|【辨析】fellow n.小伙子，家伙；【谐音】翻了(fellow)船(ship)"：获得奖学金后，原有的伙伴关系可能会改变。
his|det. 他的；pron. 他的|James has sold his car.|詹姆斯把他的车卖了。||【谐音】嘿丝(his)"：他的。
slip|v. 滑倒；滑落；溜走；下降；迅速穿上或脱下；摆脱；n. 滑倒；疏忽|As I ran up the stairs, my foot slipped and I fell.|我跑上楼梯时失脚摔倒了。|slip out 溜出去；slip by 悄悄溜走 the weeks sliped slowly by.；a pink slip 解雇通知书；pay-in slip 存款单|【辨析】skip    v.蹦蹦跳跳地走；slap    v.（用手掌）打，拍；clip    n.夹子，别针；sip     v.小口喝，抿；slope   n.斜坡，斜面；slide   v.（使）滑行，滑动；lip     n.嘴唇；slipper n.室内便鞋，拖鞋；split   v.分裂，使分裂（成不同的派别）；clap    v.拍手，鼓掌；【变形】过去式：slipped；过去分词：slipped；现在分词：slipping
by|prep. 在…旁；不迟于；经过；在…期间；从…看；以…的名义；adv. 经过；短暂拜访|The telephone is by the window.|电话在窗户旁边。|by and large 总的来说，大体上；day by day 常表示逐渐转变，而after 是日复一日重复某一相同事情。
along|adv. 向前；与…一起；prep. 沿着|They walked slowly along the road.|他们沿公路慢慢走。|along with 与···一起；all along 始终，一贯，一直 be along 来到，right along 继续地，不断地，get along 过活，生活，相处融洽，go along 前进，进行，一起去，赞同，附和 along with 与。。。一道|【辨析】among  prep.在……当中，周围是；alone  adj.独自的；belong v.应在……地方，应处于……状况；【谐音】饿狼(along)"：饿狼沿着街道寻找食物。
solve|v. 解决；解答|Critical thinkers will always try to figure out ways to solve problems.|批判性思考者总是会找到解决问题的方法。||【辨析】slave    n.奴隶，苦工；resolve  v.解决（问题或困难）；solution n.（问题、困难等的）解决办法；【谐音】扫屋(solve)"：扫除屋里的脏乱，解决问题。；【变形】现在分词：solving
granddaughter|n. （外）孙女|Here is the photo of my granddaughter Amelia.|这是我孙女阿梅莉亚的照片。||【辨析】grandfather n.祖父；grandmother n.（外）祖母，奶奶，外婆；daughter    n.女儿；grand       adj.壮丽的，堂皇的；grandpa     n.爷爷；grandma     n.奶奶
February|n. 二月|The art exhibition will be held in February .|这次艺术展览将于二月举行。
ironical|adj. 反语的，讽刺的|The artist is famous for his ironical cartoon.|这位艺术家以讽刺漫画闻名。||【辨析】ironic     adj.反语的，讽刺的；ironically adv.具有讽刺意味的是；irony      n.（出乎意料的）奇异可笑之处，具有讽刺意味的情况
try|v. 试图；尝试；努力；考验；审讯|I don't know if I can come but I'll try .|我不知道是否能来，但我尽可能来。|be try for 因。。。受审理；try to do 尽力做。。try doing 尝试做；try to 试着做|【辨析】trying adj.令人厌烦的，难对付的；trial  n.审判，审理；【谐音】踹(try)"：尝试新事物就像踹开一扇门。；【变形】过去式：tried；过去分词：tried
up|adv. 向上；prep. 沿着，朝向|He jumped up from his chair.|他从椅子上跳起来。|pull up 停车|【变形】过去式：upped；过去分词：upped；现在分词：upping
dealing|n. 交易，买卖；（商业）往来|Our company has had many previous dealings with this publisher.|我们公司以前曾与这家出版商有许多业务往来。|honest dealing 以诚相待 ant：chicanery n. 狡诈；wheeling and dealing 商业投机取巧手段；deal with 惠及；与...交易；应付；对待|【辨析】deal   n.大量；daring adj.勇于冒险的，勇于创新的；【谐音】低龄(dealing)"：年纪小不可以应付交易行为。
mathematics|n. 数学|Mathematics is Jane's best subject at school.|数学是简在学校里学得最好的一门科目。||【辨析】arithmetic n.算术
spread|v. 展开；传播，散布；蔓延；n. 传播，蔓延，扩展，散布|The table was spread and supper was ready.|桌子铺好晚饭准备好了。|spread out 分散，散开；spread over four years 在四年里···|【辨析】speed      n.（运动）速度；widespread adj.普遍的，广泛的；【谐音】撒播(s)read(pread)"：传播、散布的意思。；【变形】过去式：spread；过去分词：spread
thumb|n. 拇指|The baby is hungry and keeps sucking its thumb .|宝宝饿了，一直在吮大拇指。|the index finger 食指；the middle funger 中指；the ring finger 无名指；the litter/samll finger 小指|【辨析】numb adj.麻木的，失去感觉的；dumb adj.哑的，不能说话的；comb n.梳子；bomb n.炸弹，爆炸装置；lamb n.羔羊，小羊；limb n.肢；【谐音】山姆(thumb)"：美国山姆大叔，人们对他竖起大拇指。thumbnail：大拇指的指甲，指缩略图。
shorts|n. 短裤|He was wearing a pair of blue shorts and a white T-shirt.|他穿着一条蓝色短裤和一件白色T恤。||【辨析】short   adj.短暂的，短期的；shortly adv.不久，很快，立刻；shirt   n.衬衫，恤衫；skirt   n.女裙，半身裙；【谐音】少吃(shorts)"：少吃点，不然短裤都穿不上了。
cabin|n. 船舱；座舱；小木屋|There is a bush of bramble in front of the cabin .|小木屋前有一丛黑莓。|first-class cabin 头等舱|【辨析】cab     n.驾驶室；cabinet n.内阁；cable   n.电缆；carbon  n.碳；cave    n.洞穴，山洞；【谐音】看病(cabin)"：在小屋里看病。
prejudice|n. 偏见，成见；v. 使抱偏见|She has a prejudice against modern music.|她对现代音乐怀有偏见。|class prejudice 阶级歧视；blind prejudice 盲目歧视|【辨析】preference n.偏爱，偏好；prefer     v.更喜爱，宁可；【变形】现在分词：prejudicing
grassy|adj. 长满草的|They sat and had their lunch on a grassy hillside.|他们坐在长满草的山坡上吃午饭。|slide down 下滑|【辨析】gross    adj.总的，毛的；glossary n.词汇表，术语表；【谐音】广西(grassy)"：广西多山地，长满草的。；【变形】比较级：grassier；最高级：grassiest
worst|adj. 最差的，最坏的；adv. 最坏，最严重，最糟；n. 最严重的事；最坏的部分|It was by far the worst speech she had ever made.|这是她迄今发表过的最差的演讲。|at worst 最坏的打算；in the worst way 十分；非常；强烈地|【辨析】wrist  n.手腕，腕关节；worse  adj.更糟的，更坏的，更差的；worth  adj.价值……的，值……钱的；worthy adj.值得尊敬的，值得注意的，值得敬仰的；waste  n.浪费，滥用；best   adj.最好的，最出色的；【变形】比较级：worse
cook|n. 厨师；v. 烹饪；密谋|What's the best way to cook trout?|鳟鱼怎么做最好吃？|cook the books 篡改；伪造；捏造 n.厨师|【辨析】cookie n.曲奇饼，小甜饼；cooker n.<英>炊具，锅，厨灶；coke   n.可口可乐， 一瓶（罐，杯）可口可乐（Coke）；hook   n.钩，挂钩；chef   n.厨师，主厨；【谐音】酷可(cook)"：光酷可当不了厨师。
task|n. 工作，任务；v. 交给某人（任务）|The first thing we should do is to define the task ahead very clearly.|我们首先需要做的就是明确今后的任务。||【辨析】mask  n.面罩，口罩；taste n.味道，滋味；take  v.携带，拿走；ask   v.询问，打听；test  n.（书面或口头的）测验，考试；risk  n.危险，风险；text  n.（书、杂志等中区别于图片的）正文，文字材料；teach v.教授，讲授；【谐音】他死磕(task)"：他跟这个任务死磕。
national|adj. 国家的，民族的；国有的；n. （某国的）公民|He reads national and international news everyday.|他每天都看国内和国际新闻。|hearing aid 助听器|【辨析】nation        n.国家，民族；nationality   n.族，民族；natural       adj.天然的，非人为的；international adj.国际的，国际上的；native        adj.本地出生的，出生地的
comparison|n. 比较；比喻|The findings were based on the comparison of the two styles.|研究结果建立在对两种风格的对比之上。|in comparison with 与……比较；by comparison 相比之下|【辨析】compassion  n.同情，怜悯；compare     v.比较，对比；comparative n.（形容词或副词的）比较级；comparable  adj.可比的，可比较的；【谐音】看牌啊(com)孙(son)"：看牌比较谁的大，体现比较的含义。
sailing|n. 帆船运动；（乘帆船）航行|The whole crew will go sailing for the first time tomorrow.|全体船员明天将第一次出海。||【辨析】ceiling n.天花板，吊顶；sail    v.（人）航行；【谐音】谁领(sail)灵(ing)"：谁来领航。
company|n. 公司；陪伴；在一起的一群人|The company employs 10 workers.|这家公司雇佣了10名工人。|moved in fast company 很快成为朋友；take sb for company 让某人做陪伴；in company with 与某人在一起|【辨析】companion n.同伴，伴侣；accompany v.陪伴，陪同；computer  n.计算机；【谐音】肯陪你(company)"：肯陪你一起开公司。；【变形】复数形式：companies
heating|n. 暖气，供暖设备|Who turned the heating on?|谁把暖气打开了？|heating bills 取暖费；central heating 中央暖气系统；集中采暖；heating up 加热|【辨析】heading n.标题，题目；heat    n.热能，热量；heated  adj.加热的，有供暖系统的；heart   n.心，心脏；【谐音】黑厅(heating)"：黑色的大厅里没有供暖设备。
knock|n. 撞击，敲击声；v. 敲，击；碰撞|He knocked three times and waited.|他敲了三下门就等着。|knock down 击倒撞到，杀价，降价，拆到；knock off 下班，停止工作 ，迅速而不费力的做成，从价格等中减去；knock out 打晕，击倒；knock-on effect 连锁反应；knock sth off 把。。。碰掉|【辨析】lock  v.锁住，把……锁起来；clock n.时钟，时钟的；block n.大块，一块（木料、石头等）；【谐音】脑壳(knock)"：敲脑壳。
approximation|n. 近似值；类似事物|Could you give me an approximation of how much money we will earn this month?|你能估计一下我们这个月能挣多少钱吗？||【辨析】approximate   adj.大概的，近似的；approximately adv.大约，大概
souvenir|n. 纪念品|Please buy me a souvenir when you travel to India.|你去印度旅游的时候请买份纪念品给我。||【谐音】叔问你啊(souvenir)"：叔叔问你要哪个纪念品？
voltage|n. 电压|Electrical currents with high voltages are dangerous.|高压电流很危险。|high voltage 高压|【辨析】cottage n.小屋，村舍，乡间别墅；voyage  n.（尤指坐船或飞往太空的）航行，旅行；volt    n.伏特（电压单位）；vote    v.投票选举，投票表决；【谐音】volt(伏特) + age(名词后缀)"：表示电压。
beautify|v. 美化|Plants and flowers can beautify the urban environment.|花草可以美化城市环境。||【变形】过去式：beautified；过去分词：beautified
curb|v. 控制，抑制；n. 控制，抑制|The government acted quickly to curb the spread of the virus.|政府迅速采取措施，阻止病毒传播。|curb their emissions 限制它们的排放；put a curb on 抑制……；curb inflation 抑制通货膨胀|【辨析】curve n.曲线，弧线；cure  n.药物，疗法；curl  v.（使）弯曲，卷曲；crab  n.螃蟹，蟹肉；cube  n.立方体；carve v.雕，刻；cable n.电缆；【谐音】刻薄(curb)"：刻薄的老板喜欢约束员工。
strategic|adj. 战略（性）的|The United Nations Peacekeeping Forces made a strategic withdrawal.|联合国维和部队作出了战略性撤退。|strategic level 战略层面|【辨析】static adj.静止的，停滞的；tragic adj.悲惨的，悲痛的，可悲的；【谐音】使劲踢这个(strategic)"：这是一个战略性的动作。
rid|adj. 摆脱了的；v. 使摆脱|They worked really hard to rid themselves of poverty.|为了摆脱贫困，他们工作着实勤奋。|get rid out of 逃离；get rid of 摆脱除去；eliminate from 从 ... 排除，从 ... 中淘汰|【辨析】rod   n.棒，杆；bid   v.出价；lid   n.（容器的）盖，盖子；rib   n.肋骨；rip   v.（使）撕裂，（使）划破；ride  v.骑（马、摩托车、自行车等）；aid   n.帮助；raid  n.突袭，袭击；rigid adj.（方法、体制等）严格死板的，僵化的；rub   v.擦，磨擦；rob   v.抢劫，盗取；rope  n.粗绳，绳索；【谐音】锐的(rid)"：用锐利的武器才能摆脱/除去坏人。；【变形】过去式：rid；过去分词：rid；现在分词：ridding
duly|adv. 按时地；恰当地|They duly fulfilled the task in spite of all difficulties.|尽管困难重重，他们还是按时完成了任务。|duly accredited agent 正式委派的代理人|【辨析】dual adj.双的，双重的；due  adj.到期的，预期的；【谐音】独立(duly)"：在适当的年纪学会独立是恰当的。
just|adv. 只是，仅仅；恰好；adj. 公正的；合理的，正当的|This jacket is just my size.|这件夹克正合我的尺码。||【辨析】justice n.公平，正义；justify v.是……的正当理由；adjust  v.调整，调节；judge   n.法官，审判官
whenever|adv. 究竟什么时候；conj. 每当；无论何时|Whenever she comes, she brings a friend.|她每次来都带着个朋友。||【辨析】whatever det.任何……的事物，无论什么；however  adv.然而，可是，不过；【谐音】闻奶味儿(whenever)"：无论何时闻到奶味儿。
possible|adj. 可能的|It is possible to get there by bus.|可以乘公共汽车到那里。|if possible 如果有可能的话|【辨析】possibly    adv.可能，或许；impossible  adj.不可能的，办不到的；possibility n.可能，可能性；probably    adv.大概，或许；【谐音】怕死不(possible)"：可能会发生不好的事。
kindness|n. 善良，宽容；友好的行为|Confucius told his followers to treat people with love and kindness .|孔子教导他的弟子要以爱与友善待人。|overwhelm V 淹没 压倒 覆盖 压垮|【辨析】goodness n.善良，美德；kind     n.种类；【谐音】看那厮(kindness)"：看那人很和蔼、善良。
cock|n. 公鸡|The cock was announcing the start of a new day.|雄鸡正在报晓。|cocked up 搞的一团糟；at full cock 枪处于全击发状态；cock up 竖起，毁坏|【辨析】cork     n.栓皮，软木（南欧和北非的一种橡树的树皮）；cocktail n.鸡尾酒；【谐音】喝可乐(cock)"：公鸡打鸣后口渴，想喝可乐。
pensioner|n. 领养老金（或抚恤金）者|We met an old-age pensioner in the park.|我们在公园里遇到了一位退休老人。||【辨析】pension n.养老金，退休金；【谐音】盼薪呢(pensioner)"：退休金领取者盼望着发薪水。
heavy|adj. 重的；程度大的|My brother is much heavier than me.|我弟弟比我重得多。||【辨析】heaven  n.天堂，天国；heavily adv.在很大程度上，大量地；have    v.拥有；【谐音】海味(heavy)"：山珍海味那么贵重！形容重要或沉重的。；【变形】比较级：heavier；最高级：heaviest
involvement|n. 参与；感情投入|Her new thesis examines the United States’ involvement in World War II.|她的新论文探讨了美国参与第二次世界大战的情况。||【辨析】involve  v.牵涉，涉及；involved adj.复杂的；【谐音】in我们的(involvement)"：加入我们的团队，表示参与。
feed|v. 喂养；进食；养活；供给|The baby can't feed itself yet.|这个婴儿还不能自己吃东西。|feed in 输入；feed on 以。。。。为食；feed up 感到太厌烦；feed on doing 以。。。为生；no-feeding sign 禁止喂食的标志|【辨析】seed n.种子，籽；weed n.野草，杂草；feel v.感受到，体会到；food n.（植物生长的）养料；week n.星期，周；weep v.（通常因悲伤）哭泣，流泪；foot n.脚，足；fool n.傻瓜，笨蛋；【谐音】肥的(feed)"：因为喂食、吃东西，所以变得肥胖。；【变形】过去式：fed；过去分词：fed
however|adv. 然而；不管怎样；无论到什么程度|He wanted to take no risks, however small.|他多小的风险也不想冒。||【谐音】好爱玩(however)"：然而，不管怎样你都好爱玩。
